tissue	assay	contrast_type	contrast	contrast_short	collection	database	set_id	set	set_short	set_size	set_size_DB	size_ratio	direction	t	df	z.std	p_value	adj_p_value
adipose	prot-ph	NA	NA	NA	PSP	PSP	11862	PSP_GSK3A	GSK3A	11	73	0.151	Down	-4.37162746003383	20135	-4.3705363994652	1.23941690662756e-05	0.00107829270876598
adipose	prot-ph	NA	NA	NA	PSP	PSP	12063	PSP_SGK1	SGK1	19	53	0.358	Down	-4.06837763297345	20135	-4.06749141714281	4.75219583166906e-05	0.00206720518677604
adipose	prot-ph	NA	NA	NA	PSP	PSP	11942	PSP_MARK1	MARK1	5	12	0.417	Down	-3.54934390674535	20135	-3.54874485647407	0.000387071936618704	0.0104450937875087
adipose	prot-ph	NA	NA	NA	PSP	PSP	11920	PSP_MAP3K8	MAP3K8	6	23	0.261	Down	-3.49211769108277	20135	-3.49154575908543	0.000480234197126837	0.0104450937875087
adipose	prot-ph	NA	NA	NA	PSP	PSP	11933	PSP_MAPK3	MAPK3	107	388	0.276	Down	-3.41594790342405	20135	-3.41541074882743	0.000636858963965323	0.0106052553964411
adipose	prot-ph	NA	NA	NA	PSP	PSP	12027	PSP_PRKCD	PRKCD	28	134	0.209	Down	-3.34483772252217	20135	-3.34433170339475	0.000824810559378375	0.0106052553964411
adipose	prot-ph	NA	NA	NA	PSP	PSP	11958	PSP_MTOR	MTOR	52	134	0.388	Down	-3.3354034106299	20135	-3.3349014271419	0.000853296411207905	0.0106052553964411
adipose	prot-ph	NA	NA	NA	PSP	PSP	11938	PSP_MAPK9	MAPK9	16	64	0.25	Down	-3.06735729194905	20135	-3.06696097528983	0.0021624708730112	0.0216262428818102
adipose	prot-ph	NA	NA	NA	PSP	PSP	11801	PSP_CSNK1D	CSNK1D	7	92	0.076	Down	-3.05718424433166	20135	-3.0567916058642	0.0022371975394976	0.0216262428818102
adipose	prot-ph	NA	NA	NA	PSP	PSP	11746	PSP_BRAF	BRAF	5	16	0.312	Down	-3.01964010420159	20135	-3.01926083705751	0.00253392268534849	0.0220451273625318
adipose	prot-ph	NA	NA	NA	PSP	PSP	11863	PSP_GSK3B	GSK3B	58	369	0.157	Down	-2.92009335523651	20135	-2.91974801839651	0.00350314514791028	0.0277066934425631
adipose	prot-ph	NA	NA	NA	PSP	PSP	12029	PSP_PRKCG	PRKCG	6	35	0.171	Down	-2.84881512454698	20135	-2.84849275512933	0.00439268534879392	0.0311723460344179
adipose	prot-ph	NA	NA	NA	PSP	PSP	12046	PSP_RET	RET	6	33	0.182	Down	-2.82187640361331	20135	-2.82156243244148	0.00477903343007629	0.0311723460344179
adipose	prot-ph	NA	NA	NA	PSP	PSP	12045	PSP_RAF1	RAF1	7	13	0.538	Down	-2.80629824077178	20135	-2.80598905648881	0.00501623959174541	0.0311723460344179
adipose	prot-ph	NA	NA	NA	PSP	PSP	11816	PSP_DYRK1A	DYRK1A	13	39	0.333	Down	-2.76812240037842	20135	-2.76782473306542	0.00564317946835082	0.0312599717264611
