feature_id	gene_symbol	chromosome_name	logFC	CI.L	CI.R	logLik	t	AveExpr	p_value	adj_p_value	contrast	full_model	assay	entrez_gene	ensembl_gene	custom_annotation	relationship_to_gene	uniprot	refmet_name	kegg_id	flanking_sequence
O15523	DDX3Y	Y	2.25428506087044	1.80895097653916	2.69961914520171	NA	10.4718986332362	-2.09476782869713	3.20065991677379e-10	2.48307196343311e-06	SexMale	~ Sex	prot-pr	8653	ENSG00000067048	NA	NA	O15523	NA	NA	NA
P14384	CPM	12	0.641680032586677	0.497840807463451	0.785519257709903	-5.73897414093576	9.22876788438134	0.35078032647151	3.41677996679139e-09	1.01448595070536e-05	SexMale	~ Sex	prot-pr	1368	ENSG00000135678	NA	NA	P14384	NA	NA	NA
O95183	VAMP5	2	0.721436825763924	0.558491432823102	0.884382218704747	-1.1297565205941	9.1592255469675	0.0439492850203578	3.92299284882197e-09	1.01448595070536e-05	SexMale	~ Sex	prot-pr	10791	ENSG00000168899	NA	NA	O95183	NA	NA	NA
P47712	PLA2G4A	1	-0.768992657913512	-0.948526661049476	-0.589458654777548	-21.5955836338064	-8.86090358750956	0.159664463677505	7.14627962743892e-09	1.38602093374178e-05	SexMale	~ Sex	prot-pr	5321	ENSG00000116711	NA	NA	P47712	NA	NA	NA
P26992	CNTFR	9	0.518492584987927	0.377881790319447	0.659103379656406	-25.7398445145857	7.62827638158054	0.226655246236154	9.64419027234615e-08	0.000127808248339926	SexMale	~ Sex	prot-pr	1271	ENSG00000122756	NA	NA	P26992	NA	NA	NA
Q6T310	RASL11A	13	0.712301969010159	0.525056574176107	0.899547363844211	NA	7.91138416388773	-0.333685961051904	9.88462864191229e-08	0.000127808248339926	SexMale	~ Sex	prot-pr	387496	ENSG00000122035	NA	NA	Q6T310	NA	NA	NA
P41250	GARS1	7	-0.461298320420665	-0.588503775510361	-0.334092865330969	-16.8251474559665	-7.50202781068817	-0.164638254708219	1.27345590180996e-07	0.000133340231715873	SexMale	~ Sex	prot-pr	2617	ENSG00000106105	NA	NA	P41250	NA	NA	NA
P52209	PGD	1	-0.433020229473391	-0.552982334648313	-0.313058124298468	NA	-7.46735227579644	-0.0580087322114018	1.37499594447922e-07	0.000133340231715873	SexMale	~ Sex	prot-pr	5226	ENSG00000142657	NA	NA	P52209	NA	NA	NA
P19075	TSPAN8	12	1.33670495451499	0.961933250236464	1.71147665879351	NA	7.37855462075846	0.381451239138161	1.67469908103062e-07	0.00014435906078484	SexMale	~ Sex	prot-pr	7103	ENSG00000127324	NA	NA	P19075	NA	NA	NA
Q9HCM2	PLXNA4	7	0.417231438142783	0.299172088844448	0.535290787441118	-22.3799351457375	7.31104020305025	-0.418221037223522	1.94692669016586e-07	0.000151042572623067	SexMale	~ Sex	prot-pr	91584	ENSG00000221866	NA	NA	Q9HCM2	NA	NA	NA
