assay	feature_id	logFC	CI.L	CI.R	logLik	t	AveExpr	p_value	adj_p_value	contrast	full_model
metab-u-rpneg	Arachidic acid	0.295793484034602	0.181844886383142	0.409742081686062	-197.924592010381	5.11825373041985	15.5961105879771	7.12696578067914e-07	3.42094357472599e-05	SexMale	~ Sex
metab-u-rpneg	Docosenoic acid	0.365151808594677	0.175832205684655	0.5544714115047	-197.423979774545	3.80294517749979	14.0146919820176	0.000189058721510169	0.00453740931624405	SexMale	~ Sex
metab-u-rpneg	Margaric acid	0.201412664597849	0.0934766956084741	0.309348633587224	-126.328351715332	3.6792794423602	16.9989170938568	0.000299541136265841	0.00479265818025346	SexMale	~ Sex
metab-u-rpneg	Palmitic acid	0.148672100461364	0.0511529670846341	0.246191233838093	-317.012214523132	3.00595059014681	21.7571405366617	0.00298113823022689	0.0352043294450918	SexMale	~ Sex
metab-u-rpneg	Myristic acid	0.176122760428501	0.0579892277299284	0.294256293127073	-79.868446774793	2.93957459822343	19.0487385764407	0.0036671176505304	0.0352043294450918	SexMale	~ Sex
metab-u-rpneg	5alpha-Androstane-3alpha-ol-17-one sulfate	0.506213709866851	0.142441358875346	0.869986060858356	-147.185036993112	2.74376182814644	12.5665036706953	0.00661725571664322	0.0486449395953536	SexMale	~ Sex
metab-u-rpneg	Hydroxyhexadecanoic acid	0.113680424398327	0.0309537687650421	0.196407080031611	-106.19765004676	2.70945793122491	16.3838398173697	0.00731475750744504	0.0486449395953536	SexMale	~ Sex
metab-u-rpneg	Eicosatetraenoic acid	0.215279434045794	0.0565340458843701	0.374024822207217	-138.157755151727	2.67389050775425	19.2668634287688	0.00810748993255893	0.0486449395953536	SexMale	~ Sex
metab-u-rpneg	Dehydroepiandrosterone sulfate	0.460419181245526	0.10938091784802	0.811457444643032	-309.793194726623	2.58607516956482	13.7303756857379	0.0104063980794931	0.0532026774399139	SexMale	~ Sex
metab-u-rpneg	Pentadecylic acid	0.14629349866464	0.0337737678394976	0.258813229489782	-184.314122491104	2.56353077447597	17.7553816494276	0.0110838911333154	0.0532026774399139	SexMale	~ Sex
metab-u-rpneg	Nonadecenoic acid	0.184271631429003	0.034371395477676	0.334171867380331	-281.432230571413	2.42380880039535	14.7281009884689	0.0162341414051035	0.065121251685851	SexMale	~ Sex
metab-u-rpneg	Lignoceric acid	0.124486758240847	0.0231755797954107	0.225797936686284	-148.284099434132	2.42274655192315	13.9412555166252	0.0162803129214628	0.065121251685851	SexMale	~ Sex
metab-u-rpneg	Stearic acid	0.210814241604923	0.0361486553531442	0.385479827856701	-198.032707964003	2.37976895178094	21.459483499806	0.0182485628320223	0.0673793089182363	SexMale	~ Sex
metab-u-rpneg	Oleic acid	0.241063032951673	0.0273805389478729	0.454745526955472	-129.742597931349	2.22435379930927	22.1956974287829	0.0272249304359345	0.0886540490605257	SexMale	~ Sex
metab-u-rpneg	Hydroxytetradecanoic acid	0.112166270995856	0.012427913408633	0.211904628583079	-348.747522204265	2.21739091144331	16.1374004007997	0.0277043903314143	0.0886540490605257	SexMale	~ Sex
metab-u-rpneg	Octadecadienoic acid	0.279131932527413	0.025115017179433	0.533148847875393	-300.509799101996	2.16665158099686	20.9871852560312	0.0314249550935802	0.0942748652807407	SexMale	~ Sex
metab-u-rpneg	Retinoic acid	0.280339424233632	-0.0169020993842151	0.577580947851479	-344.794540616768	1.85958867169049	14.0785397256427	0.0643890521055577	0.181804382415692	SexMale	~ Sex
metab-u-rpneg	Maleic acid	-0.373706309318548	-0.795378005414777	0.0479653867776803	-71.3375903232664	-1.74742350387823	11.9818083547493	0.0820744095378908	0.218865092101042	SexMale	~ Sex
metab-u-rpneg	Hydroxydecanoic acid	0.109447959464455	-0.0387022591613272	0.257598178090237	-134.105320340946	1.45662435089561	15.7658996018492	0.146763435002047	0.370770783163067	SexMale	~ Sex
metab-u-rpneg	Azelaic acid	0.111863034340555	-0.0460337990071511	0.269759867688262	-55.7238747423005	1.39686800158201	17.2947735958745	0.163976807237725	0.387746595727656	SexMale	~ Sex
metab-u-rpneg	Tetradecadienoic acid	-0.119320561053893	-0.290017965298889	0.0513768431911024	-12.4628045022884	-1.37825813148974	10.9921276185031	0.16963913563085	0.387746595727656	SexMale	~ Sex
metab-u-rpneg	Hydroxydodecanoic acid	0.0674936197608585	-0.0340099553040753	0.168997194825792	-145.834144761341	1.31106304245936	15.6375682935374	0.191315989660874	0.417416704714633	SexMale	~ Sex
metab-u-rpneg	Undecanedioic acid	0.106484383220734	-0.0590078024636541	0.271976568905123	-238.761410784123	1.26867569989909	15.6960611183964	0.206008047522785	0.42992983830842	SexMale	~ Sex
metab-u-rpneg	Lauric acid	0.062088053687954	-0.0379364838082709	0.162112591184179	-52.0441034625219	1.22389366726496	17.7417769610085	0.222409427934161	0.444818855868322	SexMale	~ Sex
metab-u-rpneg	Capric acid	0.0746325812559626	-0.0547500539688435	0.204015216480769	-52.6454157422361	1.13735139229568	16.0893347890613	0.256730658822139	0.462463295356466	SexMale	~ Sex
metab-u-rpneg	Octadecatetraenoic acid	-0.0875917147869867	-0.243015349391028	0.0678319198170546	-55.3261629124874	-1.11118958312075	12.5885586394388	0.267799697822466	0.462463295356466	SexMale	~ Sex
metab-u-rpneg	Tricosylic acid	0.0557011258046343	-0.0433434331422583	0.154745684751527	-346.92055564153	1.10885700456256	12.3317766050768	0.268802416222673	0.462463295356466	SexMale	~ Sex
metab-u-rpneg	Sebacic acid	0.0974269487216986	-0.077198319916682	0.272052217360079	-68.5745667649028	1.1000545143873	15.8265129189166	0.272609766580609	0.462463295356466	SexMale	~ Sex
metab-u-rpneg	Glycodeoxycholic acid	-0.229520593331726	-0.64678687573663	0.187745689073178	-87.3624737278698	-1.08455244803744	10.1321841663673	0.279404907611198	0.462463295356466	SexMale	~ Sex
metab-u-rpneg	Suberic acid	-0.104125544427831	-0.302297807681374	0.094046718825711	-157.945755022209	-1.03599249535909	14.6437222690643	0.301436834808861	0.482298935694177	SexMale	~ Sex
metab-u-rpneg	Glutaric acid	0.0745315404959989	-0.070507805024931	0.219570886016929	-136.518086507478	1.01320298361128	14.4937072772612	0.312168027857708	0.483356946360322	SexMale	~ Sex
metab-u-rpneg	Hydroxyoctanoic acid	0.0730409813451346	-0.0838192660647104	0.22990122875498	-244.167215823189	0.918112494013189	14.600504142126	0.359648352158729	0.539472528238093	SexMale	~ Sex
metab-u-rpneg	Myristoleic acid	-0.0697213057535462	-0.236131227717075	0.0966886162099831	-143.946637753796	-0.826092137540668	14.5147364658272	0.409720624766333	0.595957272387393	SexMale	~ Sex
metab-u-rpneg	Phenyllactic acid	-0.146540178639564	-0.528825687053814	0.235745329774686	-208.995907080757	-0.755807287414596	10.9565327019681	0.450639927492933	0.628517620519632	SexMale	~ Sex
metab-u-rpneg	3-Hydroxybutyric acid	0.0537611758296184	-0.0888908650272216	0.196413216686458	-47.3169705994733	0.743075535383957	14.4207510302273	0.458294098295565	0.628517620519632	SexMale	~ Sex
metab-u-rpneg	EPA	-0.0683126671630856	-0.270802023753873	0.134176689427701	-251.169998814072	-0.665183143560856	15.0747869444689	0.506687571787321	0.665169395220694	SexMale	~ Sex
metab-u-rpneg	Glycocholic acid	-0.111518432904098	-0.446837962263844	0.223801096455648	-77.2428479855637	-0.655737474339323	9.92525666090752	0.512734742149285	0.665169395220694	SexMale	~ Sex
metab-u-rpneg	Phthalic acid	-0.070884874706105	-0.296671647468774	0.154901898056564	-327.066438281492	-0.619009441987286	15.4716139550509	0.536603426427053	0.677814854434172	SexMale	~ Sex
metab-u-rpneg	Uridine	0.0813191188729947	-0.24309202730009	0.40573026504608	-220.213070006924	0.494241365076114	13.214494474723	0.621669554934459	0.761932029943487	SexMale	~ Sex
metab-u-rpneg	3-Hydroxybenzoic acid	-0.0486867922947326	-0.250572430365572	0.153198845776107	-276.069012676634	-0.475497163983622	14.0990085739289	0.634943358286239	0.761932029943487	SexMale	~ Sex
metab-u-rpneg	Glycochenodeoxycholic acid	0.0832752550552121	-0.342219480570217	0.508769990680641	-167.806733596372	0.385890399448484	10.9925091109846	0.699981513984738	0.813220963450256	SexMale	~ Sex
metab-u-rpneg	Palmitoleic acid	-0.0463527619193911	-0.309279106893379	0.216573583054597	-270.240038958787	-0.347603152086325	18.5738339140071	0.72849799415879	0.813220963450256	SexMale	~ Sex
metab-u-rpneg	Sphingosine 1-phosphate	0.047887533477321	-0.240935580962872	0.336710647917514	-167.853945019695	0.326913394725296	12.1973926151512	0.744069861730918	0.813220963450256	SexMale	~ Sex
metab-u-rpneg	Dodecadienoic acid	0.050320506980052	-0.254885241447896	0.355526255408	-193.63851778233	0.325083174789304	10.1845495352931	0.745452549829401	0.813220963450256	SexMale	~ Sex
metab-u-rpneg	Citramalic acid	-0.023089083018525	-0.1741907829967	0.12801261695965	-163.152850706212	-0.301286400204829	13.3746355342049	0.763504168538807	0.814404446441394	SexMale	~ Sex
metab-u-rpneg	Heptadecanedioic acid	0.0101481203479433	-0.0992269694808685	0.119523210176755	-50.5785585617587	0.182940297000968	14.7585669985966	0.855027245685998	0.892202343324519	SexMale	~ Sex
metab-u-rpneg	Hydroxyphenyllactic acid	0.0129259898188056	-0.234422631565191	0.260274611202802	-156.813279914658	0.103037783783704	9.88462872056292	0.918034590636638	0.937567241501247	SexMale	~ Sex
metab-u-rpneg	2-Hydroxybutyric acid	-0.00746870628376051	-0.209850702559419	0.194913289991898	-293.806159957351	-0.0727638548349191	14.1366562824767	0.942065600437721	0.942065600437721	SexMale	~ Sex
