"uniprot","feature_id","gene_symbol","name","n_measure","n_tissue","n_cell","n_common","hacells_label","emblcells_label","cell label score","cell label","haatlas_label","emblatlas_label","mspatlas_label","msratlas_label","tissue label score","tissue label","Gobal label score (GLS)","Global label"
"O00175","OID20772","CCL24","C-C motif chemokine ligand 24",3,3,0,0,"","",0,"","","spleen","artery","spleen",2,"spleen",2,"spleen"
"O00292","OID21454","LEFTY2","left-right determination factor 2",3,3,0,0,"","",0,"","","artery","artery","artery,ovary",2.45,"artery",2.45,"artery"
"O00468","OID20786","AGRN","agrin",6,4,2,1,"bcell","macrophage",2,"bcell.macrophages","lung","pancreas","nerve","common",3,"lung.nerve.pancreas",3,"lung.nerve.pancreas"
"O00585","OID20686","CCL21","C-C motif chemokine ligand 21",4,4,0,2,"","",0,"","common","thyroid","muscle","common",2,"muscle.thyroid",2,"muscle.thyroid"
"O00622","OID21368","CCN1","cellular communication network factor 1",4,4,0,1,"","",0,"","lung","artery","artery","common",2,"artery",2,"artery"
"O14579","OID20797","COPE","COPI coat complex subunit epsilon",6,4,2,3,"common","macrophage,monocytes",0.9,"macrophages.monocytes","colon,stomach","common","liver,pancreas","common",1.8,"common",1.8,"common"
"O14594","OID21055","NCAN","neurocan",5,4,1,0,"platelets","",1,"platelets","brain","brain","brain","brain",4,"brain",4,"brain"
"O14904","OID20460","WNT9A","Wnt family member 9A",3,3,0,0,"","",0,"","","muscle","esophagus,muscle","heart,muscle",1.9,"muscle",1.9,"muscle"
"O15123","OID21463","ANGPT2","angiopoietin 2",4,3,1,1,"","bcell,monocytes",0.9,"bcell.monocytes","","brain","artery","common",2,"artery.brain",2,"artery.brain"
"O15232","OID20979","MATN3","matrilin 3",1,1,0,0,"","",0,"","","nerve","","",1,"nerve",1,"nerve"
"O15455","OID20612","TLR3","toll like receptor 3",6,4,2,4,"tcellcd8","common",1,"tcellcd8","common","common","liver","common",1,"liver",1,"common"
"O15467","OID20334","CCL16","C-C motif chemokine ligand 16",2,1,1,0,"","neutrophils,tcellcd4",0.9,"neutrophils.tcellcd4","","liver","","",1,"liver",1,"liver"
"O43278","OID21109","SPINT1","serine peptidase inhibitor, Kunitz type 1",6,4,2,1,"bcell","macrophage",2,"bcell.macrophages","colon","esophagus,skin","esophagus","common",1.45,"esophagus",2,"bcell.macrophages"
"O43699","OID21394","SIGLEC6","sialic acid binding Ig like lectin 6",4,3,1,1,"","bcell",1,"bcell","","esophagus","skin","common",2,"esophagus.skin",2,"esophagus.skin"
"O43827","OID21412","ANGPTL7","angiopoietin like 7",5,4,1,0,"tcellcd4","",1,"tcellcd4","kidney","nerve","nerve","nerve",3,"nerve",3,"nerve"
"O60240","OID20835","PLIN1","perilipin 1",6,4,2,0,"macrophages","platelets",2,"macrophages.platelets","spleen","adiposetissue","muscle","adrenalgland,liver",3,"adiposetissue.muscle.spleen",3,"adiposetissue.muscle.spleen"
"O60259","OID21517","KLK8","kallikrein related peptidase 8",3,3,0,0,"","",0,"","","skin","esophagus,skin","esophagus,skin",1.9,"skin",1.9,"skin"
"O75054","OID21312","IGSF3","immunoglobulin superfamily member 3",4,3,1,1,"","erythrocytes,platelets",0.9,"erythrocytes.platelets","","skin","brain","common",2,"brain.skin",2,"brain.skin"
"O75509","OID21052","TNFRSF21","TNF receptor superfamily member 21",4,3,1,1,"","macrophage",1,"macrophages","","adiposetissue","skin","common",2,"adiposetissue.skin",2,"adiposetissue.skin"
"O75594","OID20338","PGLYRP1","peptidoglycan recognition protein 1",6,4,2,0,"neutrophils","neutrophils",2,"neutrophils","bonemarrow,spleen","bonemarrow","spleen","spleen",2.45,"spleen",2.45,"spleen"
"O94779","OID21006","CNTN5","contactin 5",1,1,0,0,"","",0,"","","brain","","",1,"brain",1,"brain"
