"Matching.Attribute","Matching.Attribute.1","name","nms.score.avg","nms.score.EE","nms.score.RE","selected","shared name"
"Creatine","Creatine","Creatine","0.450515048787555","0.640756503327678","0.260273594247432","false","Creatine"
"Homocysteine","Homocysteine","Homocysteine","0.08151847746181934","0.0694699105212501","0.0935670444023886","false","Homocysteine"
"Isoleucine","Isoleucine","Isoleucine","0.46345253002572173","0.909847645519978","0.0170574145314655","false","Isoleucine"
"Piperine","Piperine","Piperine","0.06432047469304356","0.0223302165354331","0.106310732850654","false","Piperine"
"Glucose","Glucose","Glucose","0.2131546010433965","0.131912568244473","0.29439663384232","false","Glucose"
"Cytidine","Cytidine","Cytidine","0.02819361511210437","0.00713582677165354","0.0492514034525552","false","Cytidine"
"Kynurenine","Kynurenine","Kynurenine","0.01022039033659889","0.00338336614173228","0.0170574145314655","false","Kynurenine"
"Paraxanthine","Paraxanthine","Paraxanthine","0.07967490791950554","0.0277795925332511","0.13157022330576","false","Paraxanthine"
"Cortisol","Cortisol","Cortisol","0.0922720735959205","0.184544147191841","0.0","false","Cortisol"
"Ketoleucine","Ketoleucine","Ketoleucine","0.0319714641040472","0.0533455557757797","0.0105973724323147","false","Ketoleucine"
"Cysteine","Cysteine","Cysteine","0.15098527983561535","0.258927807257788","0.0430427524134427","false","Cysteine"
"LAMP2","LAMP2","LAMP2","0.004936251819872215","0.00987250363974443","0.0","false","LAMP2"
"ASB4","ASB4","ASB4","0.01279710603800545","0.0255942120760109","0.0","false","ASB4"
"Trimethylbenzene","Trimethylbenzene","Trimethylbenzene","0.01216945173734235","0.0","0.0243389034746847","false","Trimethylbenzene"
"MARK4","MARK4","MARK4","3.690944881889765E-4","7.38188976377953E-4","0.0","false","MARK4"
"Diethanolamine","Diethanolamine","Diethanolamine","0.0186512369592245","0.037302473918449","0.0","false","Diethanolamine"
"SYPL1","SYPL1","SYPL1","0.0","0.0","0.0","false","SYPL1"
"ATP1A2","ATP1A2","ATP1A2","0.00278045550370277","0.00556091100740554","0.0","false","ATP1A2"
"TBC1D23","TBC1D23","TBC1D23","0.00374007301933368","0.00748014603866736","0.0","false","TBC1D23"
"TRIT1","TRIT1","TRIT1","3.383366141732285E-4","6.76673228346457E-4","0.0","false","TRIT1"
"PUM2","PUM2","PUM2","1.23031496062992E-4","2.46062992125984E-4","0.0","false","PUM2"
"FRY","FRY","FRY","9.2273622047244E-5","1.84547244094488E-4","0.0","false","FRY"
"KEAP1","KEAP1","KEAP1","0.004601293491774625","0.00920258698354925","0.0","false","KEAP1"
"MYNN","MYNN","MYNN","3.383366141732285E-4","6.76673228346457E-4","0.0","false","MYNN"
"ADD1","ADD1","ADD1","0.01089631165432285","0.0217926233086457","0.0","false","ADD1"
"DTX2","DTX2","DTX2",,,"0.0","false","DTX2"
"SLC7A8","SLC7A8","SLC7A8","0.00237447972035532","0.00474895944071064","0.0","false","SLC7A8"
"TTC28","TTC28","TTC28","4.306102362204725E-4","8.61220472440945E-4","0.0","false","TTC28"
"FBXO7","FBXO7","FBXO7","1.84547244094488E-4","3.69094488188976E-4","0.0","false","FBXO7"
"SOS2","SOS2","SOS2","0.00278045550370277","0.00556091100740554","0.0","false","SOS2"
"PPM1A","PPM1A","PPM1A","3.075787401574805E-4","6.15157480314961E-4","0.0","false","PPM1A"
"ASB2","ASB2","ASB2","0.001390227751851385","0.00278045550370277","0.0","false","ASB2"
"ARHGEF7","ARHGEF7","ARHGEF7","0.00206690098019784","0.00413380196039568","0.0","false","ARHGEF7"
"NBN","NBN","NBN","0.006670306456031","0.013340612912062","0.0","false","NBN"
"INTS10","INTS10","INTS10","0.00145174349988288","0.00290348699976576","0.0","false","INTS10"
"KANK1","KANK1","KANK1","0.00609885722717685","0.0121977144543537","0.0","false","KANK1"
"ABHD17B","ABHD17B","ABHD17B","1.5378937007874E-4","3.0757874015748E-4","0.0","false","ABHD17B"
"CCDC6","CCDC6","CCDC6","0.00574757023555855","0.0114951404711171","0.0","false","CCDC6"
"MAP2K6","MAP2K6","MAP2K6","0.0","0.0","0.0","false","MAP2K6"
"BCL7A","BCL7A","BCL7A","0.001882353736103355","0.00376470747220671","0.0","false","BCL7A"
"FXR1","FXR1","FXR1","0.00358016022811222","0.00716032045622444","0.0","false","FXR1"
"GPD2","GPD2","GPD2","6.1515748031496E-5","1.23031496062992E-4","0.0","false","GPD2"
"CHMP3","CHMP3","CHMP3","3.075787401574805E-5","6.15157480314961E-5","0.0","false","CHMP3"
"RHOU","RHOU","RHOU","0.00656022533741305","0.0131204506748261","0.0","false","RHOU"
"SLC35D1","SLC35D1","SLC35D1","0.004478261995711635","0.00895652399142327","0.0","false","SLC35D1"
"RSRP1","RSRP1","RSRP1","0.0","0.0","0.0","false","RSRP1"
"ENOX1","ENOX1","ENOX1","0.0089777097740696","0.0179554195481392","0.0","false","ENOX1"
"SEPTIN7","SEPTIN7","SEPTIN7","0.00506878502315355","0.0101375700463071","0.0","false","SEPTIN7"
"CYREN","CYREN","CYREN","0.006079713044438","0.012159426088876","0.0","false","CYREN"
"AKAP9","AKAP9","AKAP9","2.15305118110236E-4","4.30610236220472E-4","0.0","false","AKAP9"
"PDE11A","PDE11A","PDE11A","0.004824834015086115","0.00964966803017223","0.0","false","PDE11A"
"MAP1S","MAP1S","MAP1S","0.020640152759568","0.041280305519136","0.0","false","MAP1S"
"ATP5IF1","ATP5IF1","ATP5IF1","0.0","0.0","0.0","false","ATP5IF1"
"EXOC4","EXOC4","EXOC4","0.0","0.0","0.0","false","EXOC4"
"TBC1D14","TBC1D14","TBC1D14","0.00145174349988288","0.00290348699976576","0.0","false","TBC1D14"
"CCNB1","CCNB1","CCNB1","2.768208661417325E-4","5.53641732283465E-4","0.0","false","CCNB1"
"AGT","AGT","AGT","0.001697806492008865","0.00339561298401773","0.0","false","AGT"
"ITM2B","ITM2B","ITM2B","0.0","0.0","0.0","false","ITM2B"
"KCTD3","KCTD3","KCTD3","0.0061911308492241","0.0123822616984482","0.0","false","KCTD3"
"FAM8A1","FAM8A1","FAM8A1","0.0092449585488419","0.0184899170976838","0.0","false","FAM8A1"
"CPEB2","CPEB2","CPEB2","0.00374007301933368","0.00748014603866736","0.0","false","CPEB2"
"CDK15","CDK15","CDK15","2.768208661417325E-4","5.53641732283465E-4","0.0","false","CDK15"
"PPIG","PPIG","PPIG","1.84547244094488E-4","3.69094488188976E-4","0.0","false","PPIG"
"SLC49A4","SLC49A4","SLC49A4","2.15305118110236E-4","4.30610236220472E-4","0.0","false","SLC49A4"
"PARP9","PARP9","PARP9","0.00953135150635305","0.0190627030127061","0.0","false","PARP9"
"CCNG2","CCNG2","CCNG2","0.0120862966495676","0.0241725932991352","0.0","false","CCNG2"
"POC1B","POC1B","POC1B","0.0","0.0","0.0","false","POC1B"
"NAA30","NAA30","NAA30","0.0","0.0","0.0","false","NAA30"
"ADAMTS17","ADAMTS17","ADAMTS17","4.921259842519685E-4","9.84251968503937E-4","0.0","false","ADAMTS17"
"OSBPL1A","OSBPL1A","OSBPL1A","4.306102362204725E-4","8.61220472440945E-4","0.0","false","OSBPL1A"
"SMAD4","SMAD4","SMAD4","0.00456715733168324","0.00913431466336648","0.0","false","SMAD4"
"ADAMTS10","ADAMTS10","ADAMTS10","4.921259842519685E-4","9.84251968503937E-4","0.0","false","ADAMTS10"
"ZNF514","ZNF514","ZNF514","3.075787401574805E-4","6.15157480314961E-4","0.0","false","ZNF514"
"IL17RD","IL17RD","IL17RD","0.0","0.0","0.0","false","IL17RD"
"LRIG1","LRIG1","LRIG1","1.5378937007874E-4","3.0757874015748E-4","0.0","false","LRIG1"
"SSBP2","SSBP2","SSBP2","0.0","0.0","0.0","false","SSBP2"
"ARHGAP18","ARHGAP18","ARHGAP18","9.2273622047244E-5","1.84547244094488E-4","0.0","false","ARHGAP18"
