"contrast","collection","database","set_id","set","set_short","set_size","set_size_DB","size_ratio","set_size_in_input","input_size","background_size","p_value","adj_p_value","statistic_column"
"ee_re_3.5hr_only","C5","GOCC",8859,"GOCC_SUPRAMOLECULAR_COMPLEX","GOCC_SUPRAMOLECULAR_COMPLEX",1354,1408,0.962,71,890,29854,3.21416e-06,0.000288766,12.64794598
"ee_re_15min_only","C5","GOMF",9010,"GOMF_ACTIN_BINDING","GOMF_ACTIN_BINDING",432,440,0.982,77,720,29854,8.9e-44,1.65e-40,99.127775
"ee_re_24hr_only","C5","GOCC",8493,"GOCC_MITOCHONDRION","GOCC_MITOCHONDRION",1633,1665,0.981,108,407,29854,2.17e-44,2.22e-40,100.5399566
"ee_re_15min_only","C5","GOBP",3022,"GOBP_MUSCLE_STRUCTURE_DEVELOPMENT","GOBP_MUSCLE_STRUCTURE_DEVELOPMENT",678,699,0.97,71,720,29854,1.96e-25,1.26e-22,56.89140136
"ee_re_3.5hr_only","C5","GOBP",1194,"GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT","GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT",1144,1224,0.935,67,890,29854,1.32738e-07,2.71901e-05,15.83488676
"ee_re_3.5hr_only","C5","GOBP",534,"GOBP_APOPTOTIC_PROCESS","GOBP_APOPTOTIC_PROCESS",1857,1965,0.945,93,890,29854,6.73239e-07,8.61915e-05,14.21116474
"ee_re_3.5hr_only","C5","GOBP",987,"GOBP_CELLULAR_RESPONSE_TO_STRESS","GOBP_CELLULAR_RESPONSE_TO_STRESS",1911,1966,0.972,99,890,29854,5.7956e-08,1.38043e-05,16.66358143
"ee_re_3.5hr_only","C5","GOBP",846,"GOBP_CELLULAR_CATABOLIC_PROCESS","GOBP_CELLULAR_CATABOLIC_PROCESS",1539,1613,0.954,83,890,29854,1.43275e-07,2.80669e-05,15.75849967
"ee_re_15min_only","C5","GOBP",3024,"GOBP_MUSCLE_TISSUE_DEVELOPMENT","GOBP_MUSCLE_TISSUE_DEVELOPMENT",422,434,0.972,44,720,29854,4.36e-16,6.56e-14,35.36974678
"ee_re_15min_only","C5","GOBP",3013,"GOBP_MUSCLE_CELL_DIFFERENTIATION","GOBP_MUSCLE_CELL_DIFFERENTIATION",402,420,0.957,44,720,29854,7.17e-17,1.22e-14,37.17450754
"ee_re_15min_only","C2","WP",14756,"WP_VEGFA_VEGFR2_SIGNALING","WP_VEGFA_VEGFR2_SIGNALING",429,431,0.995,48,720,29854,1.09e-18,9.74e-16,41.35754212
"ee_re_15min_only","C5","GOBP",7473,"GOBP_STRIATED_MUSCLE_CELL_DEVELOPMENT","GOBP_STRIATED_MUSCLE_CELL_DEVELOPMENT",73,73,1,22,720,29854,1.52e-18,3.31e-16,41.02836241
"ee_re_15min_only","C5","GOBP",5590,"GOBP_REGULATION_OF_ACTIN_FILAMENT_ORGANIZATION","GOBP_REGULATION_OF_ACTIN_FILAMENT_ORGANIZATION",266,273,0.974,34,720,29854,2.52e-15,3.54e-13,33.61293386
"ee_re_15min_only","C5","GOBP",3017,"GOBP_MUSCLE_CONTRACTION","GOBP_MUSCLE_CONTRACTION",338,351,0.963,35,720,29854,5.67e-13,5.69e-11,28.19868162
"ee_re_24hr_only","C5","GOBP",2886,"GOBP_MITOCHONDRION_ORGANIZATION","GOBP_MITOCHONDRION_ORGANIZATION",543,553,0.982,44,407,29854,2.54e-21,4.33e-18,47.42336495
"ee_re_24hr_only","C5","GOCC",8383,"GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX","GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX",156,158,0.987,23,407,29854,2.48e-17,3.55e-14,38.23378788
"ee_re_3.5hr_only","C5","GOMF",10623,"GOMF_TRANSCRIPTION_REGULATOR_ACTIVITY","GOMF_TRANSCRIPTION_REGULATOR_ACTIVITY",1875,1956,0.959,112,890,29854,1.54521e-12,3.1652e-09,27.19586238
"ee_re_3.5hr_only","C5","GOBP",1032,"GOBP_CELL_CYCLE","GOBP_CELL_CYCLE",1765,1841,0.959,101,890,29854,2.41409e-10,2.24774e-07,22.14452764
"ee_re_3.5hr_only","C5","GOBP",5208,"GOBP_POST_TRANSLATIONAL_PROTEIN_MODIFICATION","GOBP_POST_TRANSLATIONAL_PROTEIN_MODIFICATION",1042,1095,0.952,62,890,29854,2.30348e-07,3.62957e-05,15.28367499
"ee_re_3.5hr_only","C5","GOBP",3839,"GOBP_NEUROGENESIS","GOBP_NEUROGENESIS",1669,1715,0.973,89,890,29854,8.11946e-08,1.80782e-05,16.32641732
"ee_re_3.5hr_only","C5","GOBP",3599,"GOBP_NEGATIVE_REGULATION_OF_PROGRAMMED_CELL_DEATH","GOBP_NEGATIVE_REGULATION_OF_PROGRAMMED_CELL_DEATH",883,938,0.941,52,890,29854,2.95715e-06,0.000270421,12.73128355
"ee_re_15min_only","C5","GOBP",7477,"GOBP_STRIATED_MUSCLE_TISSUE_DEVELOPMENT","GOBP_STRIATED_MUSCLE_TISSUE_DEVELOPMENT",255,265,0.962,26,720,29854,7.69e-10,4.49e-08,20.98632139
"ee_re_15min_only","C2","WP",14685,"WP_STRIATED_MUSCLE_CONTRACTION_PATHWAY","WP_STRIATED_MUSCLE_CONTRACTION_PATHWAY",38,38,1,11,720,29854,9.9e-10,2.94e-07,20.73311276
"ee_re_15min_only","C2","PID",11712,"PID_VEGFR1_2_PATHWAY","PID_VEGFR1_2_PATHWAY",69,69,1,11,720,29854,7.61e-07,5.22e-05,14.08816029
"ee_re_3.5hr_only","C5","GOBP",1816,"GOBP_FAT_CELL_DIFFERENTIATION","GOBP_FAT_CELL_DIFFERENTIATION",235,249,0.944,20,890,29854,2.84817e-05,0.001568333,10.46624729
"ee_re_3.5hr_only","C5","GOBP",3829,"GOBP_NEURAL_TUBE_DEVELOPMENT","GOBP_NEURAL_TUBE_DEVELOPMENT",162,162,1,21,890,29854,1.74798e-08,5.26553e-06,17.86222029
"ee_re_3.5hr_only","C2","REACTOME",12800,"REACTOME_INTERFERON_SIGNALING","REACTOME_INTERFERON_SIGNALING",269,274,0.982,25,890,29854,6.03e-07,0.00071604,14.32208189
"ee_re_3.5hr_only","C2","REACTOME",12221,"REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES","REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES",150,152,0.987,18,890,29854,5.82e-07,0.00071604,14.35759544
"ee_re_3.5hr_only","CELLMARKER","CELLMARKER",15817,"CELLMARKER_CD1C-CD141- Dendritic Cell Blood Human","CD1C-CD141- Dendritic Cell Blood",318,321,0.991,27,890,29854,1.27803e-06,0.000199008,13.57018863
"ee_re_3.5hr_only","C5","GOBP",4500,"GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION","GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION",481,500,0.962,34,890,29854,3.7311e-06,0.000332295,12.49880741
"ee_re_3.5hr_only","C2","WP",14739,"WP_TYPE_I_INTERFERON_INDUCTION_AND_SIGNALING_DURING_SARS_COV_2_INFECTION","WP_TYPE_I_INTERFERON_INDUCTION_AND_SIGNALING...(14739)",28,31,0.903,7,890,29854,1.4e-05,0.005542605,11.17698538
"ee_re_3.5hr_only","C2","REACTOME",12798,"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","REACTOME_INTERFERON_ALPHA_BETA_SIGNALING",78,78,1,11,890,29854,1.96e-05,0.006339619,10.84196069
"ee_re_3.5hr_only","C2","WP",14737,"WP_TYPE_II_INTERFERON_SIGNALING","WP_TYPE_II_INTERFERON_SIGNALING",36,37,0.973,7,890,29854,8.02e-05,0.017369338,9.431582001
"ee_re_24hr_only","C5","GOBP",2880,"GOBP_MITOCHONDRIAL_TRANSPORT","GOBP_MITOCHONDRIAL_TRANSPORT",186,189,0.984,19,407,29854,1.25e-11,7.97e-09,25.10881901
"ee_re_24hr_only","C2","REACTOME",12947,"REACTOME_MITOCHONDRIAL_BIOGENESIS","REACTOME_MITOCHONDRIAL_BIOGENESIS",94,94,1,14,407,29854,3.98e-11,4.72e-08,23.94830192
"ee_re_24hr_only","C5","GOBP",7174,"GOBP_RIBOSE_PHOSPHATE_METABOLIC_PROCESS","GOBP_RIBOSE_PHOSPHATE_METABOLIC_PROCESS",386,394,0.98,24,407,29854,8.89e-10,4.55e-07,20.84068364
"ee_re_24hr_only","C2","REACTOME",12953,"REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT","REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT",64,65,0.985,12,407,29854,6.08e-11,5.42e-08,23.52301026
"ee_re_24hr_only","C5","GOBP",2861,"GOBP_MITOCHONDRIAL_GENE_EXPRESSION","GOBP_MITOCHONDRIAL_GENE_EXPRESSION",163,163,1,16,407,29854,9.51e-10,4.64e-07,20.77365634
"ee_re_24hr_only","C5","GOBP",2879,"GOBP_MITOCHONDRIAL_TRANSMEMBRANE_TRANSPORT","GOBP_MITOCHONDRIAL_TRANSMEMBRANE_TRANSPORT",60,60,1,9,407,29854,1.19e-07,2.98e-05,15.94277725
"ee_re_24hr_only","C5","GOBP",2869,"GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY","GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY",98,101,0.97,9,407,29854,8.04e-06,0.00093611,11.73069302
