Regulator,site,Interaction,Target,Weight,Cluster,tissue,modality,regulator_id,target_id
FOXO1,S256s,regulates,PAX7,0.151557764,4,muscle,EE,Q12778_S256s,ENSG00000009709.12
FOXO1,S256s,regulates,MED17,0.256349785,4,muscle,EE,Q12778_S256s,ENSG00000042429.12
FOXO1,S256s,regulates,ADGRF5,0.109524838,4,muscle,EE,Q12778_S256s,ENSG00000069122.19
FOXO1,S256s,regulates,DAZAP1,0.137909242,4,muscle,EE,Q12778_S256s,ENSG00000071626.17
FOXO1,S256s,regulates,REXO2,0.103124226,4,muscle,EE,Q12778_S256s,ENSG00000076043.11
FOXO1,S256s,regulates,SESN1,0.129230138,4,muscle,EE,Q12778_S256s,ENSG00000080546.14
FOXO1,S256s,regulates,PLOD1,0.100279304,4,muscle,EE,Q12778_S256s,ENSG00000083444.17
FOXO1,S256s,regulates,DOCK9,0.140853503,4,muscle,EE,Q12778_S256s,ENSG00000088387.21
FOXO1,S256s,regulates,EZR,0.154126635,4,muscle,EE,Q12778_S256s,ENSG00000092820.19
FOXO1,S256s,regulates,ARCN1,0.155651931,4,muscle,EE,Q12778_S256s,ENSG00000095139.15
FOXO1,S256s,regulates,ASB2,0.131656995,4,muscle,EE,Q12778_S256s,ENSG00000100628.12
FOXO1,S256s,regulates,LIPG,0.100406446,4,muscle,EE,Q12778_S256s,ENSG00000101670.12
FOXO1,S256s,regulates,MOSPD1,0.104352127,4,muscle,EE,Q12778_S256s,ENSG00000101928.13
FOXO1,S256s,regulates,SCML2,0.108921686,4,muscle,EE,Q12778_S256s,ENSG00000102098.19
FOXO1,S256s,regulates,CSK,0.115444569,4,muscle,EE,Q12778_S256s,ENSG00000103653.17
FOXO1,S256s,regulates,IKBKB,0.149794749,4,muscle,EE,Q12778_S256s,ENSG00000104365.16
FOXO1,S256s,regulates,IL27RA,0.127285035,4,muscle,EE,Q12778_S256s,ENSG00000104998.4
FOXO1,S256s,regulates,GTPBP4,0.116863786,4,muscle,EE,Q12778_S256s,ENSG00000107937.19
FOXO1,S256s,regulates,ZBTB16,0.135785343,4,muscle,EE,Q12778_S256s,ENSG00000109906.15
FOXO1,S256s,regulates,C5orf15,0.100271591,4,muscle,EE,Q12778_S256s,ENSG00000113583.8
FOXO1,S256s,regulates,RBP1,0.204826793,4,muscle,EE,Q12778_S256s,ENSG00000114115.10
FOXO1,S256s,regulates,ST3GAL5,0.106358443,4,muscle,EE,Q12778_S256s,ENSG00000115525.18
FOXO1,S256s,regulates,KIAA2013,0.340481487,4,muscle,EE,Q12778_S256s,ENSG00000116685.16
FOXO1,S256s,regulates,MTR,0.11484935,4,muscle,EE,Q12778_S256s,ENSG00000116984.15
