GeneSym,Santini_et_al_2024,ATAC,any
PAX7,0,0,0
MED17,0,0,0
ADGRF5,0,0,0
DAZAP1,0,0,0
REXO2,0,0,0
SESN1,1,0,1
PLOD1,0,0,0
DOCK9,0,0,0
EZR,1,0,1
ARCN1,0,0,0
ASB2,0,0,0
LIPG,0,1,1
MOSPD1,0,0,0
SCML2,0,0,0
CSK,0,0,0
IKBKB,0,0,0
IL27RA,0,0,0
GTPBP4,0,0,0
ZBTB16,0,0,0
C5orf15,0,0,0
RBP1,0,0,0
ST3GAL5,0,0,0
KIAA2013,0,0,0
MTR,1,0,1
SLC16A7,0,1,1
RHOQ,0,0,0
NUDCD1,0,0,0
SLC25A51,0,0,0
BHLHE41,0,0,0
RAB9B,0,0,0
TTPAL,0,0,0
RREB1,1,0,1
PAX1,0,0,0
PCID2,0,0,0
RAB3IP,0,0,0
HIP1R,0,0,0
RBM39,0,0,0
ZNF341,0,0,0
USPL1,0,0,0
GRHL1,0,0,0
AKIRIN2,0,0,0
HEY2,0,0,0
GLUL,0,0,0
TTLL4,0,0,0
USP37,0,0,0
SETDB2,0,0,0
KAT7,0,0,0
TUBB2B,0,0,0
MTTP,0,1,1
RNF185,0,0,0
ESYT1,0,0,0
FAM181A,0,0,0
ST8SIA2,0,0,0
ZNF697,0,0,0
TEX30,0,0,0
FZD7,1,0,1
ANKRD9,0,0,0
PAXBP1,0,0,0
VMA21,0,0,0
FGFR4,0,0,0
DHRS3,1,0,1
MEAF6,0,0,0
HSPA4L,0,0,0
ABCA1,0,0,0
TRUB1,0,1,1
TRMT61A,0,0,0
GPRC5B,0,0,0
FN3K,0,0,0
E4F1,0,0,0
FADD,0,0,0
STAT3,0,0,0
FAM110B,0,0,0
MN1,0,0,0
ZRSR2,0,0,0
RNF34,0,0,0
TANC2,0,0,0
TPPP,0,0,0
ZBTB26,0,0,0
CHD2,0,0,0
ENDOV,0,0,0
ZBTB4,0,0,0
KLHL38,1,0,1
ZNF354B,0,0,0
PLD6,0,0,0
ARMCX2,0,0,0
LRRC14B,0,0,0
NSMCE3,0,0,0
ZNF696,0,0,0
HPDL,0,0,0
KBTBD12,0,0,0
CLN3,0,0,0
FAM53B,0,0,0
