GeneSym,ENCODE_2015,Akerberg_et_al_2019,any
JDP2,0,1,1
TRDN-AS1,NA,0,0
OTUD1,0,1,1
SEC24B,0,0,0
RHOF,0,0,0
ZNF483,0,0,0
SEMA7A,1,0,1
GEM,0,0,0
CEMIP2,NA,1,1
TRMT44,0,0,0
ASNSD1,0,0,0
TMF1,0,1,1
ADAM10,0,0,0
SPTSSA,0,0,0
VPS45,1,0,1
PPP1R3B,1,0,1
FBXL20,0,0,0
FKBP15,1,0,1
OSER1,0,0,0
HIPK1,0,0,0
CCDC146,0,0,0
NUDT15,0,0,0
TBC1D4,1,0,1
DNAJB4,1,0,1
EPC2,1,0,1
C2orf49,0,0,0
KDM6B,0,0,0
IRF2,1,0,1
ZSWIM1,0,0,0
DNAJB1,0,1,1
RASA4,0,0,0
ZNF701,0,0,0
HELZ2,0,0,0
PIK3R3,0,1,1
GTPBP3,0,0,0
SIRT7,0,0,0
RNF138,0,0,0
CCDC28B,0,0,0
PUM1,0,0,0
STARD8,0,0,0
ASH2L,0,0,0
PLD2,0,0,0
RCAN1,1,1,1
EGLN3,0,0,0
ID2,0,0,0
COA7,0,0,0
ZBTB1,1,0,1
ENSG00000272195.1,NA,0,0
RHOJ,0,0,0
BTBD3,0,1,1
HIF3A,0,0,0
KANSL1L,1,1,1
KCNJ2,0,1,1
ASXL2,0,0,0
ITIH6,0,0,0
ADORA1,0,0,0
UBE4B,1,0,1
ALG5,0,0,0
PROSER1,0,1,1
DNAJC15,0,0,0
EIF2S3,1,0,1
ATAD2B,1,1,1
NFKBIA,1,0,1
PNPLA7,0,0,0
NRDE2,0,0,0
CDC42EP2,0,0,0
ZNFX1,1,1,1
FBRS,0,0,0
E2F8,0,1,1
ARID1A,1,1,1
GBP1,0,0,0
TMEM214,0,1,1
SLC25A30,1,0,1
MAX,0,0,0
SBNO1,0,1,1
HARS2,1,0,1
BICRAL,NA,0,0
ABCC4,0,0,0
CCN1,NA,1,1
LMOD2,0,1,1
CBR1,0,0,0
TBC1D15,1,1,1
ACSS1,0,0,0
PTPN23-DT,NA,0,0
ETV6,1,1,1
ELF1,1,0,1
ENAH,0,0,0
SLC25A28,0,0,0
KANSL1,0,0,0
GNA13,1,1,1
IL10RA,1,0,1
CHMP1B,0,0,0
RANBP2,0,1,1
C1orf198,0,0,0
TMEM97,0,0,0
GATAD2B,1,0,1
C11orf58,0,0,0
DTX4,0,0,0
HERPUD2,0,1,1
CHMP4B,0,1,1
ADAR,0,0,0
RPRML,0,0,0
CHD1-DT,NA,0,0
BAG3,0,1,1
NMRK1,0,0,0
ACSL1,1,1,1
DNASE2,0,0,0
ETV3,0,1,1
PCDHB12,0,0,0
ASB5,1,0,1
NEAT1,1,0,1
EIF4E,1,0,1
PRKD2,0,0,0
DLG5,0,0,0
NPC2,0,0,0
IER5,1,0,1
KLF9,0,1,1
PLEKHO2,0,0,0
PIM1,0,1,1
WDR59,0,0,0
LAMC1,0,0,0
MORC2,0,0,0
AMMECR1,0,0,0
SNPH,0,0,0
USF3,NA,0,0
MTG2,0,0,0
ANKRD1,1,1,1
ETS2,0,1,1
FAM186A,0,0,0
ENSG00000232611.1,NA,0,0
HES1,1,1,1
