"Ome","tissue","Group","Timepoint","n_sig","Pearsons_R","slope","intercept"
"Transcriptomics","adipose","EE","post_15_30_45_min",57,0.93,1.15128559995354,-0.0337069534330823
"Transcriptomics","adipose","EE","post_3.5_4_hr",3,0.939,0.921625077192583,-0.0308312217845323
"Transcriptomics","adipose","EE","post_24_hr",3,0.752,1.85510424780261,0.689631361032657
"Transcriptomics","adipose","RE","post_15_30_45_min",34,0.867,1.2992127219822,0.0888739999210895
"Transcriptomics","adipose","RE","post_3.5_4_hr",31,-0.085,-0.065989212887661,-0.260805887064465
"Transcriptomics","blood","EE","during_20_min",2180,0.921,1.23688564555524,0.0185252110807115
"Transcriptomics","blood","EE","during_40_min",1867,0.916,1.23153164791926,0.0483402092601623
"Transcriptomics","blood","EE","post_10_min",439,0.902,1.21092086756577,0.0678197414403938
"Transcriptomics","blood","EE","post_15_30_45_min",840,0.875,0.924730318993027,0.012186348546985
"Transcriptomics","blood","EE","post_3.5_4_hr",2415,0.895,0.994491254572088,-0.00434678374430948
"Transcriptomics","blood","RE","post_10_min",1017,0.894,1.44392109000366,0.00999405604142914
"Transcriptomics","blood","RE","post_15_30_45_min",2565,0.888,1.34391904746724,-0.00225348698170505
"Transcriptomics","blood","RE","post_3.5_4_hr",3773,0.922,1.59315520853365,0.032558325106743
"Transcriptomics","blood","RE","post_24_hr",4,-0.739,-2.05028635237292,-0.433524841126727
"Transcriptomics","muscle","EE","post_15_30_45_min",980,0.973,1.00712510496707,0.0148104639936343
"Transcriptomics","muscle","EE","post_3.5_4_hr",2314,0.956,1.03839332331991,0.0178612021740392
"Transcriptomics","muscle","EE","post_24_hr",1284,0.897,1.08199893645421,0.00691461683371205
"Transcriptomics","muscle","RE","post_15_30_45_min",883,0.965,1.12206798231027,0.00456766814906828
"Transcriptomics","muscle","RE","post_3.5_4_hr",5611,0.956,1.10545550160698,0.000663863216547358
"Transcriptomics","muscle","RE","post_24_hr",3458,0.94,0.964802041960858,0.00409836518262779
"Metabolomics","blood","EE","during_20_min",159,0.954,1.02465859109613,0.0119675903806901
"Metabolomics","blood","EE","during_40_min",163,0.941,1.07361752232329,0.0311843143479948
"Metabolomics","blood","EE","post_10_min",161,0.923,1.03999169161768,0.0767724446210759
"Metabolomics","blood","EE","post_15_30_45_min",95,0.908,1.07106876921201,0.0156052421990626
"Metabolomics","blood","EE","post_3.5_4_hr",6,0.965,0.716005143951877,0.129181297081445
"Metabolomics","blood","EE","post_24_hr",3,0.07,0.157206114535815,-0.100516934633071
"Metabolomics","blood","RE","post_10_min",236,0.961,1.29471885558777,-0.0189265802568246
"Metabolomics","blood","RE","post_15_30_45_min",219,0.951,1.3311193232316,0.00259044746058799
"Metabolomics","blood","RE","post_3.5_4_hr",138,0.908,1.01417091623094,0.064347670086777
"Metabolomics","blood","RE","post_24_hr",35,0.819,0.943459166545789,0.0296479118082576
"Metabolomics","muscle","EE","post_15_30_45_min",35,0.959,1.29006780855905,0.150172781823205
"Metabolomics","muscle","EE","post_3.5_4_hr",8,0.985,1.00165710956564,0.0691127156641856
"Metabolomics","muscle","EE","post_24_hr",4,0.901,1.25663577035958,0.0319178496667273
"Metabolomics","muscle","RE","post_15_30_45_min",66,0.965,1.55211290800413,-0.232599118010472
"Metabolomics","muscle","RE","post_3.5_4_hr",9,0.951,1.03923859985532,0.00142621094799131
"Metabolomics","muscle","RE","post_24_hr",12,0.951,1.30291303806496,0.0855766495423504
"All","All","All","All",31107,0.926,1.12630213336664,0.0169730017709158
