"collection","database","set_id","set","set_short","set_size","set_size_DB","size_ratio","set_size_in_input","input_size","background_size","p_value","adj_p_value"
"C5","GOBP","02107","GOBP_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION","GOBP_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION",123,133,0.925,1,1,17287,0.00711517325157629,0.0790189159484005
"C2","REACTOME","12219","REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION","REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION...(12219)",291,308,0.945,1,1,17287,0.0168334586683636,0.0312373459825302
"C5","GOMF","10699","GOMF_UBIQUITIN_LIKE_PROTEIN_LIGASE_ACTIVITY","GOMF_UBIQUITIN_LIKE_PROTEIN_LIGASE_ACTIVITY",311,368,0.845,1,1,17287,0.0179903974084572,0.0790189159484005
"C2","REACTOME","12363","REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION","REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION",360,381,0.945,1,1,17287,0.0208248973216868,0.0312373459825302
"C5","GOMF","09076","GOMF_AMINOACYLTRANSFERASE_ACTIVITY","GOMF_AMINOACYLTRANSFERASE_ACTIVITY",424,494,0.858,1,1,17287,0.0245271012899868,0.0790189159484005
"C5","GOMF","09021","GOMF_ACYLTRANSFERASE_ACTIVITY","GOMF_ACYLTRANSFERASE_ACTIVITY",618,729,0.848,1,1,17287,0.0357494070688957,0.0790189159484005
"C5","GOBP","05447","GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS","GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS",709,751,0.944,1,1,17287,0.0410134783363221,0.0790189159484005
"CELLMARKER","CELLMARKER","16598","CELLMARKER_Oogenesis Phase Fetal Germ Cell Fetal Gonad Human","Oogenesis Phase Fetal Germ Cell Fetal Gonad",722,855,0.844,1,1,17287,0.041765488517383,0.041765488517383
"C2","REACTOME","12187","REACTOME_ADAPTIVE_IMMUNE_SYSTEM","REACTOME_ADAPTIVE_IMMUNE_SYSTEM",733,829,0.884,1,1,17287,0.0424018048244347,0.0424018048244347
"C5","GOBP","05392","GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION","GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION",747,835,0.895,1,1,17287,0.0432116619425003,0.0790189159484005
"C5","GOBP","02117","GOBP_HEMOPOIESIS","GOBP_HEMOPOIESIS",824,950,0.867,1,1,17287,0.0476658760918608,0.0790189159484005
"C5","GOBP","05272","GOBP_PROTEIN_CATABOLIC_PROCESS","GOBP_PROTEIN_CATABOLIC_PROCESS",911,982,0.928,1,1,17287,0.0526985596112685,0.0790189159484005
"C5","GOBP","05208","GOBP_POST_TRANSLATIONAL_PROTEIN_MODIFICATION","GOBP_POST_TRANSLATIONAL_PROTEIN_MODIFICATION",973,1095,0.889,1,1,17287,0.0562850697055591,0.0790189159484005
"C5","GOBP","04066","GOBP_ORGANONITROGEN_COMPOUND_CATABOLIC_PROCESS","GOBP_ORGANONITROGEN_COMPOUND_CATABOLIC_PROCESS",1211,1338,0.905,1,1,17287,0.0700526407126743,0.0790189159484005
"C5","GOBP","02596","GOBP_MACROMOLECULE_CATABOLIC_PROCESS","GOBP_MACROMOLECULE_CATABOLIC_PROCESS",1242,1419,0.875,1,1,17287,0.0718458957598195,0.0790189159484005
"C5","GOBP","00649","GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS","GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES...(00649)",1324,1759,0.753,1,1,17287,0.0765893445942036,0.0790189159484005
"C5","GOBP","05446","GOBP_PROTEOLYSIS","GOBP_PROTEOLYSIS",1366,1653,0.826,1,1,17287,0.0790189159484005,0.0790189159484005
