"collection","database","set_id","set","set_short","set_size","set_size_DB","size_ratio","set_size_in_input","input_size","background_size","p_value","adj_p_value"
"CELLMARKER","CELLMARKER","16427","CELLMARKER_Monocyte Fetal Kidney Human","Monocyte Fetal Kidney",782,796,0.982,374,1591,16972,3.02575861872351e-184,1.9183309642707e-181
"C2","REACTOME","12783","REACTOME_INNATE_IMMUNE_SYSTEM","REACTOME_INNATE_IMMUNE_SYSTEM",960,1125,0.853,293,1591,16972,3.02382277495071e-82,7.50815195020262e-79
"C2","REACTOME","13025","REACTOME_NEUTROPHIL_DEGRANULATION","REACTOME_NEUTROPHIL_DEGRANULATION",459,478,0.96,191,1591,16972,5.12368309855764e-78,6.36105256685931e-75
"C5","GOCC","08790","GOCC_SECRETORY_GRANULE","GOCC_SECRETORY_GRANULE",712,892,0.798,220,1591,16972,6.45729996457683e-62,3.56055520046766e-58
"C5","GOCC","08792","GOCC_SECRETORY_VESICLE","GOCC_SECRETORY_VESICLE",832,1067,0.78,237,1591,16972,1.98640346596906e-59,5.4765143556767e-56
"CELLMARKER","CELLMARKER","15817","CELLMARKER_CD1C-CD141- Dendritic Cell Blood Human","CD1C-CD141- Dendritic Cell Blood",319,321,0.994,132,1591,16972,2.317497320214e-53,7.34646650507837e-51
"CELLMARKER","CELLMARKER","16577","CELLMARKER_Neutrophil Kidney Human","Neutrophil Kidney",76,77,0.987,62,1591,16972,1.13745731185732e-50,2.4038264523918e-48
"CELLMARKER","CELLMARKER","16411","CELLMARKER_Microglial Cell Embryonic Prefrontal Cortex Human","Microglial Cell Embryonic Prefrontal Cortex",451,476,0.947,155,1591,16972,5.25006608736445e-50,8.32135474847266e-48
"C5","GOCC","08791","GOCC_SECRETORY_GRANULE_MEMBRANE","GOCC_SECRETORY_GRANULE_MEMBRANE",274,314,0.873,108,1591,16972,2.46175694252833e-41,4.52470926036707e-38
"C5","GOBP","01330","GOBP_DEFENSE_RESPONSE","GOBP_DEFENSE_RESPONSE",1357,1855,0.732,274,1591,16972,3.19756293580911e-37,4.40784050701286e-34
"C5","GOCC","08943","GOCC_VESICLE_MEMBRANE","GOCC_VESICLE_MEMBRANE",1033,1233,0.838,228,1591,16972,6.6878741979027e-37,7.37538766544709e-34
"C5","GOBP","06098","GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS","GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS",1280,1553,0.824,260,1591,16972,1.11941982923594e-35,1.02874682306783e-32
"C5","GOBP","00649","GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS","GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES...(00649)",1345,1759,0.765,268,1591,16972,2.58483607002484e-35,2.03611229858814e-32
"C5","GOBP","06097","GOBP_REGULATION_OF_IMMUNE_RESPONSE","GOBP_REGULATION_OF_IMMUNE_RESPONSE",795,935,0.85,185,1591,16972,6.10100865372364e-33,4.20512021457902e-30
"C5","GOBP","04674","GOBP_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS","GOBP_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS",907,1081,0.839,201,1591,16972,1.1064551351024e-32,6.77888179439405e-30
"C5","GOCC","08297","GOCC_FICOLIN_1_RICH_GRANULE","GOCC_FICOLIN_1_RICH_GRANULE",180,185,0.973,77,1591,16972,1.24526901704643e-32,6.86641335999403e-30
"C5","GOBP","01008","GOBP_CELL_ACTIVATION","GOBP_CELL_ACTIVATION",944,1109,0.851,202,1591,16972,1.18632204225127e-30,5.94670885543046e-28
"C2","REACTOME","12416","REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM","REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM",679,792,0.857,161,1591,16972,1.19311104707823e-29,9.87498243298418e-27
"C5","GOCC","08874","GOCC_TERTIARY_GRANULE","GOCC_TERTIARY_GRANULE",155,164,0.945,67,1591,16972,7.13773237313996e-29,3.27978802545781e-26
