"tissue","assay","feature_id","logFC_precawg","CI.L_precawg","CI.R_precawg","adj_p_value_precawg","randomGroupCode","Timepoint","platform","logFC_sex_diff","CI.L_sex_diff","CI.R_sex_diff","adj_p_value_sex_diff","entrez_gene","gene_symbol","ensembl_gene","uniprot","refmet_name","refmet_id","kegg_id"
"blood","transcript-rna-seq","ENSG00000069399.15",0.722342268311273,0.561095692598619,0.883588844023927,2.456249251683e-13,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.501000957394812,-0.686728146725607,-0.315273768064017,0.000164487983882867,"602","BCL3","ENSG00000069399",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000170525.21",0.872221046161344,0.675930088818919,1.06851200350377,2.456249251683e-13,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.559841936175692,-0.782273438892272,-0.337410433459112,0.00037561278459791,"5209","PFKFB3","ENSG00000170525",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000182541.18",0.575375305663265,0.4393349283793,0.71141568294723,4.23063105140432e-12,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.383207299683329,-0.541217060631965,-0.225197538734694,0.00059983676343893,"3985","LIMK2","ENSG00000182541",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000140332.18",0.608199415982538,0.463042503776951,0.753356328188125,5.41862262979066e-12,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.424434033155464,-0.58910048786062,-0.259767578450308,0.000308318345898433,"7090","TLE3","ENSG00000140332",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000158470.5",0.779480999661664,0.592892962656491,0.966069036666837,5.41862262979066e-12,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.515791428322952,-0.732855714720318,-0.298727141925587,0.000796213098594525,"9334","B4GALT5","ENSG00000158470",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000179820.16",0.56344598828894,0.427641470880873,0.699250505697007,6.86089910400579e-12,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.395904772220783,-0.554286100547756,-0.237523443893811,0.000400273753369955,"91663","MYADM","ENSG00000179820",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000196352.17",0.753148697566275,0.571180216984738,0.935117178147813,6.86089910400579e-12,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.555110499032318,-0.758815317302731,-0.351405680761904,0.000164487983882867,"1604","CD55","ENSG00000196352",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000184557.4",0.901322420720389,0.67988818285882,1.12275665858196,1.63287491193396e-11,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.456457019325678,-0.723901374408397,-0.18901266424296,0.0146830362733123,"9021","SOCS3","ENSG00000184557",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000135604.10",0.674578352649212,0.506028997381037,0.843127707917386,3.69506793757715e-11,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.459627423915041,-0.657847251959637,-0.261407595870446,0.000967799915869833,"8676","STX11","ENSG00000135604",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000064932.16",0.567508782288369,0.425481158803116,0.709536405773623,3.69506793757715e-11,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.413631534896172,-0.578694878278375,-0.248568191513969,0.000383174798610923,"22904","SBNO2","ENSG00000064932",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000274180.1",0.604957272097535,0.453378794609606,0.756535749585465,3.69506793757715e-11,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.39674409806767,-0.569744862777041,-0.223743333358299,0.00105112125034225,"256302","NATD1","ENSG00000274180",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000113719.17",0.638365412670053,0.476015904612904,0.800714920727203,7.77126719683894e-11,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.427060816864476,-0.611615713983505,-0.242505919745446,0.000980583612693665,"57222","ERGIC1","ENSG00000113719",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000166579.16",0.548211386934564,0.40849911937214,0.687923654496988,8.02693647022273e-11,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.437825287819581,-0.598231176717699,-0.277419398921463,0.000164487983882867,"81565","NDEL1","ENSG00000166579",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000170876.8",0.468347962996313,0.348523947111126,0.5881719788815,9.12428764560274e-11,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.259654056156478,-0.397840531641665,-0.121467580671291,0.00622641241790918,"79188","TMEM43","ENSG00000170876",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000059804.16",0.697302389979837,0.517292515624814,0.87731226433486,1.41334325451992e-10,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.456826848690627,-0.66192444845884,-0.251729248922414,0.00132653751475576,"6515","SLC2A3","ENSG00000059804",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000109118.14",0.43642027601158,0.322487907142217,0.550352644880942,2.3813652750833e-10,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.302398163048652,-0.432308122018126,-0.172488204079178,0.000927244834016447,"57649","PHF12","ENSG00000109118",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000185905.4",0.450497442844663,0.332636627177491,0.568358258511835,2.50448472549687e-10,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.296062763527848,-0.429629842765721,-0.162495684289975,0.00138140837736798,"283897","C16orf54","ENSG00000185905",NA,NA,NA,NA
