"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","Matching.Attribute","name","NeighborhoodConnectivity","nms.score.avg","nms.score.EE","nms.score.RE","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"0.0","0.0","0.0","0.03571428571428571","0","8","8","false","JDP2","JDP2","272.375","0.0147806255","0.007635158","0.021926093","0","0","false","0","JDP2","0"
"0.0","0.0","0.0","0.0","0","4","4","false","TRDN-AS1","TRDN-AS1","520.0","8.256334999999999E-4","2.4818E-4","0.001403087","0","0","false","0","TRDN-AS1","0"
"0.0","0.0","0.0","0.08333333333333333","0","4","4","false","OTUD1","OTUD1","639.75","0.0050190728355393776","8.27266710787558E-5","0.009955419","0","0","false","0","OTUD1","0"
"0.0","0.0","0.0","0.0","0","1","1","false","SEC24B","SEC24B","223.0","1.742E-4","2.4818E-4","1.0022E-4","0","0","false","0","SEC24B","0"
"0.0","0.0","0.0","0.05","0","5","5","false","RHOF","RHOF","277.6","0.012223313","0.013182918","0.011263708","0","0","false","0","RHOF","0"
"0.0","0.0","0.0","0.16666666666666666","0","4","4","false","ZNF483","ZNF483","586.0",,"0.003983032",,"0","1","false","0","ZNF483","0"
"0.0","0.0","0.0","0.0","0","5","5","false","SEMA7A","SEMA7A","321.0","0.0014208069999999998","1.65453E-4","0.002676161","0","0","false","0","SEMA7A","0"
"0.0","0.0","0.0","0.08333333333333333","0","4","4","false","GEM","GEM","481.75",,,"0.009654758","0","0","false","0","GEM","0"
"0.0","0.0","0.0","0.0","0","2","2","false","CEMIP2","CEMIP2","605.5","0.002041626","0.003983032","1.0022E-4","0","0","false","0","CEMIP2","0"
"0.0","0.0","0.0","0.0","0","2","2","false","TRMT44","TRMT44","601.5","0.0037722109999999997","0.006642438","9.01984E-4","0","0","false","0","TRMT44","0"
"0.0","0.0","0.0","0.5","0","2","2","false","ASNSD1","ASNSD1","690.5","0.007839084500000001","0.012118266","0.003559903","0","0","false","0","ASNSD1","0"
"1.9954853273137698","0.0","0.501131221719457","0.0","3","126","0","false","TMF1","TMF1","4.888888888888889","0.30046595649999996","0.581589359","0.019342554","126","0","false","0","TMF1","0"
"0.0","0.0","0.0","0.0","0","1","1","false","ADAM10","ADAM10","223.0","2.155635E-4","3.30907E-4","1.0022E-4","0","0","false","0","ADAM10","0"
"0.0","0.0","0.0","0.0","0","2","2","false","SPTSSA","SPTSSA","441.5","0.014173535999999999","0.028146631","2.00441E-4","0","0","false","0","SPTSSA","0"
"0.0","0.0","0.0","0.0","0","4","4","false","VPS45","VPS45","253.25","0.0020523755","8.27267E-4","0.003277484","0","0","false","0","VPS45","0"
"0.0","0.0","0.0","0.0","0","3","3","false","PPP1R3B","PPP1R3B","133.0","0.0038374435","0.006973344","7.01543E-4","0","0","false","0","PPP1R3B","0"
"0.0","0.0","0.0","0.0","0","3","3","false","FBXL20","FBXL20","195.0","2.418043355393779E-4","8.27266710787558E-5","4.00882E-4","0","0","false","0","FBXL20","0"
"0.0","0.0","0.0","0.0","0","2","2","false","FKBP15","FKBP15","121.0","1.415838355393779E-4","8.27266710787558E-5","2.00441E-4","0","0","false","0","FKBP15","0"
"0.0","0.0","0.0","0.0","0","3","3","false","OSER1","OSER1","592.0","0.001793446","0.003486672","1.0022E-4","0","0","false","0","OSER1","0"
"0.0","0.0","0.0","0.0","0","2","2","false","HIPK1","HIPK1","99.0","0.002041626","0.003983032","1.0022E-4","0","0","false","0","HIPK1","0"
"0.0","0.0","0.0","0.0","0","2","2","false","CCDC146","CCDC146","398.0","9.14733355393779E-5","8.27266710787558E-5","1.0022E-4","0","0","false","0","CCDC146","0"
"0.0","0.0","0.0","0.16666666666666666","0","3","3","false","NUDT15","NUDT15","513.0","0.0024942465","8.27267E-4","0.004161226","0","0","false","0","NUDT15","0"
"0.0","0.0","0.0","0.0","0","1","1","false","TBC1D4","TBC1D4","1158.0","0.005242104500000001","0.010283768","2.00441E-4","0","0","false","0","TBC1D4","0"
"0.0","0.0","0.0","0.0","0","3","3","false","DNAJB4","DNAJB4","260.6666666666667",,,"9.01984E-4","0","0","false","0","DNAJB4","0"
"0.0","0.0","0.0","0.5","0","2","2","false","EPC2","EPC2","690.5","0.001821314835539378","8.27266710787558E-5","0.003559903","0","0","false","0","EPC2","0"
"0.0","0.0","0.0","0.0","0","2","2","false","C2orf49","C2orf49","292.0","3.658945E-4","3.30907E-4","4.00882E-4","0","0","false","0","C2orf49","0"
"0.0","0.0","0.0","0.0","0","4","4","false","KDM6B","KDM6B","228.75","0.00413633","0.003321219","0.004951441","0","0","false","0","KDM6B","0"
"0.0","0.0","0.0","0.0","0","2","2","false","IRF2","IRF2","151.5","1.916938355393779E-4","8.27266710787558E-5","3.00661E-4","0","0","false","0","IRF2","0"
"0.0","0.0","0.0","0.0","0","1","1","false","ZSWIM1","ZSWIM1","229.0","0.0015804575","0.002760033","4.00882E-4","0","0","false","0","ZSWIM1","0"
"0.0","0.0","0.0","0.0","0","2","2","false","DNAJB1","DNAJB1","223.5","0.005640615","0.010780128","5.01102E-4","0","0","false","0","DNAJB1","0"
"0.0","0.0","0.0","0.0","0","5","5","false","RASA4","RASA4","133.6","5.313475E-4","6.61813E-4","4.00882E-4","0","0","false","0","RASA4","0"
"0.0","0.0","0.0","0.0","0","1","1","false","ZNF701","ZNF701","184.0","0.0019087895","0.003817579","0.0","0","0","false","0","ZNF701","0"
"0.0","0.0","0.0","0.0","0","4","4","false","HELZ2","HELZ2","334.75","0.003589717335539378","8.27266710787558E-5","0.007096708","0","0","false","0","HELZ2","0"
"0.0","0.0","0.0","0.05","0","8","8","false","PIK3R3","PIK3R3","376.0","0.0025228583355393778","8.27266710787558E-5","0.00496299","0","1","false","0","PIK3R3","0"
"0.0","0.0","0.0","0.0","0","4","4","false","GTPBP3","GTPBP3","213.75","0.0018694279999999998","6.61813E-4","0.003077043","0","0","false","0","GTPBP3","0"
"0.0","0.0","0.0","0.0","0","2","2","false","SIRT7","SIRT7","264.0","0.0078317475","0.015362834","3.00661E-4","0","0","false","0","SIRT7","0"
"0.0","0.0","0.0","0.0","0","1","1","false","RNF138","RNF138","223.0","4.2238000000000003E-4","7.4454E-4","1.0022E-4","0","0","false","0","RNF138","0"
"0.0","0.0","0.0","0.0","0","3","3","false","CCDC28B","CCDC28B","545.0","0.002935686","2.4818E-4","0.005623192","0","0","false","0","CCDC28B","0"
"0.0","0.0","0.0","0.0","0","1","1","false","PUM1","PUM1","1158.0","0.0034202595","0.006640078","2.00441E-4","0","0","false","0","PUM1","0"
"0.0","0.0","0.0","0.0","0","1","1","false","STARD8","STARD8","127.0","0.0015303469999999998","0.002760033","3.00661E-4","0","0","false","0","STARD8","0"
"0.0","0.0","0.0","0.0","0","1","1","false","ASH2L","ASH2L","223.0","0.0022310565","0.004361893","1.0022E-4","0","0","false","0","ASH2L","0"
"0.0","0.0","0.0","0.0","0","3","3","false","PLD2","PLD2","230.33333333333334","0.0125116895","0.022146777","0.002876602","0","0","false","0","PLD2","0"
"0.0","0.0","0.0","0.0","0","2","2","false","RCAN1","RCAN1","354.5",,,"9.01984E-4","0","0","false","0","RCAN1","0"
"0.0","0.0","0.0","0.0","0","2","2","false","EGLN3","EGLN3","243.5","4.1600450000000005E-4","3.30907E-4","5.01102E-4","0","0","false","0","EGLN3","0"
"0.0","0.0","0.0","0.0","0","7","7","false","ID2","ID2","192.4","0.003325223","4.9636E-4","0.006154086","0","1","false","0","ID2","0"
"0.0","0.0","0.0","0.0","0","3","3","false","COA7","COA7","421.3333333333333","0.0012442355","4.13633E-4","0.002074838","0","0","false","0","COA7","0"
"0.0","0.0","0.0","0.08333333333333333","0","4","4","false","ZBTB1","ZBTB1","449.0","0.0025228583355393778","8.27266710787558E-5","0.00496299","0","0","false","0","ZBTB1","0"
"0.0","0.0","0.0","0.0","0","2","2","false","ENSG00000272195.1","ENSG00000272195.1","563.5","0.0023574105","0.004313939","4.00882E-4","0","0","false","0","ENSG00000272195.1","0"
"0.0","0.0","0.0","0.0","0","6","6","false","RHOJ","RHOJ","301.5",,,"0.008098912","0","0","false","0","RHOJ","0"
"0.0","0.0","0.0","0.0","0","1","1","false","BTBD3","BTBD3","87.0","0.0014627435","0.002925487","0.0","0","0","false","0","BTBD3","0"
"0.0","0.0","0.0","0.0","0","2","2","false","HIF3A","HIF3A","398.0",,,"1.0022E-4","0","0","false","0","HIF3A","0"
