Cluster,EdgeBetweenness,interaction,modality,name,Peak_chr,Peak_end,Peak_start,regulator_id,selected,shared interaction,shared name,site,source,strand,Target_gene_id,target_id,TF_id,tissue,Weight,MEF2A_sign,target_sign,target_sign_consensus,directionality
11,474402.8651,regulates,RE,MEF2A (regulates) PDE4A,NA,NA,NA,Q02078_S98s,FALSE,regulates,MEF2A (regulates) PDE4A,S98s,SCION,NA,NA,ENSG00000065989.16,NA,muscle,0.129139206,-1,-1,-1,1
11,21799.5724,regulates,RE,MEF2A (regulates) SPHK2,NA,NA,NA,Q02078_S98s,FALSE,regulates,MEF2A (regulates) SPHK2,S98s,SCION,NA,NA,ENSG00000063176.16,NA,muscle,0.187920671,-1,-1,-1,1
11,18176.22857142814,regulates,RE,MEF2A (regulates) CS,NA,NA,NA,Q02078_S98s,FALSE,regulates,MEF2A (regulates) CS,S98s,SCION,NA,NA,ENSG00000062485.19,NA,muscle,0.157857419,-1,1,1,-1
11,23890.519107557124,regulates,EE,MEF2A (regulates) KLHL41,NA,NA,NA,Q02078_S98s,FALSE,regulates,MEF2A (regulates) KLHL41,S98s,SCION,NA,NA,ENSG00000239474.7,NA,muscle,0.347546641,-1,1|1,1,-1
11,495144.2878788081,regulates,EE,MEF2A (regulates) SNHG7,NA,NA,NA,Q02078_S98s,FALSE,regulates,MEF2A (regulates) SNHG7,S98s,SCION,NA,NA,ENSG00000233016.8,NA,muscle,0.127723575,-1,-1|-1,-1,1
11,47332.618131863135,regulates,EE,MEF2A (regulates) CEBPD,NA,NA,NA,Q02078_S98sT108t,FALSE,regulates,MEF2A (regulates) CEBPD,S98sT108t,SCION,NA,NA,ENSG00000221869.5,NA,muscle,0.265603337,1,1|-1,NA,NA
11,992612.4666666453,regulates,EE,MEF2A (regulates) BRD2,NA,NA,NA,Q02078_S98sT108t,FALSE,regulates,MEF2A (regulates) BRD2,S98sT108t,SCION,NA,NA,ENSG00000204256.14,NA,muscle,0.263172403,1,1|1,1,1
11,1025424.1960785602,regulates,EE,MEF2A (regulates) MCMBP,NA,NA,NA,Q02078_S98sT108t,FALSE,regulates,MEF2A (regulates) MCMBP,S98sT108t,SCION,NA,NA,ENSG00000197771.13,NA,muscle,0.101417125,1,1|-1,NA,NA
11,128184.5940476075,regulates,EE,MEF2A (regulates) TLE1,NA,NA,NA,Q02078_S98sT108t,FALSE,regulates,MEF2A (regulates) TLE1,S98sT108t,SCION,NA,NA,ENSG00000196781.16,NA,muscle,0.250866467,1,-1|-1,-1,-1
11,1008336.1468252852,regulates,EE,MEF2A (regulates) ZC3H6,NA,NA,NA,Q02078_S98sT108t,FALSE,regulates,MEF2A (regulates) ZC3H6,S98sT108t,SCION,NA,NA,ENSG00000188177.14,NA,muscle,0.170628748,1,-1,-1,-1
11,19510.672802197747,regulates,EE,MEF2A (regulates) PRR14L,NA,NA,NA,Q02078_S98s,FALSE,regulates,MEF2A (regulates) PRR14L,S98s,SCION,NA,NA,ENSG00000183530.14,NA,muscle,0.1676746,-1,-1,-1,1
11,495539.1212121187,regulates,EE,MEF2A (regulates) TNRC18,NA,NA,NA,Q02078_S98sT108t,FALSE,regulates,MEF2A (regulates) TNRC18,S98sT108t,SCION,NA,NA,ENSG00000182095.15,NA,muscle,0.132304569,1,-1|-1,-1,-1
11,915040.1119048124,regulates,EE,MEF2A (regulates) PCBP1-AS1,NA,NA,NA,Q02078_S98s,FALSE,regulates,MEF2A (regulates) PCBP1-AS1,S98s,SCION,NA,NA,ENSG00000179818.16,NA,muscle,0.153189133,-1,-1,-1,1
11,3756131.7095141415,regulates,EE,MEF2A (regulates) ZBTB7A,NA,NA,NA,Q02078_S98s,FALSE,regulates,MEF2A (regulates) ZBTB7A,S98s,SCION,NA,NA,ENSG00000178951.9,NA,muscle,0.321849395,-1,-1|-1,-1,1
11,4783570.0932126595,regulates,EE,MEF2A (regulates) ZHX2,NA,NA,NA,Q02078_S98sT108t,FALSE,regulates,MEF2A (regulates) ZHX2,S98sT108t,SCION,NA,NA,ENSG00000178764.8,NA,muscle,0.136795908,1,-1|1,NA,NA
11,498726.4175114719,regulates,EE,MEF2A (regulates) JUN,NA,NA,NA,Q02078_S98sT108t,FALSE,regulates,MEF2A (regulates) JUN,S98sT108t,SCION,NA,NA,ENSG00000177606.8,NA,muscle,0.219350167,1,1|1|1|-1,1,1
11,1481065.639604523,regulates,EE,MEF2A (regulates) NR1D2,NA,NA,NA,Q02078_S98sT108t,FALSE,regulates,MEF2A (regulates) NR1D2,S98sT108t,SCION,NA,NA,ENSG00000174738.13,NA,muscle,0.105792832,1,-1|-1,-1,-1
11,746406.6598885023,regulates,EE,MEF2A (regulates) PPP1R3B,NA,NA,NA,Q02078_S98sT108t,FALSE,regulates,MEF2A (regulates) PPP1R3B,S98sT108t,SCION,NA,NA,ENSG00000173281.5,NA,muscle,0.129035558,1,-1|-1,-1,-1
11,9450.716450215605,regulates,EE,MEF2A (regulates) JMJD1C,NA,NA,NA,Q02078_S98sT108t,FALSE,regulates,MEF2A (regulates) JMJD1C,S98sT108t,SCION,NA,NA,ENSG00000171988.20,NA,muscle,0.174485427,1,1,1,1
11,249279.88291925364,regulates,EE,MEF2A (regulates) TRIM8,NA,NA,NA,Q02078_S98sT108t,FALSE,regulates,MEF2A (regulates) TRIM8,S98sT108t,SCION,NA,NA,ENSG00000171206.15,NA,muscle,0.12445741,1,-1,-1,-1
11,14715.755555556245,regulates,EE,MEF2A (regulates) PKIA,NA,NA,NA,Q02078_S98sT108t,FALSE,regulates,MEF2A (regulates) PKIA,S98sT108t,SCION,NA,NA,ENSG00000171033.13,NA,muscle,0.111734117,1,1,1,1
11,997452.5095238172,regulates,EE,MEF2A (regulates) RNF139,NA,NA,NA,Q02078_S98s,FALSE,regulates,MEF2A (regulates) RNF139,S98s,SCION,NA,NA,ENSG00000170881.5,NA,muscle,0.12305556,-1,1,1,-1
