"feature","factor","value","view","rank","factor_var_pct_exp","group"
"PPP1R3A_S649s","Factor1",0.415894895792007,"Phosphoproteomics",1,2.5407075881958,"ADUResist"
"MYH4_S1514s","Factor2",-0.704433619976044,"Phosphoproteomics",1,6.12024068832397,"ADUResist"
"LMOD2_T384t","Factor3",-0.826795637607574,"Phosphoproteomics",1,7.11556673049927,"ADUResist"
"CAP2_S309s","Factor4",0.258126884698868,"Phosphoproteomics",1,0.770455598831177,"ADUResist"
"CASKIN2_S403s","Factor5",0.878683149814606,"Phosphoproteomics",1,8.9109480381012,"ADUResist"
"MYBPC1_S636s","Factor6",-0.499384820461273,"Phosphoproteomics",1,3.06875109672546,"ADUResist"
"CKMT2_Y255y","Factor7",-0.322534799575806,"Phosphoproteomics",1,1.44950151443481,"ADUResist"
"TBC1D4_S673s","Factor8",-0.226733699440956,"Phosphoproteomics",1,1.05330348014832,"ADUResist"
"CAP2_S309s","Factor9",0.0635565519332886,"Phosphoproteomics",1,0.235497951507568,"ADUResist"
"FHL1_T55t","Factor10",-0.696771800518036,"Phosphoproteomics",1,3.7848949432373,"ADUResist"
"ZFHX4","Factor1",-0.769818902015686,"Transcriptomics",1,15.0260210037231,"ADUResist"
"PFKFB2","Factor2",0.41789299249649,"Transcriptomics",1,3.6385715007782,"ADUResist"
"PNRC2","Factor3",0.506779789924622,"Transcriptomics",1,2.1872878074646,"ADUResist"
"NORAD","Factor4",-0.739435255527496,"Transcriptomics",1,8.42064023017883,"ADUResist"
"CLIC1","Factor5",0.018629839643836,"Transcriptomics",1,0.0453412532806396,"ADUResist"
"NLGN4Y","Factor6",0.771990597248077,"Transcriptomics",1,4.2313814163208,"ADUResist"
"MRPL35","Factor7",-0.572895407676697,"Transcriptomics",1,4.22167181968689,"ADUResist"
"KIF1B","Factor8",-0.62797212600708,"Transcriptomics",1,4.58999276161194,"ADUResist"
"PHB2","Factor9",0.564333856105804,"Transcriptomics",1,4.54192757606506,"ADUResist"
"ZMYM3","Factor10",-0.0132491691038013,"Transcriptomics",1,0.0320196151733398,"ADUResist"
"HSPB1_S199s","Factor1",0.39929860830307,"Phosphoproteomics",2,2.5407075881958,"ADUResist"
"ACTN3_S298s","Factor2",-0.684325635433197,"Phosphoproteomics",2,6.12024068832397,"ADUResist"
"C4orf54_S1423s","Factor3",0.814969301223755,"Phosphoproteomics",2,7.11556673049927,"ADUResist"
"PPP1R7_S24s","Factor4",-0.193243026733398,"Phosphoproteomics",2,0.770455598831177,"ADUResist"
"ZBTB14_T235t","Factor5",0.836227595806122,"Phosphoproteomics",2,8.9109480381012,"ADUResist"
"GGT7_S72s","Factor6",0.490472346544266,"Phosphoproteomics",2,3.06875109672546,"ADUResist"
"TTN_S26782s","Factor7",0.30175107717514,"Phosphoproteomics",2,1.44950151443481,"ADUResist"
"C4orf54_S207s","Factor8",-0.195751264691353,"Phosphoproteomics",2,1.05330348014832,"ADUResist"
"LGALS3BP_S444s","Factor9",-0.0581245012581348,"Phosphoproteomics",2,0.235497951507568,"ADUResist"
"CPEB3_S192sS195s","Factor10",-0.695260584354401,"Phosphoproteomics",2,3.7848949432373,"ADUResist"
"DIAPH1","Factor1",0.74940150976181,"Transcriptomics",2,15.0260210037231,"ADUResist"
"EMC7","Factor2",-0.406782448291779,"Transcriptomics",2,3.6385715007782,"ADUResist"
"GZF1","Factor3",0.491081774234772,"Transcriptomics",2,2.1872878074646,"ADUResist"
"AATF","Factor4",0.679217636585236,"Transcriptomics",2,8.42064023017883,"ADUResist"
"DIAPH1","Factor5",-0.0129213910549879,"Transcriptomics",2,0.0453412532806396,"ADUResist"
"DDX3Y","Factor6",0.757538735866547,"Transcriptomics",2,4.2313814163208,"ADUResist"
"ATP5MG","Factor7",-0.570858716964722,"Transcriptomics",2,4.22167181968689,"ADUResist"
"PPP1R12B","Factor8",-0.616811275482178,"Transcriptomics",2,4.58999276161194,"ADUResist"
"DDX54","Factor9",0.546160757541656,"Transcriptomics",2,4.54192757606506,"ADUResist"
"PSME4","Factor10",0.0108922515064478,"Transcriptomics",2,0.0320196151733398,"ADUResist"
"CMYA5_S1425s","Factor1",0.396781384944916,"Phosphoproteomics",3,2.5407075881958,"ADUResist"
"GAPDH_S210s","Factor2",-0.678167641162872,"Phosphoproteomics",3,6.12024068832397,"ADUResist"
"CMYA5_S362s","Factor3",0.778254628181458,"Phosphoproteomics",3,7.11556673049927,"ADUResist"
"SZRD1_S107s","Factor4",-0.163442507386208,"Phosphoproteomics",3,0.770455598831177,"ADUResist"
"DCAF5_S648s","Factor5",0.829421103000641,"Phosphoproteomics",3,8.9109480381012,"ADUResist"
"MYH7_S1288s","Factor6",-0.484358668327332,"Phosphoproteomics",3,3.06875109672546,"ADUResist"
"AHNAK_S5400s","Factor7",0.294683575630188,"Phosphoproteomics",3,1.44950151443481,"ADUResist"
"TACC2_S712s","Factor8",-0.193804055452347,"Phosphoproteomics",3,1.05330348014832,"ADUResist"
"CASQ1_S216s","Factor9",0.0511734522879124,"Phosphoproteomics",3,0.235497951507568,"ADUResist"
"TCEAL3_S30s","Factor10",-0.637385189533234,"Phosphoproteomics",3,3.7848949432373,"ADUResist"
"CDC37L1","Factor1",0.740497946739197,"Transcriptomics",3,15.0260210037231,"ADUResist"
"KIAA1217","Factor2",0.395670920610428,"Transcriptomics",3,3.6385715007782,"ADUResist"
"HES1","Factor3",0.465473532676697,"Transcriptomics",3,2.1872878074646,"ADUResist"
"RALGAPA1","Factor4",-0.673888564109802,"Transcriptomics",3,8.42064023017883,"ADUResist"
"TJP1","Factor5",-0.0125282257795334,"Transcriptomics",3,0.0453412532806396,"ADUResist"
"PUDP","Factor6",-0.756768345832825,"Transcriptomics",3,4.2313814163208,"ADUResist"
"SDHB","Factor7",-0.525333523750305,"Transcriptomics",3,4.22167181968689,"ADUResist"
"EXOC5","Factor8",-0.600244283676147,"Transcriptomics",3,4.58999276161194,"ADUResist"
"CNN3","Factor9",-0.510882914066315,"Transcriptomics",3,4.54192757606506,"ADUResist"
"PSMD7","Factor10",0.0106053855270147,"Transcriptomics",3,0.0320196151733398,"ADUResist"
"CAP2_S301s","Factor1",0.392054557800293,"Phosphoproteomics",4,2.5407075881958,"ADUResist"
"MYH2_S1043s","Factor2",-0.637970209121704,"Phosphoproteomics",4,6.12024068832397,"ADUResist"
"SYNPO_S281s","Factor3",-0.773526668548584,"Phosphoproteomics",4,7.11556673049927,"ADUResist"
"STIM1_S668s","Factor4",0.159442216157913,"Phosphoproteomics",4,0.770455598831177,"ADUResist"
"PALM2AKAP2_S366s","Factor5",0.805522322654724,"Phosphoproteomics",4,8.9109480381012,"ADUResist"
"MYH7_S1630s","Factor6",-0.457945436239243,"Phosphoproteomics",4,3.06875109672546,"ADUResist"
"AHNAK_S3220s","Factor7",0.286847710609436,"Phosphoproteomics",4,1.44950151443481,"ADUResist"
"LMO7_S805s","Factor8",-0.19236995279789,"Phosphoproteomics",4,1.05330348014832,"ADUResist"
"EIF4G1_S1231s","Factor9",-0.0488656051456928,"Phosphoproteomics",4,0.235497951507568,"ADUResist"
"CAMK2B_S522s","Factor10",-0.622783780097961,"Phosphoproteomics",4,3.7848949432373,"ADUResist"
"TGFB2","Factor1",0.73693722486496,"Transcriptomics",4,15.0260210037231,"ADUResist"
"PNRC2","Factor2",0.394161611795425,"Transcriptomics",4,3.6385715007782,"ADUResist"
"PPP1R27","Factor3",0.437219500541687,"Transcriptomics",4,2.1872878074646,"ADUResist"
"ZNF207","Factor4",-0.669060289859772,"Transcriptomics",4,8.42064023017883,"ADUResist"
"KIAA1217","Factor5",-0.0123887220397592,"Transcriptomics",4,0.0453412532806396,"ADUResist"
"EIF2S3","Factor6",-0.754567921161652,"Transcriptomics",4,4.2313814163208,"ADUResist"
"NTMT1","Factor7",-0.518949389457703,"Transcriptomics",4,4.22167181968689,"ADUResist"
"WNK1","Factor8",-0.598321616649628,"Transcriptomics",4,4.58999276161194,"ADUResist"
"ADGRL4","Factor9",-0.493684023618698,"Transcriptomics",4,4.54192757606506,"ADUResist"
"WDR75","Factor10",0.0103147160261869,"Transcriptomics",4,0.0320196151733398,"ADUResist"
"CAP2_S309s","Factor1",0.385328054428101,"Phosphoproteomics",5,2.5407075881958,"ADUResist"
"MYH2_T1606t","Factor2",-0.625777781009674,"Phosphoproteomics",5,6.12024068832397,"ADUResist"
"PROB1_S472s","Factor3",-0.76819908618927,"Phosphoproteomics",5,7.11556673049927,"ADUResist"
"MAP2K4_S90s","Factor4",0.154155761003494,"Phosphoproteomics",5,0.770455598831177,"ADUResist"
"ASPH_S97s","Factor5",0.803021907806396,"Phosphoproteomics",5,8.9109480381012,"ADUResist"
"MYH7_T619t","Factor6",-0.428906112909317,"Phosphoproteomics",5,3.06875109672546,"ADUResist"
"PLIN1_S436s","Factor7",0.280640184879303,"Phosphoproteomics",5,1.44950151443481,"ADUResist"
"FGA_S281s","Factor8",0.190294951200485,"Phosphoproteomics",5,1.05330348014832,"ADUResist"
"PPP1R3A_S649s","Factor9",0.0472822040319443,"Phosphoproteomics",5,0.235497951507568,"ADUResist"
"FNBP4_T479t","Factor10",-0.572233617305756,"Phosphoproteomics",5,3.7848949432373,"ADUResist"
"SPEN","Factor1",0.736655473709106,"Transcriptomics",5,15.0260210037231,"ADUResist"
"MSRB3","Factor2",-0.38876873254776,"Transcriptomics",5,3.6385715007782,"ADUResist"
"ID2","Factor3",0.413780987262726,"Transcriptomics",5,2.1872878074646,"ADUResist"
"ASB2","Factor4",-0.665958225727081,"Transcriptomics",5,8.42064023017883,"ADUResist"
"SPEN","Factor5",-0.0122997779399157,"Transcriptomics",5,0.0453412532806396,"ADUResist"
"KANSL3","Factor6",0.528513133525848,"Transcriptomics",5,4.2313814163208,"ADUResist"
"SLC16A1","Factor7",-0.518134832382202,"Transcriptomics",5,4.22167181968689,"ADUResist"
"USP47","Factor8",-0.573525786399841,"Transcriptomics",5,4.58999276161194,"ADUResist"
"CLIC1","Factor9",-0.486832976341248,"Transcriptomics",5,4.54192757606506,"ADUResist"
"KAZALD1","Factor10",0.0100599667057395,"Transcriptomics",5,0.0320196151733398,"ADUResist"
"MYBPC1_T41t","Factor1",0.373734623193741,"Phosphoproteomics",6,2.5407075881958,"ADUResist"
"MYH2_T999t","Factor2",-0.623745679855347,"Phosphoproteomics",6,6.12024068832397,"ADUResist"
"WWP2_S211s","Factor3",-0.765589535236359,"Phosphoproteomics",6,7.11556673049927,"ADUResist"
"C4orf54_S207s","Factor4",0.141988769173622,"Phosphoproteomics",6,0.770455598831177,"ADUResist"
"SMARCC1_S328sS330s","Factor5",0.795750677585602,"Phosphoproteomics",6,8.9109480381012,"ADUResist"
"MYH7_S1463s","Factor6",-0.426434725522995,"Phosphoproteomics",6,3.06875109672546,"ADUResist"
"METTL26_S149s","Factor7",0.280369818210602,"Phosphoproteomics",6,1.44950151443481,"ADUResist"
"XIRP1_S205s","Factor8",-0.165717259049416,"Phosphoproteomics",6,1.05330348014832,"ADUResist"
"CHCHD3_S50s","Factor9",-0.0460590422153473,"Phosphoproteomics",6,0.235497951507568,"ADUResist"
"HDGF_S132sS133s","Factor10",-0.5603386759758,"Phosphoproteomics",6,3.7848949432373,"ADUResist"
"LIMS1","Factor1",0.728729784488678,"Transcriptomics",6,15.0260210037231,"ADUResist"
"PGRMC2","Factor2",-0.387473911046982,"Transcriptomics",6,3.6385715007782,"ADUResist"
"G0S2","Factor3",0.393284022808075,"Transcriptomics",6,2.1872878074646,"ADUResist"
"RB1CC1","Factor4",-0.66183990240097,"Transcriptomics",6,8.42064023017883,"ADUResist"
"GPR153","Factor5",0.0117781199514866,"Transcriptomics",6,0.0453412532806396,"ADUResist"
"DAAM2","Factor6",0.527613699436188,"Transcriptomics",6,4.2313814163208,"ADUResist"
"ESRRA","Factor7",-0.51208221912384,"Transcriptomics",6,4.22167181968689,"ADUResist"
"STRN","Factor8",-0.57288920879364,"Transcriptomics",6,4.58999276161194,"ADUResist"
"BCR","Factor9",-0.480301588773727,"Transcriptomics",6,4.54192757606506,"ADUResist"
"PKN2","Factor10",-0.00992676429450512,"Transcriptomics",6,0.0320196151733398,"ADUResist"
"SZRD1_S107s","Factor1",0.36234125494957,"Phosphoproteomics",7,2.5407075881958,"ADUResist"
"ENO3_Y44y","Factor2",-0.617289364337921,"Phosphoproteomics",7,6.12024068832397,"ADUResist"
"SYNPO2_T904tS906s","Factor3",-0.729379653930664,"Phosphoproteomics",7,7.11556673049927,"ADUResist"
"PRKAR1A_S77sS83s","Factor4",-0.134021431207657,"Phosphoproteomics",7,0.770455598831177,"ADUResist"
"KRI1_S171s","Factor5",0.791570663452148,"Phosphoproteomics",7,8.9109480381012,"ADUResist"
"MYH2_Y1858y","Factor6",-0.417128294706345,"Phosphoproteomics",7,3.06875109672546,"ADUResist"
"SPEG_S537s","Factor7",-0.272729963064194,"Phosphoproteomics",7,1.44950151443481,"ADUResist"
"TTN_S19214s","Factor8",-0.161152482032776,"Phosphoproteomics",7,1.05330348014832,"ADUResist"
"MAP4_S507s","Factor9",0.0459572821855545,"Phosphoproteomics",7,0.235497951507568,"ADUResist"
"THRAP3_S253s","Factor10",-0.556677043437958,"Phosphoproteomics",7,3.7848949432373,"ADUResist"
"ENSG00000288640.1","Factor1",0.712149679660797,"Transcriptomics",7,15.0260210037231,"ADUResist"
"MYADM","Factor2",0.383339554071426,"Transcriptomics",7,3.6385715007782,"ADUResist"
"C2CD4B","Factor3",0.384249866008759,"Transcriptomics",7,2.1872878074646,"ADUResist"
"ARMC7","Factor4",0.659235298633575,"Transcriptomics",7,8.42064023017883,"ADUResist"
"DAGLA","Factor5",-0.0116835841909051,"Transcriptomics",7,0.0453412532806396,"ADUResist"
"PRKD3","Factor6",-0.520480394363403,"Transcriptomics",7,4.2313814163208,"ADUResist"
"AP5M1","Factor7",-0.510231196880341,"Transcriptomics",7,4.22167181968689,"ADUResist"
"USP9X","Factor8",-0.54125851392746,"Transcriptomics",7,4.58999276161194,"ADUResist"
"TMOD3","Factor9",-0.475916475057602,"Transcriptomics",7,4.54192757606506,"ADUResist"
"PPARGC1A","Factor10",-0.00956638995558023,"Transcriptomics",7,0.0320196151733398,"ADUResist"
"DCTN1_S105s","Factor1",0.355421125888824,"Phosphoproteomics",8,2.5407075881958,"ADUResist"
"CKM_Y20y","Factor2",-0.61365407705307,"Phosphoproteomics",8,6.12024068832397,"ADUResist"
