"Cluster","interaction","modality","name","regulator_id","selected","shared interaction","shared name","site","target_id","tissue","Weight"
"1","regulates","RE","Creatine (regulates) DBNDD1",,"false","regulates","Creatine (regulates) DBNDD1",,"ENSG00000003249.15","blood.muscle","0.106223613994769"
"1","regulates","RE","Creatine (regulates) RBM5",,"false","regulates","Creatine (regulates) RBM5",,"ENSG00000003756.17","blood.muscle","0.1908044324204"
"1","regulates","RE","Creatine (regulates) ZFX",,"false","regulates","Creatine (regulates) ZFX",,"ENSG00000005889.16","blood.muscle","0.360695015634992"
"1","regulates","RE","Creatine (regulates) LAMP2",,"false","regulates","Creatine (regulates) LAMP2",,"ENSG00000005893.16","blood.muscle","0.162460179750773"
"1","regulates","RE","Creatine (regulates) ARHGAP44",,"false","regulates","Creatine (regulates) ARHGAP44",,"ENSG00000006740.18","blood.muscle","0.194906044344542"
"1","regulates","RE","Creatine (regulates) MARK4",,"false","regulates","Creatine (regulates) MARK4",,"ENSG00000007047.16","blood.muscle","0.183479866033751"
"1","regulates","RE","Creatine (regulates) CYTH3",,"false","regulates","Creatine (regulates) CYTH3",,"ENSG00000008256.16","blood.muscle","0.10669345392509"
"1","regulates","RE","Creatine (regulates) AASS",,"false","regulates","Creatine (regulates) AASS",,"ENSG00000008311.16","blood.muscle","0.133114105554959"
"1","regulates","RE","Creatine (regulates) FUZ",,"false","regulates","Creatine (regulates) FUZ",,"ENSG00000010361.14","blood.muscle","0.134055158442945"
"1","regulates","RE","Creatine (regulates) ANOS1",,"false","regulates","Creatine (regulates) ANOS1",,"ENSG00000011201.12","blood.muscle","0.171877554826167"
"1","regulates","RE","Creatine (regulates) KDM5D",,"false","regulates","Creatine (regulates) KDM5D",,"ENSG00000012817.16","blood.muscle","0.394045586003497"
"1","regulates","RE","Creatine (regulates) DNASE1L1",,"false","regulates","Creatine (regulates) DNASE1L1",,"ENSG00000013563.14","blood.muscle","0.181876955122414"
"1","regulates","RE","Creatine (regulates) ATP1A2",,"false","regulates","Creatine (regulates) ATP1A2",,"ENSG00000018625.15","blood.muscle","0.136282140279011"
"1","regulates","RE","Creatine (regulates) SNX1",,"false","regulates","Creatine (regulates) SNX1",,"ENSG00000028528.15","blood.muscle","0.155858371076397"
"1","regulates","RE","Creatine (regulates) NUP160",,"false","regulates","Creatine (regulates) NUP160",,"ENSG00000030066.13","blood.muscle","0.141396148786565"
"1","regulates","RE","Creatine (regulates) ATP6V0A1",,"false","regulates","Creatine (regulates) ATP6V0A1",,"ENSG00000033627.17","blood.muscle","0.115726337576583"
"1","regulates","RE","Creatine (regulates) PREX2",,"false","regulates","Creatine (regulates) PREX2",,"ENSG00000046889.19","blood.muscle","0.17536905897143"
"1","regulates","RE","Creatine (regulates) TPR",,"false","regulates","Creatine (regulates) TPR",,"ENSG00000047410.14","blood.muscle","0.141781813701157"
"1","regulates","RE","Creatine (regulates) ROS1",,"false","regulates","Creatine (regulates) ROS1",,"ENSG00000047936.11","blood.muscle","0.22238689700225"
"1","regulates","RE","Creatine (regulates) SYNE2",,"false","regulates","Creatine (regulates) SYNE2",,"ENSG00000054654.20","blood.muscle","0.102791197031648"
"1","regulates","RE","Creatine (regulates) PUM2",,"false","regulates","Creatine (regulates) PUM2",,"ENSG00000055917.16","blood.muscle","0.111013991827384"
"1","regulates","RE","Creatine (regulates) UNKL",,"false","regulates","Creatine (regulates) UNKL",,"ENSG00000059145.19","blood.muscle","0.119212692138642"
"1","regulates","RE","Creatine (regulates) OGFR",,"false","regulates","Creatine (regulates) OGFR",,"ENSG00000060491.17","blood.muscle","0.152239253207257"
"1","regulates","RE","Creatine (regulates) ACAA1",,"false","regulates","Creatine (regulates) ACAA1",,"ENSG00000060971.19","blood.muscle","0.25598368186707"
