feature_id,tissue,assay,Notes,source
PPARGC1A,muscle,transcript-rna-seq,,ED2b; ED3b; ED Table 1
PER2,muscle,transcript-rna-seq,,Results multi-omic; ED2b
P34932_S76s,muscle,prot-ph,HSPA4 S76,ED2b
Alloisoleucine,adipose,metab,,ED2b
MYC,blood,transcript-rna-seq,,"Results multi-omic; Fig 2c,d; Results TF; ED7"
MYC,muscle,transcript-rna-seq,,"Results multi-omic; Fig 2c,d; Results TF; ED7"
MYC,adipose,transcript-rna-seq,,"Results multi-omic; Fig 2c,d; Results TF; ED7"
AREG,blood,transcript-rna-seq,,"Results multi-omic; Fig 2c,d"
AREG,muscle,transcript-rna-seq,,"Results multi-omic; Fig 2c,d"
AREG,adipose,transcript-rna-seq,,"Results multi-omic; Fig 2c,d"
Carnitine,blood,metab,,Results multi-omic; Fig 2c
Carnitine,muscle,metab,,Results multi-omic; Fig 2c
Carnitine,adipose,metab,,Results multi-omic; Fig 2c
Glutamic acid,blood,metab,,Results multi-omic; Fig 2c
Glutamic acid,muscle,metab,,Results multi-omic; Fig 2c
Glutamic acid,adipose,metab,,Results multi-omic; Fig 2c
PC 33:2,blood,metab,,Results multi-omic; Fig 2c
PC 33:2,muscle,metab,,Results multi-omic; Fig 2c
PC 33:2,adipose,metab,,Results multi-omic; Fig 2c
Q9P266_S1194s,adipose,prot-ph,JCAD S1194,Results multi-omic; Fig 2e
Q9P266_S1194s,muscle,prot-ph,JCAD S1194,Results multi-omic; Fig 2e
Q53EU6_S68s,adipose,prot-ph,GPAT3 S68,Results multi-omic; Fig 2e
Q53EU6_S68s,muscle,prot-ph,GPAT3 S68,Results multi-omic; Fig 2e
GZMB,blood,transcript-rna-seq,,Results sex sensitivity; ED3a
CD177,blood,transcript-rna-seq,,Results sex sensitivity; ED3a
MMP8,blood,transcript-rna-seq,,Results sex sensitivity; ED3a
HSPH1,muscle,transcript-rna-seq,,Results modality; ED4d; Discussion
CAR 6:0,blood,metab,,Results modality; Fig 3d
CAR 10:1,blood,metab,,Results modality; Fig 3c
CAR 10:1,muscle,metab,,Results modality; Fig 3c
CAR 11:0,blood,metab,,Results modality; Fig 3c
CAR 11:0,muscle,metab,,Results modality; Fig 3c
CBFA2T3,muscle,transcript-rna-seq,,Results modality; Fig 3d
LDHA,muscle,transcript-rna-seq,,Results modality; Fig 3d
PDK4,muscle,transcript-rna-seq,,Results modality; Fig 3d; ED Table 1
PFKP,muscle,transcript-rna-seq,,Results modality; Fig 3d
BCKDHB,muscle,transcript-rna-seq,,Results modality; Fig 3d
LRRC14B,muscle,transcript-rna-seq,,Results modality; Fig 3d; Discussion
O60936_T114t,muscle,prot-ph,NOL3 T114,ED4e
Q9UBF9_T145t,muscle,prot-ph,MYOT T145,ED4e
LRRC25,muscle,transcript-rna-seq,,ED Table 1
PRRT4,muscle,transcript-rna-seq,,ED Table 1
CCN2,adipose,transcript-rna-seq,,ED Table 1
EDEM1,blood,transcript-rna-seq,,ED Table 1
KCNJ2,blood,transcript-rna-seq,,ED Table 1
NSUN7,blood,transcript-rna-seq,,ED Table 1
ANGPTL4,muscle,transcript-rna-seq,,ED Table 1
CPT1A,blood,transcript-rna-seq,,ED Table 1
DBP,muscle,transcript-rna-seq,,ED Table 1
PFKFB4,muscle,transcript-rna-seq,,ED Table 1
PREB,muscle,transcript-rna-seq,,ED Table 1
TXNIP,muscle,transcript-rna-seq,,ED Table 1
ACSL3,muscle,transcript-rna-seq,,ED Table 1
CKB,muscle,transcript-rna-seq,,ED Table 1
FUT1,muscle,transcript-rna-seq,,ED Table 1
HSPB1,muscle,transcript-rna-seq,,ED Table 1
NCL,muscle,transcript-rna-seq,,ED Table 1
PDLIM3,muscle,transcript-rna-seq,,ED Table 1
PITPNM1,muscle,transcript-rna-seq,,ED Table 1
RAD9A,muscle,transcript-rna-seq,,ED Table 1
SLC19A2,adipose,transcript-rna-seq,,ED Table 1
SLC25A5,muscle,transcript-rna-seq,,ED Table 1
SRSF11,muscle,transcript-rna-seq,,ED Table 1
Q4VC12,muscle,prot-pr,MSS51,ED Table 1
SDCBP,blood,transcript-rna-seq,,"Results temporal; Fig 4f; ED5d,e"
