STANDARD_NAME	TFEB_TARGET_GENES
SYSTEMATIC_NAME	M30207
COLLECTION	C3:TFT:GTRD
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/TFEB_TARGET_GENES
NAMESPACE	Human_Ensembl_Gene_ID
DESCRIPTION_BRIEF	Genes containing one or more binding sites for UniProt:P19484 (TFEB) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.
DESCRIPTION_FULL	
PMID	30445619
GEOID	
AUTHORS	Yevshin I,Sharipov R,Kolmykov S,Kondrakhin Y,Kolpakov F
CONTRIBUTOR	Anthony Castanza
CONTRIBUTOR_ORG	MSigDB Team
EXACT_SOURCE	P19484
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	http://gtrd.biouml.org/
