"feature","factor","value","view","rank","factor_var_pct_exp","group"
"BAG3_S377sS386s","Factor5",0.0538348332047462,"Phosphoproteomics",5,0.316339731216431,"ADUEndur"
"BAG3_S377sS386s","Factor3",0.646583020687103,"Phosphoproteomics",22,7.11556673049927,"ADUResist"
"BAG3_S377sS386s","Factor9",-0.037540826946497,"Phosphoproteomics",36,0.235497951507568,"ADUResist"
"BAG3_S377sS386s","Factor1",0.193658024072647,"Phosphoproteomics",46,2.5407075881958,"ADUResist"
"BAG3_S377sS386s","Factor3",0.0283491723239422,"Phosphoproteomics",64,0.259184837341309,"ADUEndur"
"BAG3_S377sS386s","Factor4",0.255780518054962,"Phosphoproteomics",77,3.42494249343872,"ADUEndur"
"BAG3_S377sS386s","Factor10",0.260553002357483,"Phosphoproteomics",128,3.7848949432373,"ADUResist"
"BAG3_S377sS386s","Factor8",-0.0739158540964127,"Phosphoproteomics",210,1.05330348014832,"ADUResist"
"BAG3_S377sS386s","Factor4",0.0440204739570618,"Phosphoproteomics",335,0.770455598831177,"ADUResist"
"BAG3_S377sS386s","Factor5",0.238819420337677,"Phosphoproteomics",369,8.9109480381012,"ADUResist"
"BAG3_S377sS386s","Factor7",0.0664272084832191,"Phosphoproteomics",422,1.44950151443481,"ADUResist"
"BAG3_S377sS386s","Factor8",0.00627473788335919,"Phosphoproteomics",449,0.115525722503662,"ADUEndur"
"BAG3_S377sS386s","Factor7",0.00984292291104794,"Phosphoproteomics",598,0.300192832946777,"ADUEndur"
"BAG3_S377sS386s","Factor10",0.0265425462275743,"Phosphoproteomics",729,1.41361951828003,"ADUEndur"
"BAG3_S377sS386s","Factor6",-0.046493224799633,"Phosphoproteomics",778,4.47434186935425,"ADUEndur"
"BAG3_S377sS386s","Factor2",-0.0697834342718124,"Phosphoproteomics",807,10.2646052837372,"ADUEndur"
"BAG3_S377sS386s","Factor2",-0.0382537059485912,"Phosphoproteomics",840,6.12024068832397,"ADUResist"
"BAG3_S377sS386s","Factor1",0.0117821879684925,"Phosphoproteomics",910,2.92626619338989,"ADUEndur"
"BAG3_S377sS386s","Factor6",0.0111677376553416,"Phosphoproteomics",930,3.06875109672546,"ADUResist"
"BAG3_S377sS386s","Factor9",0.00701257539913058,"Phosphoproteomics",958,4.33470010757446,"ADUEndur"
"FOXO3_S284s","Factor2",-0.611133098602295,"Phosphoproteomics",13,10.2646052837372,"ADUEndur"
"FOXO3_S284s","Factor9",-0.621358454227448,"Phosphoproteomics",14,4.33470010757446,"ADUEndur"
"FOXO3_S284s","Factor7",0.12431213259697,"Phosphoproteomics",131,1.44950151443481,"ADUResist"
"FOXO3_S284s","Factor8",0.0109556736424565,"Phosphoproteomics",183,0.115525722503662,"ADUEndur"
"FOXO3_S284s","Factor3",0.0175962783396244,"Phosphoproteomics",264,0.259184837341309,"ADUEndur"
"FOXO3_S284s","Factor10",-0.0811954960227013,"Phosphoproteomics",308,1.41361951828003,"ADUEndur"
"FOXO3_S284s","Factor3",-0.191615208983421,"Phosphoproteomics",316,7.11556673049927,"ADUResist"
"FOXO3_S284s","Factor4",-0.107371762394905,"Phosphoproteomics",358,3.42494249343872,"ADUEndur"
"FOXO3_S284s","Factor1",0.0848922282457352,"Phosphoproteomics",402,2.92626619338989,"ADUEndur"
"FOXO3_S284s","Factor1",-0.0615615658462048,"Phosphoproteomics",410,2.5407075881958,"ADUResist"
"FOXO3_S284s","Factor5",0.188174307346344,"Phosphoproteomics",444,8.9109480381012,"ADUResist"
"FOXO3_S284s","Factor6",-0.11268063634634,"Phosphoproteomics",474,4.47434186935425,"ADUEndur"
"FOXO3_S284s","Factor4",-0.0283742100000381,"Phosphoproteomics",537,0.770455598831177,"ADUResist"
"FOXO3_S284s","Factor8",0.0320237800478935,"Phosphoproteomics",575,1.05330348014832,"ADUResist"
"FOXO3_S284s","Factor9",0.00913793034851551,"Phosphoproteomics",600,0.235497951507568,"ADUResist"
"FOXO3_S284s","Factor7",-0.0073807523585856,"Phosphoproteomics",700,0.300192832946777,"ADUEndur"
"FOXO3_S284s","Factor5",0.00546845467761159,"Phosphoproteomics",761,0.316339731216431,"ADUEndur"
"FOXO3_S284s","Factor6",-0.0202513821423054,"Phosphoproteomics",880,3.06875109672546,"ADUResist"
"FOXO3_S284s","Factor10",-0.022072397172451,"Phosphoproteomics",897,3.7848949432373,"ADUResist"
"FOXO3_S284s","Factor2",-0.00142147985752672,"Phosphoproteomics",994,6.12024068832397,"ADUResist"
"TFEB_S109sS114s","Factor4",-0.55848503112793,"Phosphoproteomics",7,3.42494249343872,"ADUEndur"
"TFEB_S109sS114s","Factor3",-0.64162403345108,"Phosphoproteomics",23,7.11556673049927,"ADUResist"
"TFEB_S109sS114s","Factor10",-0.153557404875755,"Phosphoproteomics",57,1.41361951828003,"ADUEndur"
"TFEB_S109sS114s","Factor1",0.168043538928032,"Phosphoproteomics",65,2.5407075881958,"ADUResist"
"TFEB_S109sS114s","Factor2",-0.236642599105835,"Phosphoproteomics",232,6.12024068832397,"ADUResist"
