feature_id	gene_symbol	chromosome_name	logFC	CI.L	CI.R	logLik	t	AveExpr	p_value	adj_p_value	contrast	full_model	assay	entrez_gene	ensembl_gene	custom_annotation	relationship_to_gene	uniprot	refmet_name	kegg_id	flanking_sequence
ENSG00000273906.1	NA	NA	6.60525391929115	6.35583989534872	6.85466794323357	34.9990737030799	52.2059306058033	-2.83897795089434	1.84442078936245e-122	3.70544136582915e-118	SexMale	~ Sex	transcript-rna-seq	NA	ENSG00000273906	NA	NA	NA	NA	NA	NA
ENSG00000092377.15	TBL1Y	Y	5.71041547639967	5.49222468374344	5.92860626905589	-271.382069390507	51.5920139187854	-3.11092774901639	1.86048703086754e-121	1.86885922250644e-117	SexMale	~ Sex	transcript-rna-seq	90665	ENSG00000092377	NA	NA	NA	NA	NA	NA
ENSG00000231535.8	LINC00278	Y	5.96075873550975	5.72520674924891	6.19631072177059	105.243330115885	49.884539409252	-2.32242731615882	1.30586320679741e-118	8.74493060818667e-115	SexMale	~ Sex	transcript-rna-seq	100873962	ENSG00000231535	NA	NA	NA	NA	NA	NA
ENSG00000183878.16	UTY	Y	8.12311558155512	7.78810450808901	8.45812665502124	58.8947844990705	47.7985435668761	-1.52225643976941	5.09228907695102e-115	2.55760218889865e-111	SexMale	~ Sex	transcript-rna-seq	7404	ENSG00000183878	NA	NA	NA	NA	NA	NA
ENSG00000176728.10	TTTY14	Y	6.92921686798222	6.64150323931318	7.21693049665126	-31.0837397927807	47.4760865602684	-2.16120697262624	1.87783364338865e-114	7.54513557913558e-111	SexMale	~ Sex	transcript-rna-seq	83869	ENSG00000176728	NA	NA	NA	NA	NA	NA
ENSG00000215580.12	BCORP1	Y	4.10247220899681	3.92974041793163	4.275204000062	-251.765042698603	46.8192621296973	-3.61937838805497	2.74171691567055e-113	9.18018213930355e-110	SexMale	~ Sex	transcript-rna-seq	286554	ENSG00000215580	NA	NA	NA	NA	NA	NA
ENSG00000067646.12	ZFY	Y	7.58875710682232	7.26896652241356	7.90854769123108	-195.240665458986	46.7795643954737	-1.98036691284543	3.22721203622138e-113	9.26209854395536e-110	SexMale	~ Sex	transcript-rna-seq	7544	ENSG00000067646	NA	NA	NA	NA	NA	NA
ENSG00000198692.10	EIF1AY	Y	8.04651614365877	7.6961774586833	8.39685482863425	2.66494990300223	45.276305844051	-1.62158308613993	1.68695207757104e-110	4.23635840480029e-107	SexMale	~ Sex	transcript-rna-seq	9086	ENSG00000198692	NA	NA	NA	NA	NA	NA
ENSG00000131002.13	TXLNGY	Y	8.86834401350979	8.47317788782795	9.26351013919163	-21.9341029254909	44.2398877131928	-1.05975243575624	1.39446168411602e-108	3.11274835932119e-105	SexMale	~ Sex	transcript-rna-seq	246126	ENSG00000131002	NA	NA	NA	NA	NA	NA
ENSG00000099725.14	PRKY	Y	8.19524413148675	7.82810880069788	8.56237946227562	87.082028579781	44.003468328203	-1.35664547560478	3.86231813613912e-108	7.53312942043465e-105	SexMale	~ Sex	transcript-rna-seq	5616	ENSG00000099725	NA	NA	NA	NA	NA	NA
