name,uniprot,n_measure,n_tissue,n_cell,n_common,hacells_label,emblcells_label,cell label score,cell label,haatlas_label,emblatlas_label,mspatlas_label,msratlas_label,tissue label score,tissue label,Gobal label score (GLS),Global label
ADAM metallopeptidase with thrombospondin type 1 motif 12,P58397,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
ADAM metallopeptidase with thrombospondin type 1 motif 15,Q8TE58,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
adhesion G protein-coupled receptor G2,Q8IZP9,2,1,1,0,,"monocytes,neutrophils",0.9,monocytes.neutrophils,,adiposetissue,,,1,adiposetissue,1,adiposetissue
adhesion G protein-coupled receptor G4,Q8IZF6,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
adrenoceptor beta 2,P07550,2,1,1,1,,common,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
ALX homeobox 4,Q9H161,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
ankyrin repeat domain 30A,Q9BXX3,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
apolipoprotein L5,Q9BWW9,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
arginine vasopressin receptor 2,P30518,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
arylacetamide deacetylase like 4,Q5VUY2,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
ATP binding cassette subfamily A member 9,Q8IUA7,5,4,1,2,,"bcell,monocytes",0.9,bcell.monocytes,common,adiposetissue,"heart,muscle",common,1,adiposetissue,1,adiposetissue
bone morphogenetic protein 6,P22004,2,1,1,0,,"neutrophils,platelets",0.9,neutrophils.platelets,,adiposetissue,,,1,adiposetissue,1,adiposetissue
BTB domain containing 6,Q96KE9,2,1,1,0,,"erythrocytes,macrophage",0.9,erythrocytes.macrophages,,adiposetissue,,,1,adiposetissue,1,adiposetissue
C-C motif chemokine ligand 8,P80075,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
C-X-C motif chemokine ligand 9,Q07325,2,1,1,0,,"macrophage,monocytes",0.9,macrophages.monocytes,,adiposetissue,,,1,adiposetissue,1,adiposetissue
casein alpha s1,P47710,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
cell death inducing DFFA like effector a,O60543,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
