GeneSym,NFIC
A1BG,1
A1BG-AS1,1
A1CF,1
A2M,1
A2ML1,0
A2MP1,0
A3GALT2,0
A4GALT,0
A4GNT,0
AA06,0
AAA1,1
AAAS,1
AACS,0
AACSP1,0
AADAC,0
AADACL2,0
AADACL3,0
AADACL4,0
AADAT,1
AAED1,0
AAGAB,1
AAK1,1
AAMDC,1
AAMP,1
AANAT,1
AAR2,1
AARD,0
AARS,1
AARS2,1
AARSD1,1
AASDH,1
AASDHPPT,1
AASS,0
AATF,1
AATK,1
AATK-AS1,1
ABAT,1
ABCA1,1
ABCA10,1
ABCA11P,1
ABCA12,1
ABCA13,0
ABCA17P,1
ABCA2,1
ABCA3,1
ABCA4,0
ABCA5,1
ABCA6,0
ABCA7,1
ABCA8,0
ABCA9,0
ABCB1,0
ABCB10,1
ABCB11,0
ABCB4,1
ABCB5,0
ABCB6,1
ABCB7,0
ABCB8,1
ABCB9,0
ABCC1,0
ABCC10,1
ABCC11,1
ABCC12,0
ABCC13,1
ABCC2,1
ABCC3,1
ABCC4,1
ABCC5,1
ABCC6,0
ABCC6P1,0
ABCC6P2,0
ABCC8,0
ABCC9,0
ABCD1,0
ABCD2,1
ABCD3,1
ABCD4,1
ABCE1,1
ABCF1,0
ABCF2,1
ABCF3,1
ABCG1,0
ABCG2,1
ABCG4,1
ABCG5,1
ABCG8,1
ABHD1,1
ABHD10,1
ABHD11,1
ABHD11-AS1,1
ABHD12,1
ABHD12B,0
ABHD13,1
ABHD14A,1
ABHD14A-ACY1,1
ABHD14B,1
ABHD15,1
ABHD16A,0
ABHD16B,0
ABHD17A,0
ABHD17B,1
ABHD17C,1
ABHD2,1
ABHD3,1
ABHD4,1
ABHD5,1
ABHD6,1
ABHD8,1
ABI1,1
ABI2,1
ABI3,1
ABI3BP,0
ABL1,1
ABL2,0
ABLIM1,1
ABLIM2,0
ABLIM3,0
ABO,0
ABR,1
ABRA,0
ABRACL,1
ABT1,1
ABTB1,1
ABTB2,1
ACAA1,1
ACAA2,1
ACACA,1
ACACB,0
ACAD10,1
ACAD11,1
ACAD8,1
ACAD9,1
ACADL,0
ACADM,1
ACADS,0
ACADSB,1
ACADVL,1
ACAN,0
ACAP1,1
ACAP2,1
ACAP3,1
ACAT1,1
ACAT2,1
ACBD3,1
ACBD4,1
ACBD5,1
ACBD6,1
ACBD7,1
ACCS,1
ACCSL,0
ACD,1
ACE,0
ACE2,1
ACE3P,0
ACER1,0
ACER2,1
ACER3,1
ACHE,1
ACIN1,1
ACKR1,0
ACKR2,0
ACKR3,1
ACKR4,0
ACLY,1
ACMSD,0
ACN9,1
ACO1,0
ACO2,1
ACOT1,1
ACOT11,1
ACOT12,0
ACOT13,1
ACOT2,1
ACOT4,1
ACOT6,0
ACOT7,1
ACOT8,1
ACOT9,1
ACOX1,1
ACOX2,1
ACOX3,1
ACOXL,0
ACP1,1
ACP2,1
ACP5,1
ACP6,1
ACPP,1
ACPT,0
ACR,0
ACRBP,0
ACRC,0
ACRV1,0
ACSBG1,0
ACSBG2,0
ACSF2,1
ACSF3,1
ACSL1,1
ACSL3,1
ACSL4,0
ACSL5,1
ACSL6,0
ACSM1,0
ACSM2A,0
ACSM2B,0
ACSM3,1
ACSM4,0
ACSM5,1
ACSM6,0
ACSS1,1
ACSS2,1
ACSS3,1
ACTA1,0
ACTA2,1
ACTB,1
ACTBL2,1
ACTC1,0
ACTG1,1
ACTG2,0
ACTL10,1
ACTL6A,1
ACTL6B,0
ACTL7A,0
ACTL7B,0
ACTL8,0
ACTL9,0
ACTN1,1
ACTN2,1
ACTN3,1
ACTN4,1
ACTR10,0
ACTR1A,1
ACTR1B,1
ACTR2,1
ACTR3,1
ACTR3B,1
ACTR3BP2,0
ACTR3BP5,0
ACTR3C,1
ACTR5,1
ACTR6,1
ACTR8,0
ACTRT1,0
ACTRT2,0
ACTRT3,1
ACVR1,1
ACVR1B,0
ACVR1C,0
ACVR2A,1
ACVR2B,0
ACVRL1,0
ACY1,1
ACY3,1
ACYP1,0
ACYP2,1
ADA,1
ADAD1,0
