GeneSym,ENCODE_2015,Rosmainho_et_al_2018,any
FBXL3,1,0,1
ARHGAP44,1,0,1
VPS13D,1,0,1
BCAR1,0,0,0
KMT2C,1,0,1
APPBP2,1,0,1
ABCC9,0,0,0
RSBN1,1,0,1
KHSRP,0,0,0
PDCD7,1,0,1
OSBPL8,1,0,1
SUPT16H,0,0,0
TOP3B,1,0,1
TTLL12,1,0,1
DHRS7,1,0,1
YY1,1,0,1
DIDO1,1,0,1
ELF4,0,0,0
SMARCA1,0,0,0
MED25,1,0,1
FZR1,1,0,1
BBC3,0,0,0
HBP1,0,0,0
CCDC6,1,0,1
CBL,0,0,0
PTGES3,1,0,1
CDKN1B,0,0,0
NAA25,0,0,0
SASH1,0,0,0
TENT5A,NA,0,0
TENT4A,NA,0,0
ID2,1,0,1
MSH6,0,0,0
EDEM3,0,0,0
ETV3,1,0,1
DR1,1,0,1
FILIP1,0,0,0
EPC1,1,0,1
ELF1,0,0,0
OCRL,0,0,0
EGR2,1,0,1
ECD,1,0,1
NCOA5,0,0,0
DDX27,1,0,1
NUP153,1,0,1
PCNX4,NA,0,0
KRI1,0,0,0
TRIM28,1,0,1
ZNF331,0,0,0
MORC2,0,0,0
HRK,0,0,0
NAT10,1,0,1
LAMC1,1,0,1
MYC,1,0,1
RAB30,1,0,1
BUD13,1,0,1
YAP1,0,0,0
DUSP5,1,0,1
VPS37B,1,0,1
JDP2,0,0,0
TP53,1,0,1
MCL1,1,0,1
TP53BP2,0,0,0
GATAD2B,1,0,1
ASXL2,1,0,1
LRIG1,0,0,0
PAM,0,0,0
DIAPH2,0,0,0
TAF5,1,0,1
ITPRIP,0,0,0
ATM,1,1,1
DLG5,1,0,1
DST,0,0,0
ACOXL,1,0,1
NR4A2,1,0,1
BTG3,1,0,1
FBRS,0,0,0
RNF111,0,0,0
CACHD1,0,0,0
ACTC1,0,0,0
USP1,1,0,1
IER5,1,0,1
INHBB,0,0,0
BBS5,0,0,0
MSX1,0,0,0
SNIP1,0,0,0
STARD4,1,1,1
SOX17,0,0,0
OTUD1,1,0,1
RNF169,0,0,0
ZBTB39,0,0,0
C15orf39,0,0,0
ZNF701,1,0,1
HOOK3,1,0,1
SEMA4C,1,0,1
LUZP1,0,0,0
TOR1AIP2,0,0,0
CEL,0,0,0
PPM1D,1,0,1
PRNP,1,0,1
SNTB1,1,0,1
RHOD,1,0,1
TNFRSF10D,0,0,0
TMEM70,1,0,1
PLEKHF2,1,0,1
RNF152,1,0,1
ANKLE2,1,0,1
ZBTB7A,1,0,1
GATA2,0,0,0
ZNF322,0,0,0
DDN,1,0,1
MEX3B,1,0,1
PRR14L,1,0,1
SOCS1,1,0,1
ZFP36L1,1,0,1
PTCH1,0,0,0
RXRA,0,0,0
GJA4,0,0,0
MTF1,0,0,0
LIN54,0,0,0
GIMAP5,0,0,0
TBC1D9B,1,0,1
MCMBP,1,0,1
NRARP,1,0,1
BAZ1A,1,0,1
ALPK2,0,0,0
CHAMP1,0,0,0
SGMS1,1,0,1
PPP1R10,0,0,0
PPP3R1,1,0,1
PRPS1P2,NA,0,0
LINC00957,NA,0,0
RDH14,1,0,1
PLEKHO2,1,0,1
GJD2-DT,NA,0,0
PKD1P6,NA,0,0
ENSG00000256664.1,NA,0,0
FIGNL2,0,0,0
RNF115,0,0,0
ENSG00000270210.1,NA,0,0
LINC00624,NA,0,0
RBM12B-AS1,0,0,0
MATR3,0,0,0
ENSG00000287570.1,NA,0,0
PRRC2B,0,0,0
ENSG00000289579.1,NA,0,0
CRIPT,1,0,1
DYNC2I1,NA,0,0
SCARB2,0,0,0
MSL2,0,0,0
PRF1,0,0,0
C14orf180,0,0,0
RGS9BP,1,0,1
LINC01750,NA,0,0
PDK4,0,0,0
MED17,1,0,1
ATP1B3,1,0,1
SEH1L,1,0,1
NECAP1,1,1,1
ARCN1,1,0,1
HNRNPH3,1,0,1
RAB18,1,0,1
ZBED4,1,0,1
GMEB2,1,0,1
AXIN1,1,0,1
SERPINE1,0,0,0
SEC61B,0,0,0
PSMD11,1,0,1
SLC38A1,1,1,1
GNPDA1,0,0,0
STX12,0,0,0
CCN2,NA,0,0
SMNDC1,0,0,0
RIOK1,1,1,1
CHAC1,1,0,1
TMTC1,0,0,0
SLC38A2,1,0,1
ARRDC4,0,0,0
ESCO1,1,0,1
FOXK2,1,0,1
GUK1,1,1,1
FOXO1,1,0,1
PRDM8,1,0,1
PPP1R15B,0,0,0
ITGA5,0,0,0
SENP3,1,0,1
ZNF281,0,0,0
SSR2,1,0,1
ZMYND19,1,0,1
SNRPD1,1,0,1
SCAND1,1,0,1
ZNF274,1,0,1
KLF11,0,0,0
RCE1,1,0,1
FAM131A,1,0,1
NAP1L5,0,0,0
SMG1P5,NA,0,0
TOR3A,1,0,1
DCUN1D3,1,0,1
H2AX,NA,0,0
FUT4,1,0,1
SERTAD1,1,0,1
NUTM2B-AS1,NA,0,0
PRKG1-AS1,NA,0,0
MIR4453HG,NA,0,0
ENSG00000269825.2,NA,0,0
MIR222HG,NA,0,0
PI4KAP1,0,0,0
ENSG00000278869.1,NA,0,0
ENSG00000284024.4,NA,0,0
