"","EE_15min","EE_3.5hr","EE_24hr","RE_15min","RE_3.5hr","RE_24hr"
"PERT-PSP_VIRUS_INFECTION",1,0,0,1,0,0
"PERT-PSP_UV",1,0,1,1,0,0
"PERT-PSP_U0126",1,0,0,1,0,0
"PERT-PSP_TNF",1,0,0,1,0,0
"PERT-PSP_THROMBIN",1,0,0,1,0,0
"PERT-PSP_SPHINGOSINE_1_PHOSPHATE",1,0,0,1,0,0
"PERT-PSP_PHORBOL_ESTER",1,1,1,1,0,0
"PERT-PSP_LPS",1,0,1,1,0,0
"PERT-PSP_IONOMYCIN",1,0,0,0,0,0
"PERT-PSP_IONIZING_RADIATION",1,1,0,1,0,0
"PERT-PSP_IL_2",1,0,0,1,0,0
"PERT-PSP_IL_1B",1,0,0,1,0,0
"PERT-PSP_EXERCISE",1,0,0,1,0,1
"PERT-PSP_EGF",1,0,1,1,0,0
"PERT-PSP_ANTI_CD3",1,0,0,1,0,0
"PERT-PSP_ANISOMYCIN",1,0,0,1,0,0
"PERT-P100-PRM_VORINOSTAT",1,0,0,1,0,0
"PERT-P100-DIA2_VX-970",1,1,0,0,0,0
"PERT-P100-DIA2_TRETINOIN",1,1,0,1,1,0
"PERT-P100-DIA2_TRAMETINIB",1,0,0,1,0,0
"PERT-P100-DIA2_SEMAGACESTAT",1,0,0,1,1,0
"PERT-P100-DIA2_PD-0332991",1,0,0,0,0,0
"PERT-P100-DIA2_OSI-027",1,0,0,1,0,0
"PERT-P100-DIA2_OKADAIC_ACID",1,1,0,1,1,0
"PERT-P100-DIA2_MOMELOTINIB",1,1,0,1,0,0
"PERT-P100-DIA2_KN-93",1,0,0,1,0,0
"PERT-P100-DIA2_KN-62",1,0,0,0,0,0
"PERT-P100-DIA2_IPI145",1,0,0,1,0,0
"PERT-P100-DIA2_GOSSYPETIN",1,0,0,1,1,0
"PERT-P100-DIA2_FLECAINIDE",1,0,0,0,0,0
"PERT-P100-DIA2_ETOPOSIDE",1,1,0,0,1,0
"PERT-P100-DIA2_DACTOLISIB",1,0,0,1,0,0
"PERT-P100-DIA2_CRIZOTINIB",1,0,0,0,0,0
"PERT-P100-DIA2_CI-994",1,0,0,1,0,0
"PERT-P100-DIA2_CHIR99021",1,1,0,1,1,0
"PATH-WP_Translation_inhibitors_in_chronically_activated_PDGFRA_cells",1,0,0,1,0,0
"PATH-WP_Non-small_cell_lung_cancer",1,0,0,0,1,0
"PATH-WP_Hepatitis_B_infection",1,1,1,1,0,0
"PATH-NP_TWEAK_PATHWAY",1,0,0,1,0,0
"PATH-NP_TSLP_PATHWAY",1,0,1,1,0,0
"PATH-NP_TIE2_PATHWAY",1,0,0,1,0,0
"PATH-NP_T_CELL_RECEPTOR_PATHWAY",1,0,1,1,0,0
"PATH-NP_OXYTOCIN_PATHWAY",1,0,0,1,0,0
"PATH-NP_NOTCH_PATHWAY",1,0,1,1,0,0
"PATH-NP_LEPTIN_PATHWAY",1,0,1,1,0,0
"PATH-NP_IL6_PATHWAY",1,0,1,1,0,0
"PATH-NP_IL11_PATHWAY",1,0,1,1,0,0
"PATH-NP_CRH_PATHWAY",1,0,1,1,0,0
"PATH-BI_ISCHEMIA",1,0,1,1,0,0
"KINASE-PSP_Src/SRC",1,0,0,0,0,0
"KINASE-PSP_RSK2/RPS6KA3",1,0,0,1,0,0
"KINASE-PSP_PRKD1",1,0,1,1,0,0
"KINASE-PSP_PKG2/PRKG2",1,0,0,0,0,0
"KINASE-PSP_PKG1_iso2/PRKG1",1,0,0,1,0,0
"KINASE-PSP_PKACA/PRKACA",1,0,0,0,0,1
"KINASE-PSP_PDK1/PDPK1",1,0,0,1,0,0
"KINASE-PSP_PAK1",1,0,0,1,0,0
"KINASE-PSP_p90RSK/RPS6KA1",1,0,0,0,1,0
"KINASE-PSP_mTOR/MTOR",1,1,1,0,1,0
"KINASE-PSP_MKK6/MAP2K6",1,0,0,1,0,0
"KINASE-PSP_MAPKAPK2",1,1,0,1,1,0
"KINASE-PSP_Chk1/CHEK1",1,0,0,0,0,0
"KINASE-PSP_BRAF",1,0,0,0,0,0
"KINASE-PSP_AurB/AURKB",1,0,0,1,0,0
"KINASE-PSP_ATR",1,0,0,1,0,0
"KINASE-PSP_AMPKA1/PRKAA1",1,0,0,0,0,0
"KINASE-PSP_Akt1/AKT1",1,0,0,1,0,0
"KINASE-iKiP_TSSK2",1,0,0,0,0,0
"KINASE-iKiP_TSSK1",1,0,0,1,0,0
"KINASE-iKiP_TAOK2",1,0,0,0,0,0
"KINASE-iKiP_STK38L",1,0,0,1,1,0
"KINASE-iKiP_SIK2",1,0,0,0,0,0
"KINASE-iKiP_SIK1",1,0,0,0,0,0
"KINASE-iKiP_SGK3",1,0,0,0,0,0
"KINASE-iKiP_SGK2",1,0,0,1,0,0
"KINASE-iKiP_RPS6KB1",1,0,0,0,0,0
"KINASE-iKiP_RPS6KA6",1,0,0,0,0,0
"KINASE-iKiP_RPS6KA5.MSK1",1,0,0,1,0,0
"KINASE-iKiP_RPS6KA2",1,0,0,1,0,0
"KINASE-iKiP_RPS6KA1",1,0,0,1,0,0
"KINASE-iKiP_PRKD3",1,0,0,1,0,0
"KINASE-iKiP_PRKD1",1,0,0,1,1,0
"KINASE-iKiP_PRKCB",1,0,0,1,0,0
"KINASE-iKiP_PRKACA",1,0,0,1,0,1
"KINASE-iKiP_PLK1",1,0,0,1,0,0
"KINASE-iKiP_PKN1",1,0,0,1,0,0
"KINASE-iKiP_PAK3",1,0,0,0,0,1
"KINASE-iKiP_PAK2",1,0,1,0,0,1
"KINASE-iKiP_PAK1",1,0,1,0,0,0
"KINASE-iKiP_NIM1K",1,0,0,1,0,0
"KINASE-iKiP_MOK",1,0,0,1,0,1
"KINASE-iKiP_MKNK2",1,0,0,1,1,0
"KINASE-iKiP_MAST2",1,0,0,0,0,0
"KINASE-iKiP_MAPKAPK5",1,0,0,1,1,0
"KINASE-iKiP_MAPKAPK3",1,0,0,1,1,0
"KINASE-iKiP_MAPKAPK2",1,0,0,1,1,0
"KINASE-iKiP_MAPK1.ERK2",1,0,0,1,1,0
"KINASE-iKiP_MAP2K6",1,1,0,0,0,0
"KINASE-iKiP_HIPK3",1,0,1,1,0,0
"KINASE-iKiP_HIPK2",1,0,0,1,0,0
"KINASE-iKiP_EEF2K",1,0,0,0,0,0
"KINASE-iKiP_DYRK3",1,1,0,0,0,0
"KINASE-iKiP_DCLK2",1,0,0,0,0,0
"KINASE-iKiP_CSNK2A1.CK2A1",1,1,1,1,1,0
"KINASE-iKiP_CSNK1G3",1,0,0,1,0,0
"KINASE-iKiP_CSNK1G2",1,0,0,1,1,0
"KINASE-iKiP_CLK3",1,0,0,1,0,0
"KINASE-iKiP_CHUK.IKKA",1,0,0,0,0,0
"KINASE-iKiP_CGK2",1,0,0,0,0,0
"KINASE-iKiP_CDK9-CCNK",1,0,0,0,0,0
"KINASE-iKiP_CAMK2G",1,0,0,0,0,0
"KINASE-iKiP_CAMK2D",1,0,0,0,0,0
"KINASE-iKiP_CAMK2B",1,0,0,0,0,0
"KINASE-iKiP_CAMK2A",1,0,0,0,0,0
"KINASE-iKiP_BMPR1A",1,0,0,1,0,0
"KINASE-iKiP_AURKC",1,1,0,0,0,1
"KINASE-iKiP_AURKB",1,0,0,0,0,0
"KINASE-iKiP_AMPKA2",1,0,0,1,0,0
"KINASE-iKiP_AMPKA1",1,0,0,1,0,0
"KINASE-iKiP_AKT1",1,0,0,0,0,0
"PERT-PSP_TORIN1",0,1,0,0,1,0
"PERT-PSP_SU11274",0,1,1,1,1,0
"PERT-PSP_LY294002",0,1,1,0,1,0
"PERT-PSP_IGF_1",0,1,1,1,0,0
"PERT-PSP_AMINO_ACIDS",0,1,0,0,0,0
"PERT-P100-DIA2_SIROLIMUS",0,1,0,0,0,0
"PERT-P100-DIA2_SALERMIDE",0,1,0,0,0,0
"PERT-P100-DIA2_IBRUTINIB",0,1,0,0,0,0
"PERT-P100-DIA2_EVEROLIMUS",0,1,0,0,0,0
"PERT-P100-DIA2_EPZ-5687",0,1,0,0,0,0
"PERT-P100-DIA2_BMS-906024",0,1,0,1,1,0
