"Cluster","EdgeBetweenness","interaction","modality","name","Peak_chr","Peak_end","Peak_start","regulator_id","selected","shared interaction","shared name","site","source","strand","Target_gene_id","target_id","TF_id","tissue","Weight"
"5","76027.44821428064","regulates","RE","NFIB (regulates) SIK2","",,,"O00712_S264s","false","regulates","NFIB (regulates) SIK2","S264s","SCION","","","ENSG00000170145.5","","muscle","0.154110935697576"
,"144465.38097166043","binds","","FOSL2 (binds) DIAPH1","chr5","141617484","141617284","","false","binds","FOSL2 (binds) DIAPH1","","MAGICAL","-","ENSG00000131504.18","","ENSG00000075426.12","",
,"6260.874999999807","binds","","MEF2A (binds) ASB5","chr4","176188000","176187402","","false","binds","MEF2A (binds) ASB5","","MAGICAL","-","ENSG00000164122.9","","ENSG00000068305.18","",
,"6043.870588235442","binds","","MEF2A (binds) CPEB4","chr5","173955581","173954255","","false","binds","MEF2A (binds) CPEB4","","MAGICAL","+","ENSG00000113742.14","","ENSG00000068305.18","",
"11","474402.865104352","regulates","RE","MEF2A (regulates) PDE4A","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) PDE4A","S98s","SCION","","","ENSG00000065989.16","","muscle","0.12913920583752"
,"5345.0","binds","","MEF2A (binds) LMCD1","chr3","8570008","8569432","","false","binds","MEF2A (binds) LMCD1","","MAGICAL","+","ENSG00000071282.12","","ENSG00000068305.18","",
"11","21799.5724025956","regulates","RE","MEF2A (regulates) SPHK2","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) SPHK2","S98s","SCION","","","ENSG00000063176.16","","muscle","0.187920671249634"
,"5625.337500000269","binds","","MEF2A (binds) SLC25A30","chr13","45434142","45432847","","false","binds","MEF2A (binds) SLC25A30","","MAGICAL","-","ENSG00000174032.17","","ENSG00000068305.18","",
"11","18176.22857142814","regulates","RE","MEF2A (regulates) CS","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) CS","S98s","SCION","","","ENSG00000062485.19","","muscle","0.157857419460041"
,"8045.99773867026","binds","","MEF2A (binds) USP31","chr16","23124728","23124075","","false","binds","MEF2A (binds) USP31","","MAGICAL","-","ENSG00000103404.15","","ENSG00000068305.18","",
,"23346.5000000014","binds","","IRF2 (binds) TFAM","chr10","58295690","58294671","","false","binds","IRF2 (binds) TFAM","","MAGICAL","+","ENSG00000108064.11","","ENSG00000168310.11","",
"5","1550327.48806569","regulates","RE","NFIB (regulates) E2F6","",,,"O00712_S264s","false","regulates","NFIB (regulates) E2F6","S264s","SCION","","","ENSG00000169016.17","","muscle","0.324679746868184"
"13","610809.0740259627","regulates","RE","NFIC (regulates) HNRNPK","",,,"P08651_S333s","false","regulates","NFIC (regulates) HNRNPK","S333s","SCION","","","ENSG00000165119.21","","muscle","0.457103818748264"
"13","51746.38095238265","regulates","RE","NFIC (regulates) HMGB2","",,,"P08651_S333s","false","regulates","NFIC (regulates) HMGB2","S333s","SCION","","","ENSG00000164104.12","","muscle","0.338192211308544"
,"5641.000000000538","binds","","MEF2A (binds) ANKRD1","chr10","90989386","90988445","","false","binds","MEF2A (binds) ANKRD1","","MAGICAL","-","ENSG00000148677.7","","ENSG00000068305.18","",
,"6549.788516745948","binds","","MEF2A (binds) ANKRD2","chr10","97575060","97574427","","false","binds","MEF2A (binds) ANKRD2","","MAGICAL","+","ENSG00000165887.12","","ENSG00000068305.18","",
,"12576.350000001266","binds","","IRF2 (binds) LMCD1","chr3","8531241","8529839","","false","binds","IRF2 (binds) LMCD1","","MAGICAL","+","ENSG00000071282.12","","ENSG00000168310.11","",
,"6623.042735042224","binds","","MEF2A (binds) RND3","chr2","150473092","150472084","","false","binds","MEF2A (binds) RND3","","MAGICAL","-","ENSG00000115963.14","","ENSG00000068305.18","",
,"590974.0818931299","binds","","MEF2A (binds) NR4A1","chr12","52089325","52088024","","false","binds","MEF2A (binds) NR4A1","","MAGICAL","+","ENSG00000123358.20","","ENSG00000068305.18","",
,"487133.1971595526","binds","","FOSL2 (binds) POFUT1","chr20","32286406","32285176","","false","binds","FOSL2 (binds) POFUT1","","MAGICAL","+","ENSG00000101346.14","","ENSG00000075426.12","",
,"5345.0","binds","","MEF2A (binds) CCN1","chr1","85557129","85555916","","false","binds","MEF2A (binds) CCN1","","MAGICAL","+","ENSG00000142871.18","","ENSG00000068305.18","",
"5","97151.07974897242","regulates","RE","NFIB (regulates) NFIL3","",,,"O00712_S264s","false","regulates","NFIB (regulates) NFIL3","S264s","SCION","","","ENSG00000165030.4","","muscle","0.21083672618575"
"3","9315.518939394457","regulates","RE","NFIC (regulates) GADD45G","",,,"P08651_S333sS339s","false","regulates","NFIC (regulates) GADD45G","S333sS339s","SCION","","","ENSG00000130222.11","","muscle","0.125035070027467"
,"6640.141176470905","binds","","MEF2A (binds) RCAN1","chr21","34521558","34520581","","false","binds","MEF2A (binds) RCAN1","","MAGICAL","-","ENSG00000159200.18","","ENSG00000068305.18","",
"13","28989.28953824177","regulates","RE","NFIC (regulates) NXF1","",,,"P08651_S333s","false","regulates","NFIC (regulates) NXF1","S333s","SCION","","","ENSG00000162231.14","","muscle","0.105920987869088"
,"214570.67943722877","binds","","FOSL2 (binds) SRSF3","chr6","36682661","36682286","","false","binds","FOSL2 (binds) SRSF3","","MAGICAL","+","ENSG00000112081.17","","ENSG00000075426.12","",
"5","791165.214033182","regulates","RE","NFIB (regulates) NIPBL","",,,"O00712_S264s","false","regulates","NFIB (regulates) NIPBL","S264s","SCION","","","ENSG00000164190.19","","muscle","0.15776727369712"
,"972549.6092437026","binds","","NR4A1 (binds) C11orf24","chr11","68321734","68321348","","false","binds","NR4A1 (binds) C11orf24","","MAGICAL","-","ENSG00000171067.11","","ENSG00000123358.20","",
,"7937.8522727282725","binds","","MEF2A (binds) GADD45G","chr9","89609257","89609055","","false","binds","MEF2A (binds) GADD45G","","MAGICAL","+","ENSG00000130222.11","","ENSG00000068305.18","",
,"6048.633333332949","binds","","MEF2A (binds) NEAT1","chr11","65508918","65506502","","false","binds","MEF2A (binds) NEAT1","","MAGICAL","+","ENSG00000245532.10","","ENSG00000068305.18","",
,"7052.583333333842","binds","","MEF2A (binds) HNRNPU","chr1","244920010","244919714","","false","binds","MEF2A (binds) HNRNPU","","MAGICAL","-","ENSG00000153187.20","","ENSG00000068305.18","",
,"324845.78762614273","binds","","FOSL2 (binds) RANBP2","chr2","108662615","108661960","","false","binds","FOSL2 (binds) RANBP2","","MAGICAL","+","ENSG00000153201.16","","ENSG00000075426.12","",
,"5345.0","binds","","MEF2A (binds) JOSD1","chr22","38616152","38614736","","false","binds","MEF2A (binds) JOSD1","","MAGICAL","-","ENSG00000100221.11","","ENSG00000068305.18","",
,"176706.23041679317","binds","","NR4A1 (binds) JOSD1","chr22","38712826","38712273","","false","binds","NR4A1 (binds) JOSD1","","MAGICAL","-","ENSG00000100221.11","","ENSG00000123358.20","",
,"6186.109890109471","binds","","MEF2A (binds) LMOD2","chr7","123666937","123664933","","false","binds","MEF2A (binds) LMOD2","","MAGICAL","+","ENSG00000170807.12","","ENSG00000068305.18","",
,"14913.440873015743","binds","","ELF1 (binds) LSMEM1","chr7","112423574","112422704","","false","binds","ELF1 (binds) LSMEM1","","MAGICAL","+","ENSG00000181016.9","","ENSG00000120690.16","",
,"21861.5","binds","","IRF2 (binds) GADD45G","chr9","89623752","89622988","","false","binds","IRF2 (binds) GADD45G","","MAGICAL","+","ENSG00000130222.11","","ENSG00000168310.11","",
,"527358.4381674094","binds","","NR4A1 (binds) ABHD4","chr14","22614887","22613417","","false","binds","NR4A1 (binds) ABHD4","","MAGICAL","+","ENSG00000100439.11","","ENSG00000123358.20","",
"4","925350.7803029595","regulates","EE","NFIB (regulates) WDR26","",,,"O00712_S333s","false","regulates","NFIB (regulates) WDR26","S333s","SCION","","","ENSG00000162923.17","","muscle","0.184290461454997"
"13","266060.9104554733","regulates","RE","NFIC (regulates) MBNL1","",,,"P08651_S333s","false","regulates","NFIC (regulates) MBNL1","S333s","SCION","","","ENSG00000152601.18","","muscle","0.366893616164204"
,"16312.200000002224","binds","","IRF2 (binds) NEAT1","chr11","65508918","65506502","","false","binds","IRF2 (binds) NEAT1","","MAGICAL","+","ENSG00000245532.10","","ENSG00000168310.11","",
,"287217.64329006226","binds","","NR4A1 (binds) SRSF3","chr6","36682661","36682286","","false","binds","NR4A1 (binds) SRSF3","","MAGICAL","+","ENSG00000112081.17","","ENSG00000123358.20","",
,"64936.72181984672","binds","","MEF2A (binds) NFIL3","chr9","91419631","91419273","","false","binds","MEF2A (binds) NFIL3","","MAGICAL","-","ENSG00000165030.4","","ENSG00000068305.18","",
,"5345.0","binds","","MEF2A (binds) ABRA","chr8","106766873","106766541","","false","binds","MEF2A (binds) ABRA","","MAGICAL","-","ENSG00000174429.4","","ENSG00000068305.18","",
,"6869.674603174861","binds","","MEF2A (binds) DNAJB4","chr1","78019600","78018834","","false","binds","MEF2A (binds) DNAJB4","","MAGICAL","+","ENSG00000162616.9","","ENSG00000068305.18","",
"13","639246.575613259","regulates","RE","NFIC (regulates) JPH2","",,,"P08651_S333s","false","regulates","NFIC (regulates) JPH2","S333s","SCION","","","ENSG00000149596.7","","muscle","0.217780086603039"
,"13503.142857140478","binds","","IRF2 (binds) PDK4","chr7","95582912","95581884","","false","binds","IRF2 (binds) PDK4","","MAGICAL","-","ENSG00000004799.8","","ENSG00000168310.11","",
,"261572.18928571919","binds","","FOSL2 (binds) TBC1D22B","chr6","37240788","37239894","","false","binds","FOSL2 (binds) TBC1D22B","","MAGICAL","+","ENSG00000065491.8","","ENSG00000075426.12","",
"10","124365.1563074449","regulates","EE","ZHX2 (regulates) HARS2","",,,"Q9Y6X8_T37t","false","regulates","ZHX2 (regulates) HARS2","T37t","SCION","","","ENSG00000112855.17","","muscle","0.204994018673234"
,"5345.0","binds","","MEF2A (binds) PDK4","chr7","95582912","95581884","","false","binds","MEF2A (binds) PDK4","","MAGICAL","-","ENSG00000004799.8","","ENSG00000068305.18","",
,"2764753.065523075","binds","","IRF2 (binds) NFIL3","chr9","91433729","91433230","","false","binds","IRF2 (binds) NFIL3","","MAGICAL","-","ENSG00000165030.4","","ENSG00000168310.11","",
