"feature_id","uniprot","gene_symbol","correlation","p_value_corr","n_obs"
"OID20051","P61978","HNRNPK",-0.0882364403692173,0.573670123874875,43
"OID20052","P17676","CEBPB",0.0719017896001295,0.646814557652494,43
"OID20055","P34998","CRHR1",0.0624481705997704,0.690761431360948,43
"OID20056","Q969D9","TSLP",0.154017902686368,0.324082910870576,43
"OID20057","P55082","MFAP3",-0.0294547093890049,0.851271349054694,43
"OID20059","Q9NRD8","DUOX2",0.227338392227041,0.142619940184857,43
"OID20061","Q16619","CTF1",-0.097150487285937,0.535419184143711,43
"OID20062","P17516","AKR1C4",0.0669843498324019,0.6695378443678,43
"OID20063","Q9NRV9","HEBP1",-0.115736936507563,0.459868620895556,43
"OID20064","P36952","SERPINB5",-0.0230832747857072,0.883190214940327,43
"OID20066","P34947","GRK5",-0.115918891247219,0.459158616732739,43
"OID20067","Q96N03","VSTM2L",-0.250217066280758,0.105599308888935,43
"OID20068","P31483","TIA1",0.0245830669903681,0.875658361336312,43
"OID20069","Q9Y2B0","CNPY2",0.0191481581457476,0.902998831370589,43
"OID20070","O43186","CRX",0.169913557429797,0.276017094794185,43
"OID20071","O95183","VAMP5",-0.0199740387874455,0.89883627760353,43
"OID20072","Q6UWL2","SUSD1",-0.129657060337225,0.407290587661488,43
"OID20073","Q9UKL0","RCOR1",-0.118191581380082,0.450340372280841,43
"OID20074","P01375","TNF",-0.105393839944479,0.501185487620846,43
"OID20075","P35218","CA5A",-0.0898403186764924,0.566696670257715,43
"OID20076","P51161","FABP6",0.195968866454837,0.207871097037718,43
"OID20077","Q15831","STK11",-0.0681269016834402,0.664231181804562,43
"OID20078","O60635","TSPAN1",-0.0986985588637849,0.528904796199545,43
"OID20079","P62736","ACTA2",-0.380215699446033,0.0119025481710402,43
"OID20081","O43854","EDIL3",-0.236921877006263,0.126092888764484,43
"OID20082","Q13105","ZBTB17",-0.181873420377368,0.243110712563824,43
"OID20083","P21246","PTN",-0.270620136475795,0.0792252253564174,43
"OID20084","O95684","CEP43",-0.246477664163561,0.111086848779611,43
"OID20085","Q12912","IRAG2",0.0395871694825796,0.801010305235434,43
"OID20086","P21964","COMT",-0.108186036777566,0.489848602913985,43
"OID20087","P09237","MMP7",-0.255715263548494,0.0979099203584785,43
"OID20088","Q15165","PON2",-0.070510186502735,0.653214118285127,43
"OID20089","Q8TE57","ADAMTS16",-0.259440035802529,0.0929505680833754,43
"OID20090","P55259","GP2",-0.290034464835892,0.0592118364700074,43
