"Cluster","EdgeBetweenness","interaction","modality","name","Peak_chr","Peak_end","Peak_start","regulator_id","selected","shared interaction","shared name","site","source","strand","Target_gene_id","target_id","TF_id","tissue","Weight"
"13","703154.0679117127","regulates","RE","NFIC (regulates) H2AZ2","",,,"P08651_S333s","false","regulates","NFIC (regulates) H2AZ2","S333s","SCION","","","ENSG00000105968.19","","muscle","0.272867032009421"
"9","298823.63302331674","regulates","RE","CIC (regulates) ATP6AP1L","",,,"Q96RK0_S904s","false","regulates","CIC (regulates) ATP6AP1L","S904s","SCION","","","ENSG00000205464.13","","muscle","0.192514179918712"
"13","212888.92258519988","regulates","RE","NFIC (regulates) PALS2","",,,"P08651_S333s","false","regulates","NFIC (regulates) PALS2","S333s","SCION","","","ENSG00000105926.16","","muscle","0.100743458189496"
,"11894.60753968233","binds","","ZNF341 (binds) ACTN2","chr1","236771629","236770984","","false","binds","ZNF341 (binds) ACTN2","","MAGICAL","+","ENSG00000077522.15","","ENSG00000131061.14","",
"13","527353.3519480425","regulates","RE","NFIC (regulates) UBE2R2","",,,"P08651_S333s","false","regulates","NFIC (regulates) UBE2R2","S333s","SCION","","","ENSG00000107341.5","","muscle","0.153641003126599"
"9","74314.3440476216","regulates","RE","CIC (regulates) CFAP44","",,,"Q96RK0_S904s","false","regulates","CIC (regulates) CFAP44","S904s","SCION","","","ENSG00000206530.11","","muscle","0.106774676052428"
"13","1111288.383333425","regulates","RE","NFIC (regulates) WASL","",,,"P08651_S333s","false","regulates","NFIC (regulates) WASL","S333s","SCION","","","ENSG00000106299.8","","muscle","0.103351193119341"
,"10917.833333333034","binds","","ZNF341 (binds) PMS2P1","chr7","100270705","100269642","","false","binds","ZNF341 (binds) PMS2P1","","MAGICAL","-","ENSG00000078319.11","","ENSG00000131061.14","",
"9","300183.3060980543","regulates","RE","CIC (regulates) TTC3P1","",,,"Q96RK0_S904s","false","regulates","CIC (regulates) TTC3P1","S904s","SCION","","","ENSG00000215105.4","","muscle","0.113057174374212"
"13","51304.79365079334","regulates","RE","NFIC (regulates) MED13","",,,"P08651_S333s","false","regulates","NFIC (regulates) MED13","S333s","SCION","","","ENSG00000108510.10","","muscle","0.383130681383406"
,"13922.61828345413","binds","","ZNF341 (binds) GPR107","chr9","129987436","129987149","","false","binds","ZNF341 (binds) GPR107","","MAGICAL","+","ENSG00000148358.20","","ENSG00000131061.14","",
"13","863686.1688933965","regulates","RE","NFIC (regulates) PDLIM1","",,,"P08651_S333s","false","regulates","NFIC (regulates) PDLIM1","S333s","SCION","","","ENSG00000107438.9","","muscle","0.116843121767017"
,"15806.200000000963","binds","","ZNF341 (binds) CTNNBIP1","chr1","9891058","9890154","","false","binds","ZNF341 (binds) CTNNBIP1","","MAGICAL","-","ENSG00000178585.15","","ENSG00000131061.14","",
"9","249912.10584414034","regulates","RE","CIC (regulates) LINC01137","",,,"Q96RK0_S904s","false","regulates","CIC (regulates) LINC01137","S904s","SCION","","","ENSG00000233621.3","","muscle","0.141680837500338"
"13","5828801.4849027","regulates","RE","NFIC (regulates) SOX6","",,,"P08651_S333s","false","regulates","NFIC (regulates) SOX6","S333s","SCION","","","ENSG00000110693.19","","muscle","0.178382927351579"
"9","328732.50793350313","regulates","RE","CIC (regulates) LINC01422","",,,"Q96RK0_S904s","false","regulates","CIC (regulates) LINC01422","S904s","SCION","","","ENSG00000223704.2","","muscle","0.167607876587444"
"13","1087190.0666666555","regulates","RE","NFIC (regulates) HIPK3","",,,"P08651_S333s","false","regulates","NFIC (regulates) HIPK3","S333s","SCION","","","ENSG00000110422.12","","muscle","0.194095388282173"
