name,regulator_id,site,target_id,modality,tissue,cluster,weight
PE P-40:4 or PE O-40:5 (regulates) FKRP,PE P-40:4 or PE O-40:5,NA,ENSG00000181027.11,RE,blood.muscle,9,0.111954959221712
PE P-40:4 or PE O-40:5 (regulates) UFSP1,PE P-40:4 or PE O-40:5,NA,ENSG00000176125.7,RE,blood.muscle,9,0.102174027045707
ST 24:5;O3 (regulates) ORAI2,ST 24:5;O3,NA,ENSG00000160991.17,RE,blood.muscle,9,0.102452355692731
Undecanedioic acid (regulates) ATXN1,Undecanedioic acid,NA,ENSG00000124788.19,RE,blood.muscle,6,0.142152294099427
Sphingosine 1-phosphate (regulates) HS3ST5,Sphingosine 1-phosphate,NA,ENSG00000249853.9,RE,blood.muscle,4,0.117285664529274
Sphingosine 1-phosphate (regulates) CCDC85C,Sphingosine 1-phosphate,NA,ENSG00000205476.9,RE,blood.muscle,4,0.11033927545348
Sphingosine 1-phosphate (regulates) ZFAND2B,Sphingosine 1-phosphate,NA,ENSG00000158552.13,RE,blood.muscle,4,0.11439039738472
Stearic acid (regulates) ENSG00000286689.1,Stearic acid,NA,ENSG00000286689.1,RE,blood.muscle,3,0.101560995803308
Stearic acid (regulates) PI4KA,Stearic acid,NA,ENSG00000241973.11,RE,blood.muscle,3,0.107243695142426
Stearic acid (regulates) TAPBP,Stearic acid,NA,ENSG00000231925.13,RE,blood.muscle,3,0.10377065066122
Stearic acid (regulates) ZSWIM7,Stearic acid,NA,ENSG00000214941.8,RE,blood.muscle,3,0.162548787281113
Stearic acid (regulates) NCR3LG1,Stearic acid,NA,ENSG00000188211.9,RE,blood.muscle,3,0.12895313336599
Stearic acid (regulates) NBEA,Stearic acid,NA,ENSG00000172915.20,RE,blood.muscle,3,0.155990811360045
Stearic acid (regulates) FAM86C1P,Stearic acid,NA,ENSG00000158483.18,RE,blood.muscle,3,0.144976993598702
Stearic acid (regulates) MIPOL1,Stearic acid,NA,ENSG00000151338.19,RE,blood.muscle,3,0.126360575043992
Stearic acid (regulates) LAMTOR1,Stearic acid,NA,ENSG00000149357.10,RE,blood.muscle,3,0.136386744797943
Stearic acid (regulates) XPO4,Stearic acid,NA,ENSG00000132953.18,RE,blood.muscle,3,0.161265088130614
Stearic acid (regulates) SCLY,Stearic acid,NA,ENSG00000132330.18,RE,blood.muscle,3,0.113705950683542
Stearic acid (regulates) MRPL34,Stearic acid,NA,ENSG00000130312.7,RE,blood.muscle,3,0.130344115499442
