GeneSym,ENCODE_2015,Pinar_2025,any
C12orf73,0,NA,0
ENSG00000286658.1,NA,NA,0
PRSS43P,NA,NA,0
SARNP,1,NA,1
PSMB10,1,NA,1
ENSG00000286861.1,NA,NA,0
ENSG00000287737.2,NA,NA,0
PRR13,1,NA,1
CRYGS,0,NA,0
ENSG00000288597.1,NA,NA,0
ENSG00000288187.1,NA,NA,0
ENSG00000288924.1,NA,NA,0
GIMAP1,0,NA,0
F8A1,0,NA,0
C8orf82,0,NA,0
KANSL1-AS1,NA,NA,0
MRPL23,1,NA,1
ZSWIM7,1,NA,1
ENSG00000268575.1,NA,NA,0
LINC00863,NA,NA,0
TPI1P1,NA,NA,0
ENSG00000271420.1,NA,NA,0
ENSG00000226833.7,NA,NA,0
AAAS,1,NA,1
ENSG00000272335.1,NA,NA,0
SLC35E4,1,NA,1
ZNF595,1,NA,1
TAPBP,0,NA,0
IL2RB,1,NA,1
PTCD1,1,NA,1
RAB3D,0,NA,0
ZNF862,1,NA,1
ENSG00000235859.5,NA,NA,0
GET4,1,NA,1
LINC01138,NA,NA,0
TIA1,1,NA,1
PI4KA,1,NA,1
ATP5PO,NA,NA,0
ACY1,1,NA,1
MRPL20,1,NA,1
UBE2V1,1,NA,1
LRRC77P,NA,NA,0
CIAPIN1,1,NA,1
OIP5-AS1,1,NA,1
ALAS1,1,NA,1
STRAP,1,NA,1
ENSG00000251364.8,NA,NA,0
ENSG00000279453.1,NA,NA,0
ENSG00000279744.1,NA,NA,0
LINC02761,NA,NA,0
BCDIN3D-AS1,NA,NA,0
ENSG00000279833.1,NA,NA,0
C5orf22,0,NA,0
ENSG00000280214.1,NA,NA,0
THTPA,0,NA,0
SMAP2,1,NA,1
MRPL46,1,NA,1
ENSG00000280285.1,NA,NA,0
FIGNL1,1,NA,1
AK6,NA,NA,0
STARD3,1,NA,1
ENSG00000260274.1,NA,NA,0
NUDC,1,NA,1
OVCA2,1,NA,1
KIF16B,1,NA,1
GTF2IP12,NA,NA,0
ENSG00000261303.6,NA,NA,0
SMPX,0,NA,0
MRPL12,1,NA,1
PHF21A,1,NA,1
SNU13,NA,NA,0
ENSG00000285108.1,NA,NA,0
MRPS18A,1,NA,1
ARFRP1,1,NA,1
ST8SIA5-DT,NA,NA,0
PSMA7,1,NA,1
MDC1,1,NA,1
PSMD7,1,NA,1
NCBP2AS2,NA,NA,0
ENSG00000285781.1,NA,NA,0
EIF3J,1,NA,1
ARL3,1,NA,1
AAGAB,1,NA,1
DMAC2,NA,NA,0
CA2,0,NA,0
ENSG00000288162.1,NA,NA,0
SYNPO2L-AS1,NA,NA,0
CIC,1,1,1
CCDC47,1,NA,1
LINC02371,NA,NA,0
INTS3,1,NA,1
CISD3,1,NA,1
MTCH2,1,NA,1
SCRN3,1,NA,1
HSPA9,1,NA,1
COX7A2,1,NA,1
MAPKAPK3,1,NA,1
ZMYM3,1,NA,1
MRPL3,1,NA,1
MRM1,1,NA,1
SNX17,1,NA,1
SEMA3G,0,NA,0
COX7A2L,1,NA,1
CNPPD1,1,NA,1
ENSG00000279207.1,NA,NA,0
SBNO2,1,NA,1
RPF1,1,NA,1
WDR77,1,NA,1
ATP6V0B,1,NA,1
ENSG00000286162.3,NA,NA,0
IPO13,1,NA,1
ZC3H15,1,NA,1
PFKP,0,NA,0
TCP1,1,NA,1
ELP6,1,NA,1
ATG101,1,NA,1
CCDC112,1,NA,1
RAD54L2,0,NA,0
SNRPB2,1,NA,1
MTRR,1,NA,1
DUS4L-BCAP29,NA,NA,0
ATP1B3,1,NA,1
NCLN,1,NA,1
ZXDC,0,NA,0
MRPS26,1,NA,1
CANX,1,NA,1
JMJD7-PLA2G4B,1,NA,1
TOMM40,1,NA,1
THEM6,1,NA,1
COX4I1,1,NA,1
JMJD6,1,NA,1
PSME3,1,NA,1
POMP,1,NA,1
SELENOS,NA,NA,0
PUM3,NA,NA,0
TCEAL4,0,NA,0
ZNF586,0,NA,0
BOLA1,1,NA,1
TBRG4,1,NA,1
KLC4,1,NA,1
NT5DC1,1,NA,1
ICAM1,1,NA,1
NUP50,1,NA,1
SH2D3C,1,NA,1
NECAP1,1,NA,1
DPP9,1,NA,1
HNRNPC,1,NA,1
ZNF787,1,NA,1
PFDN2,1,NA,1
CBARP,NA,NA,0
MRPS5,1,NA,1
APOL1,1,NA,1
CHAC2,1,NA,1
CYP4F12,1,NA,1
NDUFS6,1,NA,1
AGAP4,0,NA,0
PNN,1,NA,1
ALDH1L1,1,NA,1
COMMD10,1,NA,1
RBBP8,1,NA,1
NTMT1,1,NA,1
EIF3M,1,NA,1
MAGT1,0,NA,0
SUV39H2,1,NA,1
LIME1,1,NA,1
NDRG1,1,NA,1
DPH3,1,NA,1
ATP6V0D1,1,NA,1
GPATCH4,1,NA,1
SEC61B,1,NA,1
CASZ1,1,NA,1
PSMD6,1,NA,1
NFIB,0,NA,0
CCNL2,1,NA,1
UNC5B,1,NA,1
METTL13,1,NA,1
MAP3K8,1,NA,1
NDUFB8,1,NA,1
ENSG00000234338.1,NA,NA,0
SAFB,1,NA,1
MFF,0,NA,0
LINC01119,NA,NA,0
UGP2,1,NA,1
JADE2,1,1,1
HAUS5,1,NA,1
FAM86JP,NA,NA,0
SEMA6A-AS1,NA,NA,0
COMMD1,1,NA,1
RBM25,1,NA,1
ALG2,1,NA,1
CYCS,1,NA,1
FLYWCH1,1,NA,1
CORO1C,1,1,1
PPP1R14B,1,NA,1
DCTN2,0,NA,0
ENSG00000260855.1,NA,NA,0
GNG5,1,NA,1
CLTB,1,NA,1
CKAP5,1,NA,1
CSTF3,1,NA,1
AURKAIP1,1,NA,1
ZNF594-DT,NA,NA,0
RNGTT,1,NA,1
CDC26,1,NA,1
ENSG00000177359.21,NA,NA,0
TALDO1,1,NA,1
MRFAP1,1,NA,1
COQ10B,1,NA,1
FRG1HP,NA,NA,0
UPP1,1,NA,1
APOO,1,NA,1
IL1R1,0,NA,0
SEMA4A,1,NA,1
RNA5-8SN1,NA,NA,0
ENSG00000285803.1,NA,NA,0
FAM3C,1,NA,1
STX12,1,NA,1
RPF2,1,NA,1
TGM1,0,NA,0
FITM2,1,NA,1
TAF13,1,NA,1
PFDN6,0,NA,0
MEF2A,1,NA,1
GPR75,0,NA,0
NR4A3,1,NA,1
CPT1B,0,NA,0
HEBP1,0,NA,0
SMNDC1,1,NA,1
DNAJC27-AS1,1,NA,1
HDAC10,0,NA,0
SAMM50,1,NA,1
NCAPH2,1,NA,1
LINC00327,0,NA,0
HSBP1,1,NA,1
ENSG00000235288.3,NA,NA,0
MRI1,1,NA,1
ARHGAP5,1,NA,1
HOXA11-AS,0,NA,0
PARP3,1,NA,1
TMEM250,NA,1,1
CEP192,1,NA,1
PGAM5,1,NA,1
CDADC1,1,NA,1
DTNBP1,1,NA,1
CHKB-CPT1B,1,NA,1
MAILR,NA,NA,0
CROCC,0,NA,0
TAGAP-AS1,NA,NA,0
ROGDI,1,NA,1
AP3M2,1,NA,1
ARPP19,1,NA,1
GABARAPL1,1,NA,1
AGBL1,0,NA,0
ENSG00000281571.2,NA,NA,0
RPS4Y1,1,NA,1
NGDN,1,NA,1
DHX58,1,NA,1
SMARCD2,1,NA,1
ENSG00000283175.1,NA,NA,0
ARPC1B,1,NA,1
ENSG00000288849.1,NA,NA,0
ZNF346,1,NA,1
SMARCD3,0,NA,0
DYRK3,1,NA,1
RIPOR3,NA,NA,0
ZMYM5,1,NA,1
MAPKAPK5,1,NA,1
LOXL2,0,NA,0
NDST1,1,NA,1
SLC38A2,1,NA,1
MACROH2A2,NA,NA,0
PPP4R1L,0,NA,0
XRCC3,1,NA,1
RBBP9,1,NA,1
PNPLA8,1,NA,1
TNRC6A,1,NA,1
POT1,1,NA,1
CHD8,1,NA,1
KIF3A,0,NA,0
RNF144B,1,NA,1
PIM1,1,NA,1
DTWD1,1,NA,1
RGS9,1,NA,1
THBS1,1,NA,1
ATG2A,1,NA,1
TPM4,1,NA,1
TPO,0,NA,0
SERF2,1,NA,1
NAB2,1,NA,1
TLNRD1,NA,NA,0
CDC42EP5,0,NA,0
KCNC4,1,NA,1
ESCO1,1,NA,1
PPM1H,1,NA,1
SH3GL1,1,NA,1
C2CD5,1,NA,1
BCL10,1,NA,1
TERF1,0,NA,0
FAM120B,1,NA,1
ARHGEF11,0,NA,0
CCN1,NA,1,1
ADAM15,1,NA,1
GPR17,0,NA,0
CETN3,1,NA,1
FANCL,1,NA,1
GUK1,1,NA,1
STOM,1,NA,1
PRDM8,1,NA,1
PITPNC1,1,NA,1
PCYOX1L,1,NA,1
STX16,1,NA,1
SMG1,1,NA,1
ANKRD9,1,NA,1
LUC7L2,1,NA,1
CCDC28B,1,NA,1
TRIM66,0,NA,0
SRSF2,1,NA,1
UCK1,1,NA,1
LRRC38,0,NA,0
EIF4A1,1,NA,1
VCAM1,1,NA,1
ATF3,1,1,1
PNP,1,NA,1
PLEKHA7,1,NA,1
TEX2,1,NA,1
PHF8,1,NA,1
RGS14,1,NA,1
CLIC1,0,NA,0
ZC3H12A,1,NA,1
SLN,0,NA,0
AMIGO3,1,NA,1
NOS3,0,NA,0
ZNF483,0,NA,0
GEM,1,NA,1
RHOF,1,1,1
OTUD1,1,NA,1
SAMD12,1,NA,1
AQP3,1,NA,1
ZMYND19,0,NA,0
ENSG00000244998.1,NA,NA,0
CCDC66,1,NA,1
NDST2,1,NA,1
HOXC9,0,NA,0
AMIGO1,1,NA,1
WASH6P,NA,NA,0
PPOX,1,NA,1
SLC27A3,1,NA,1
TUBA1A,1,NA,1
HMCN1,0,NA,0
JAG2,1,NA,1
PRPF39,1,NA,1
ZSCAN30,1,NA,1
GP1BA,1,NA,1
ENSG00000272512.1,NA,NA,0
ZNF74,1,NA,1
PPIP5K2,0,NA,0
MAT2A,1,NA,1
ENSG00000279196.1,NA,NA,0
LINC00265,1,NA,1
POC5,1,NA,1
COMMD5,1,NA,1
TMEM63A,1,NA,1
LINC02210,NA,NA,0
SCAND1,1,NA,1
RSL1D1,1,NA,1
C20orf204,NA,NA,0
DRAM2,1,NA,1
ZNF628,1,NA,1
BCL2L1,1,NA,1
EIF2AK3,1,NA,1
BSG,1,NA,1
CEBPB,1,NA,1
ASPH,1,NA,1
ABRA,0,NA,0
FUT1,0,NA,0
AP1G2,1,NA,1
ENSG00000250575.1,NA,NA,0
FOSL1,1,NA,1
PHYKPL,0,NA,0
ENSG00000256694.1,NA,NA,0
PPP1R32,1,NA,1
SPHK1,1,NA,1
TTTY14,0,NA,0
DLGAP1-AS1,NA,NA,0
HFM1,0,NA,0
C2orf69,0,NA,0
GPR155,1,NA,1
NAP1L5,0,NA,0
ENSG00000226281.5,NA,NA,0
5_8S_rRNA,NA,NA,0
PPP1R27,1,NA,1
LINC01359,NA,NA,0
CHST15,1,NA,1
USP49,1,NA,1
RNA5-8SN3,NA,NA,0
RBM12B,1,NA,1
RNA5-8SN5,NA,NA,0
AP3M1,1,NA,1
CCAR1,1,NA,1
GBX1,0,NA,0
RNA5-8SN4,NA,NA,0
PIP5K1C,0,NA,0
RNA5-8SN2,NA,NA,0
DEPP1,NA,NA,0
ENSG00000284391.1,NA,NA,0
ENSG00000237094.12,NA,NA,0
CEP295,NA,NA,0
SRSF10,1,NA,1
CEP57,1,NA,1
AMACR,1,NA,1
TSC22D2,1,NA,1
EGFL8,0,NA,0
STXBP4,1,NA,1
SNCB,0,NA,0
TMEM68,1,NA,1
BATF2,1,NA,1
COX20,1,NA,1
BZW1,1,NA,1
GPX3,1,NA,1
TRIM56,1,NA,1
KIAA0100,1,NA,1
EIF3I,1,NA,1
SELENOH,NA,NA,0
PDE7B,0,NA,0
ENSG00000272316.1,NA,NA,0
KRT31,0,NA,0
POP7,1,1,1
GTF2IP13,NA,NA,0
PLEKHG2,1,NA,1
NUTM2B-AS1,NA,NA,0
NMNAT1,1,NA,1
NKAP,1,NA,1
ZDHHC24,1,NA,1
SEC23IP,1,NA,1
SNHG15,1,NA,1
HCG18,1,NA,1
JAK2,1,NA,1
HOGA1,1,NA,1
GK5,1,NA,1
SUMO1,1,NA,1
C1orf127,0,NA,0
ENSG00000283236.1,NA,NA,0
ITGA2-AS1,NA,NA,0
PAAF1,1,NA,1
FAM238C,NA,NA,0
PYROXD2,1,NA,1
ENSG00000255148.2,NA,NA,0
PSMB5,1,NA,1
ENSG00000259948.2,NA,NA,0
ATP6V1D,1,NA,1
ENSG00000288884.1,NA,NA,0
DCTD,1,NA,1
TPM1-AS,NA,NA,0
DVL2,1,NA,1
MAP1LC3A,0,NA,0
RARA-AS1,NA,NA,0
ADCK2,1,NA,1
RORA,0,NA,0
ISCA1,1,NA,1
MIR23AHG,NA,NA,0
FGF9,1,NA,1
WDR97,NA,NA,0
SCYL2,1,NA,1
FLT1,0,NA,0
CHCHD3,1,NA,1
ENSG00000272631.1,NA,NA,0
RAB11A,1,1,1
ENSG00000273599.1,NA,NA,0
CHAMP1,1,NA,1
FCSK,NA,NA,0
SPNS2,1,NA,1
SEC13,1,NA,1
PI4KAP1,0,NA,0
TYW5,1,NA,1
GRWD1,1,NA,1
RBM12B-AS1,1,NA,1
STX1A,1,NA,1
PDAP1,1,NA,1
CDNF,1,NA,1
ENSG00000284024.4,NA,NA,0
MMADHC,1,NA,1
EDF1,1,NA,1
FEZ2,1,NA,1
IL20RB,0,NA,0
UNKL,1,NA,1
RHOG,1,NA,1
LRRC59,1,NA,1
SIVA1,1,NA,1
SLX4,1,NA,1
GSPT2,1,NA,1
WASH3P,1,NA,1
ZNF263,1,NA,1
LCNL1,0,NA,0
ZNF252P,1,NA,1
FOXK1,1,NA,1
SMAP1,1,NA,1
MCM2,1,NA,1
SUB1,1,NA,1
ENSG00000264490.3,NA,NA,0
SRSF8,1,NA,1
KIF22,1,NA,1
HMGB3,0,NA,0
