SCION..target,Gambardella_et_al_2020,MSigDb_TFEB_TARGET_GENES,Settembre_et_al_2013,Doronzo_et_al_2018,any
ICA1,N,N,N,N,N
NCAPD2,N,N,N,N,N
IFFO1,Y,N,N,N,Y
SH3YL1,Y,N,N,N,Y
TUBG2,N,N,N,N,N
TLL1,N,N,N,N,N
VAMP3,N,N,N,N,N
ZNF112,Y,N,N,N,Y
TM7SF3,N,N,N,N,N
TNPO3,N,N,N,N,N
RFXANK,N,N,N,N,N
STOML1,N,N,N,N,N
FRMPD1,N,N,N,N,N
HLTF,N,N,N,N,N
AP4E1,N,N,N,N,N
ZNF302,Y,N,N,Y,Y
ZBTB25,N,Y,N,Y,Y
SPTLC1,N,N,N,N,N
USP48,Y,N,N,Y,Y
FBXL19,N,N,N,Y,Y
PPM1F,N,N,N,Y,Y
MFNG,N,Y,N,N,Y
THOC5,N,N,N,N,N
NDRG3,N,N,N,N,N
STK4,N,Y,N,Y,Y
ZNF629,N,N,N,N,N
LMF1,N,N,N,N,N
LEPROTL1,N,N,N,N,N
STX10,N,N,N,Y,Y
FAM32A,N,N,N,N,N
ILVBL,Y,Y,N,Y,Y
POP4,Y,N,N,N,Y
LENG1,N,N,N,N,N
HOXA6,Y,N,N,N,Y
STN1,N,N,N,N,N
C17orf75,N,N,N,N,N
KAT2A,N,N,N,N,N
MLX,N,N,N,Y,Y
PPP1R9B,N,N,N,N,N
MPP2,Y,N,N,N,Y
ATN1,Y,N,N,N,Y
ST8SIA1,N,N,N,N,N
BTN3A3,N,N,N,N,N
MCM9,N,N,N,N,N
GUCA1B,N,N,N,N,N
PEX5L,N,N,N,N,N
INO80D,Y,N,N,N,Y
ID2,Y,Y,N,Y,Y
SMG7,N,N,N,N,N
PIK3R3,N,N,N,Y,Y
DPH5,Y,N,N,N,Y
TXNDC12,N,N,N,N,N
USP35,N,N,N,N,N
PLAGL1,N,N,N,N,N
SENP5,Y,N,N,N,Y
GORAB,N,N,N,N,N
TNFSF10,N,N,N,N,N
G0S2,N,N,N,Y,Y
SIRT5,Y,N,N,N,Y
MRS2,Y,N,N,N,Y
AARS2,N,N,N,N,N
RREB1,N,N,N,N,N
BMP4,N,N,N,Y,Y
MKKS,N,N,N,N,N
TCF15,N,N,N,N,N
IRF3,N,N,N,N,N
AVPR2,Y,N,N,N,Y
ZNF484,Y,N,N,N,Y
WFIKKN1,N,N,N,Y,Y
PUS7L,N,N,N,N,N
TRPM4,N,N,N,N,N
TUBGCP2,N,N,N,Y,Y
POLN,Y,N,N,N,Y
ZNF341,N,N,N,N,N
ENAM,N,N,N,N,N
TOE1,N,N,N,N,N
C1QTNF6,Y,Y,N,Y,Y
KCTD1,N,N,N,N,N
DNAJC14,N,N,N,N,N
OS9,N,N,N,N,N
VILL,N,N,N,Y,Y
THSD1,N,N,N,Y,Y
CCDC115,N,N,N,N,N
GARNL3,N,N,N,N,N
HINT2,N,N,N,N,N
LRRC32,N,N,N,Y,Y
DCUN1D5,N,N,N,N,N
DBR1,N,N,N,N,N
DNA2,N,N,N,N,N
SHF,N,N,N,N,N
TMEM19,N,N,N,N,N
RITA1,N,Y,N,Y,Y
TARBP2,N,N,N,N,N
SCAMP2,N,N,N,N,N
ZNF287,Y,N,N,N,Y
G6PC3,Y,Y,N,Y,Y
DOP1B,N,N,N,N,N
KIAA0319L,Y,N,N,N,Y
NBPF3,N,N,N,N,N
TMCO1,Y,N,N,Y,Y
PIGM,N,N,N,N,N
SYT2,N,N,N,N,N
CIAO1,N,N,N,N,N
SFXN5,N,N,N,N,N
IGSF11,N,N,N,N,N
MUC4,N,N,N,N,N
RMND5B,Y,N,N,N,Y
TRIM41,N,N,N,Y,Y
ZNF182,N,N,N,N,N
PLPBP,N,N,N,N,N
ERLIN2,Y,N,N,Y,Y
GPR107,Y,N,N,N,Y
SOGA1,N,N,N,N,N
CABLES2,N,N,N,N,N
ZNF547,N,N,N,N,N
GTF2E1,N,N,N,N,N
MIA3,N,N,N,N,N
CHODL,N,N,N,N,N
KCTD18,N,N,N,Y,Y
FAM126B,N,N,N,N,N
PPARGC1B,N,N,N,N,N
ELMO1,N,N,N,Y,Y
TYSND1,N,N,N,N,N
PDE6D,Y,N,N,N,Y
RNF111,N,N,N,N,N
PTH1R,N,N,N,N,N
ALKBH4,N,N,N,Y,Y
GBP4,N,N,N,Y,Y
AZI2,N,N,N,N,N
YEATS2,N,N,N,N,N
MST1R,N,N,N,N,N
ARFIP1,N,Y,N,N,Y
CRYL1,N,N,N,Y,Y
DIPK1B,N,N,N,N,N
TK2,N,N,N,Y,Y
KATNAL2,Y,N,N,Y,Y
DUS2,Y,N,N,N,Y
ZNF23,N,N,N,N,N
ZNF444,Y,N,N,N,Y
RCOR2,N,N,N,N,N
HID1,N,N,N,N,N
THAP11,N,N,N,N,N
LRATD2,N,N,N,N,N
SEMA4C,N,N,N,Y,Y
INO80E,Y,N,N,N,Y
LUZP1,N,N,N,Y,Y
GLB1,N,N,N,N,N
GSTA4,N,N,N,Y,Y
GIMAP8,N,N,N,N,N
METTL18,N,N,N,Y,Y
ZFAND4,N,N,N,N,N
CORO1B,N,Y,N,Y,Y
EGFL7,Y,N,N,Y,Y
MAP3K11,N,N,N,Y,Y
THAP2,N,N,N,N,N
PC,N,N,N,Y,Y
ZIC4,N,N,N,N,N
SPSB4,N,N,N,N,N
DOLK,N,Y,N,Y,Y
RNF152,N,N,N,N,N
PPFIA3,Y,N,N,N,Y
IMP3,Y,N,N,N,Y
ALS2CL,N,N,N,N,N
KLHL11,Y,N,N,N,Y
GIMAP7,N,N,N,N,N
ARID3B,N,N,N,N,N
FOXS1,N,N,N,N,N
ZNF594,N,N,N,Y,Y
ZFP3,N,N,N,N,N
ZNF792,Y,N,N,N,Y
ZNF678,N,N,N,N,N
SGSH,Y,N,N,Y,Y
ZNF320,N,N,N,N,N
GJD3,N,N,N,N,N
FANCF,N,N,N,N,N
SF3A3,N,N,N,N,N
C22orf46,N,N,N,N,N
MUC6,N,N,N,N,N
ZBTB3,N,N,N,N,N
THNSL1,N,Y,N,Y,Y
SETD4,N,N,N,N,N
KDM4D,N,N,N,N,N
FOXD3,N,N,N,N,N
BLOC1S5,N,N,N,Y,Y
MSANTD1,N,N,N,N,N
KCTD21,N,N,N,N,N
RASSF10,N,N,N,N,N
ZNF766,N,N,N,N,N
ZNF493,Y,N,N,N,Y
EPHB4,N,N,N,Y,Y
BORCS6,N,N,N,Y,Y
TRPV1,N,N,N,N,N
NOL4L,Y,N,N,N,Y
ZNF720,N,N,N,N,N
NPIPB6,N,N,N,N,N
CNGA1,N,N,N,N,N
ITPRIPL1,N,N,N,N,N
CCDC160,N,N,N,N,N
TRIQK,N,N,N,N,N
CNEP1R1,N,N,N,N,N
ATP6AP1L,N,N,N,N,N
PLPP6,N,N,N,N,N
NYNRIN,N,N,N,N,N
ZNF611,Y,N,N,N,Y
ENSG00000215493.3,N,N,N,N,N
TIGD1,Y,N,N,N,Y
ENSG00000228366.1,N,N,N,N,N
FAAHP1,N,N,N,N,N
MCTS1,N,N,N,N,N
TRIM26,N,N,N,N,N
SLC25A25-AS1,N,N,N,N,N
HGH1,N,N,N,N,N
PKMP1,N,N,N,N,N
COX19,N,N,N,N,N
PTCHD4,N,N,N,N,N
ALDH1L1-AS2,N,N,N,N,N
RRN3P1,N,N,N,N,N
TMEM9B-AS1,N,N,N,N,N
ENSG00000256591.5,N,N,N,N,N
ENSG00000258768.2,N,N,N,N,N
ADAM20P1,N,N,N,N,N
ENSG00000260261.2,N,N,N,N,N
ENSG00000260279.4,N,N,N,N,N
ENSG00000262691.1,N,N,N,N,N
ZNF407-AS1,N,N,N,N,N
HSD17B1-AS1,N,N,N,N,N
ENSG00000267127.7,N,N,N,N,N
ENSG00000268912.1,N,N,N,N,N
RAB11B-AS1,N,N,N,Y,Y
KCNQ1OT1,N,N,N,N,N
PFN1P2,N,N,N,N,N
ENSG00000271254.7,N,N,N,N,N
ENSG00000276728.1,N,N,N,N,N
TMEM272,N,N,N,Y,Y
TEX52,N,N,N,N,N
EXOC3L2,N,N,N,N,N
ENSG00000285796.1,N,N,N,N,N
ENSG00000288187.1,N,N,N,N,N
ENSG00000288597.1,N,N,N,N,N
SARM1,N,N,N,Y,Y
PHF23,N,N,N,Y,Y
PARP3,N,N,N,Y,Y
SPATA7,N,N,N,N,N
DTNBP1,Y,N,N,N,Y
AP3M2,N,Y,N,Y,Y
KDM5A,N,N,N,Y,Y
MAP3K13,N,N,N,N,N
TNRC6C,N,N,N,N,N
CROCCP3,N,N,N,N,N
BCORL1,N,N,N,N,N
ZNF213,N,N,N,N,N
SUCO,N,N,N,N,N
MACROH2A2,N,N,N,N,N
REC8,N,N,N,N,N
RAE1,N,N,N,N,N
AMMECR1,Y,N,N,N,Y
VPS35L,N,N,N,Y,Y
PRKD2,N,N,N,N,N
ZKSCAN1,N,N,N,N,N
TUBD1,N,N,N,N,N
AKAP10,Y,N,N,Y,Y
TMEM97,N,N,N,N,N
TMEM109,N,N,N,N,N
IL10RA,N,N,N,N,N
ITFG2,Y,N,N,N,Y
PARP11,N,N,N,Y,Y
PHACTR1,N,N,N,N,N
BICRAL,N,N,N,N,N
ORC2,Y,N,N,N,Y
GBP1,N,N,N,N,N
ARID1A,N,N,N,Y,Y
ZNF430,Y,N,N,N,Y
MLH3,N,N,N,N,N
NRDE2,Y,N,N,N,Y
ATAD2B,Y,N,N,N,Y
DNAJC15,N,N,N,N,N
NFE2,N,N,N,N,N
TTF1,N,N,N,N,N
RHOJ,N,Y,N,Y,Y
PLD2,N,N,N,N,N
RAB2B,N,N,N,N,N
GTPBP3,Y,N,N,N,Y
HELZ2,N,N,N,N,N
KDM6B,Y,N,N,Y,Y
ZNF767P,Y,N,N,N,Y
SNX14,N,N,N,N,N
PAX3,N,N,N,N,N
VPS45,Y,N,N,N,Y
PGBD1,N,N,N,N,N
RHOF,N,N,N,N,N
JDP2,N,N,N,N,N
PARN,Y,N,N,Y,Y
PPOX,Y,N,N,N,Y
PPIP5K2,N,Y,N,Y,Y
DIPK2B,N,N,N,N,N
CLEC1A,N,N,N,N,N
VIPAS39,N,N,N,N,N
NCAPD3,N,N,N,Y,Y
CDK19,N,N,N,Y,Y
CDK20,N,N,N,Y,Y
RAB11FIP1,Y,N,N,Y,Y
THEM4,N,N,N,N,N
IQCC,N,N,N,N,N
U2AF1L4,N,N,N,N,N
DIRAS3,N,N,N,N,N
CCDC191,N,N,N,N,N
ARHGEF3,N,N,N,Y,Y
CITED2,Y,N,N,N,Y
MAMDC2,N,N,N,N,N
DEPP1,N,N,N,N,N
CEP57,N,N,N,N,N
ADAMTS15,N,N,N,N,N
WBP1L,N,Y,N,Y,Y
CNPY4,N,N,N,N,N
ZNF91,Y,N,N,N,Y
TRIM68,N,N,N,N,N
REEP4,N,N,N,N,N
ZNF30,N,N,N,N,N
RAB24,N,N,N,N,N
SLC33A1,N,Y,N,Y,Y
TRIM56,N,N,N,N,N
PDE7B,N,N,N,Y,Y
POP7,N,N,N,N,N
CARNS1,Y,N,N,N,Y
DCP2,N,N,N,N,N
XXYLT1,N,Y,N,Y,Y
CD34,N,Y,N,Y,Y
C1orf127,N,N,N,N,N
ERCC4,N,N,N,N,N
ZNF169,N,N,N,N,N
ACSF3,Y,N,N,N,Y
MTHFR,N,Y,N,Y,Y
ZNF620,N,N,N,Y,Y
WDR97,N,N,N,N,N
PLD5,N,N,N,N,N
TIGD2,N,N,N,Y,Y
ERCC6L2,Y,N,N,N,Y
LIMK2,N,N,N,Y,Y
ZNF721,Y,N,N,N,Y
SPNS2,N,N,N,N,N
GPR173,N,N,N,N,N
KNTC1,N,N,N,N,N
ZBTB40,Y,Y,N,Y,Y
SEMA4B,N,N,N,Y,Y
OLFML2A,N,N,N,N,N
ZBTB6,Y,N,N,N,Y
PLCD1,N,N,N,N,N
ZNF546,Y,N,N,N,Y
IFT140,N,N,N,N,N
ZNF626,N,N,N,N,N
C15orf62,N,N,N,Y,Y
GOLGA8M,N,N,N,N,N
ZNF563,N,N,N,N,N
ZKSCAN7,N,N,N,N,N
ADA,N,N,N,N,N
CPLANE1,N,N,N,N,N
ZNF442,N,N,N,N,N
ZNF789,Y,N,N,N,Y
INF2,N,N,N,N,N
HCP5,N,N,N,N,N
ZNF254,Y,N,N,N,Y
LTC4S,N,N,N,N,N
ARL16,N,N,N,Y,Y
ZNF603P,N,N,N,N,N
ZGLP1,N,N,N,N,N
SATB2-AS1,N,N,N,N,N
MRPL23-AS1,N,N,N,N,N
ENSG00000228506.3,N,N,N,N,N
ZFAND2A-DT,N,N,N,N,N
PDC-AS1,N,N,N,N,N
ZNF879,Y,N,N,N,Y
TSPY26P,N,N,N,N,N
CNTFR-AS1,N,N,N,N,N
ERVW-1,N,N,N,N,N
MRPS31P5,N,N,N,N,N
RAD51-AS1,N,N,N,N,N
STX18-AS1,N,N,N,N,N
ENSG00000260316.2,N,N,N,N,N
ENSG00000261098.1,N,N,N,N,N
CCER2,N,N,N,N,N
ENSG00000267934.1,N,N,N,N,N
ATP6V0D1-DT,N,Y,N,N,Y
BMS1P4,N,N,N,N,N
ENSG00000272078.1,N,N,N,N,N
LYRM4-AS1,N,N,N,N,N
WHAMMP3,N,N,N,N,N
ENSG00000276570.1,N,N,N,N,N
ENSG00000279088.1,N,N,N,N,N
ENSG00000279278.1,N,N,N,N,N
ENSG00000279382.1,N,N,N,N,N
ENSG00000279495.1,N,N,N,N,N
ENSG00000279608.1,N,N,N,N,N
ENSG00000279759.1,N,N,N,N,N
ENSG00000280138.1,N,N,N,N,N
ENSG00000280145.3,N,N,N,N,N
ENSG00000282034.1,N,N,N,N,N
NFYA,N,N,N,N,N
CHCHD3,N,Y,N,Y,Y
TFEB,N,N,Y,N,Y
CEBPB,N,N,N,N,N
RXRA,Y,N,N,N,Y
CHAMP1,N,N,N,Y,Y
NIPAL3,N,N,N,N,N
MKS1,Y,N,N,N,Y
POLA2,N,Y,N,Y,Y
ZDHHC6,N,N,N,N,N
TARBP1,N,N,N,N,N
DHX8,N,N,N,N,N
IP6K2,N,N,N,N,N
NT5C2,Y,N,N,Y,Y
PIK3C3,Y,N,N,N,Y
PMS2P1,N,N,N,N,N
HOXA9,Y,Y,N,Y,Y
SLC4A11,N,N,N,N,N
ANAPC5,N,N,N,Y,Y
TNRC6A,Y,N,N,Y,Y
TBC1D2,N,N,N,N,N
CIRBP,Y,N,N,N,Y
IL2RB,N,N,N,N,N
RABGGTA,N,N,N,N,N
NFATC2,N,N,N,N,N
SLC35A2,N,N,N,N,N
HAS3,N,N,N,Y,Y
NKG7,N,N,N,N,N
ATP13A1,Y,N,N,N,Y
GIMAP2,N,N,N,N,N
UBTF,Y,N,N,N,Y
RECQL5,N,N,N,N,N
LUC7L3,Y,N,N,N,Y
FNBP4,Y,Y,N,Y,Y
KMT5B,N,N,N,N,N
ACCS,N,Y,N,Y,Y
CLK4,Y,N,N,N,Y
DROSHA,N,Y,N,N,Y
PCDH12,N,N,N,N,N
GNLY,N,N,N,N,N
TIA1,Y,N,N,N,Y
KCNC4,N,N,N,N,N
SRSF11,Y,N,N,N,Y
HMGN3,N,N,N,N,N
