feature_id,assay,entrez_gene,gene_symbol,ensembl_gene,Gambardella_et_al_2020,MSigDb_TFEB_TARGET_GENES,Settembre_et_al_2013,Doronzo_et_al_2018,any
ENSG00000006210.7,transcript-rna-seq,6376,CX3CL1,ENSG00000006210,N,N,N,N,N
ENSG00000176907.5,transcript-rna-seq,56892,TCIM,ENSG00000176907,N,N,N,N,N
ENSG00000178878.13,transcript-rna-seq,81575,APOLD1,ENSG00000178878,N,Y,N,Y,Y
ENSG00000111859.17,transcript-rna-seq,4739,NEDD9,ENSG00000111859,N,N,N,N,N
ENSG00000154734.16,transcript-rna-seq,9510,ADAMTS1,ENSG00000154734,N,N,N,N,N
ENSG00000203883.7,transcript-rna-seq,54345,SOX18,ENSG00000203883,N,N,N,Y,Y
ENSG00000153234.15,transcript-rna-seq,4929,NR4A2,ENSG00000153234,Y,N,N,N,Y
ENSG00000136826.15,transcript-rna-seq,9314,KLF4,ENSG00000136826,N,Y,N,Y,Y
ENSG00000160888.7,transcript-rna-seq,9592,IER2,ENSG00000160888,N,N,N,N,N
ENSG00000179144.5,transcript-rna-seq,168537,GIMAP7,ENSG00000179144,N,N,N,N,N
ENSG00000161835.11,transcript-rna-seq,160622,TAMALIN,ENSG00000161835,N,Y,N,Y,Y
ENSG00000142627.13,transcript-rna-seq,1969,EPHA2,ENSG00000142627,Y,N,N,N,Y
ENSG00000144655.15,transcript-rna-seq,64651,CSRNP1,ENSG00000144655,N,N,N,N,N
ENSG00000117318.9,transcript-rna-seq,3399,ID3,ENSG00000117318,Y,N,N,Y,Y
ENSG00000177464.5,transcript-rna-seq,2828,GPR4,ENSG00000177464,Y,N,N,N,Y
ENSG00000142871.18,transcript-rna-seq,3491,CCN1,ENSG00000142871,N,N,N,Y,Y
ENSG00000130164.14,transcript-rna-seq,3949,LDLR,ENSG00000130164,Y,N,N,N,Y
ENSG00000127528.6,transcript-rna-seq,10365,KLF2,ENSG00000127528,N,N,N,N,N
ENSG00000161940.11,transcript-rna-seq,255877,BCL6B,ENSG00000161940,N,N,N,N,N
ENSG00000114315.4,transcript-rna-seq,3280,HES1,ENSG00000114315,Y,N,N,Y,Y
ENSG00000123358.20,transcript-rna-seq,3164,NR4A1,ENSG00000123358,N,N,N,N,N
ENSG00000205502.4,transcript-rna-seq,388125,C2CD4B,ENSG00000205502,N,N,N,Y,Y
ENSG00000125968.9,transcript-rna-seq,3397,ID1,ENSG00000125968,N,N,N,N,N
ENSG00000168758.11,transcript-rna-seq,54910,SEMA4C,ENSG00000168758,N,N,N,Y,Y
ENSG00000184009.13,transcript-rna-seq,71,ACTG1,ENSG00000184009,Y,N,N,Y,Y
ENSG00000059804.16,transcript-rna-seq,6515,SLC2A3,ENSG00000059804,N,Y,N,Y,Y
ENSG00000174951.12,transcript-rna-seq,2523,FUT1,ENSG00000174951,Y,N,N,N,Y
ENSG00000143751.10,transcript-rna-seq,163859,SDE2,ENSG00000143751,N,Y,N,Y,Y
ENSG00000087074.8,transcript-rna-seq,23645,PPP1R15A,ENSG00000087074,Y,N,N,Y,Y
ENSG00000179388.9,transcript-rna-seq,1960,EGR3,ENSG00000179388,N,N,N,N,N
ENSG00000188483.8,transcript-rna-seq,389792,IER5L,ENSG00000188483,N,N,N,N,N
ENSG00000149257.16,transcript-rna-seq,871,SERPINH1,ENSG00000149257,N,N,N,Y,Y
ENSG00000158859.10,transcript-rna-seq,9507,ADAMTS4,ENSG00000158859,N,N,N,Y,Y
ENSG00000211455.8,transcript-rna-seq,23012,STK38L,ENSG00000211455,N,N,N,N,N
ENSG00000168672.4,transcript-rna-seq,157638,LRATD2,ENSG00000168672,N,N,N,N,N
ENSG00000173846.13,transcript-rna-seq,1263,PLK3,ENSG00000173846,N,N,N,Y,Y
ENSG00000124216.4,transcript-rna-seq,6615,SNAI1,ENSG00000124216,N,N,N,N,N
ENSG00000167460.17,transcript-rna-seq,7171,TPM4,ENSG00000167460,N,N,N,Y,Y
ENSG00000140743.8,transcript-rna-seq,1039,CDR2,ENSG00000140743,Y,N,N,N,Y
ENSG00000117228.11,transcript-rna-seq,2633,GBP1,ENSG00000117228,N,N,N,N,N
ENSG00000198435.4,transcript-rna-seq,441478,NRARP,ENSG00000198435,N,N,N,N,N
ENSG00000068028.18,transcript-rna-seq,11186,RASSF1,ENSG00000068028,N,N,N,N,N
ENSG00000189431.8,transcript-rna-seq,644943,RASSF10,ENSG00000189431,N,N,N,N,N
ENSG00000275993.3,transcript-rna-seq,102724428,SIK1B,ENSG00000275993,N,N,N,N,N
ENSG00000267519.6,transcript-rna-seq,NA,MIR23AHG,ENSG00000267519,N,Y,N,Y,Y
ENSG00000138166.6,transcript-rna-seq,1847,DUSP5,ENSG00000138166,N,N,N,N,N
ENSG00000171115.4,transcript-rna-seq,155038,GIMAP8,ENSG00000171115,N,N,N,N,N
ENSG00000177303.10,transcript-rna-seq,57513,CASKIN2,ENSG00000177303,N,N,N,N,N
ENSG00000187678.10,transcript-rna-seq,81848,SPRY4,ENSG00000187678,N,N,N,Y,Y
ENSG00000136527.19,transcript-rna-seq,6434,TRA2B,ENSG00000136527,Y,N,N,Y,Y
