GeneSym,ZEB1
A1BG,0
A1BG-AS1,0
A1CF,0
A2M,0
A2ML1,0
A2MP1,0
A3GALT2,0
A4GALT,1
A4GNT,0
AA06,0
AAA1,0
AAAS,1
AACS,1
AACSP1,0
AADAC,0
AADACL2,0
AADACL3,0
AADACL4,0
AADAT,0
AAED1,0
AAGAB,1
AAK1,1
AAMDC,1
AAMP,1
AANAT,1
AAR2,1
AARD,0
AARS,1
AARS2,1
AARSD1,1
AASDH,0
AASDHPPT,1
AASS,0
AATF,0
AATK,0
AATK-AS1,0
ABAT,1
ABCA1,0
ABCA10,0
ABCA11P,1
ABCA12,0
ABCA13,0
ABCA17P,1
ABCA2,1
ABCA3,1
ABCA4,0
ABCA5,1
ABCA6,0
ABCA7,1
ABCA8,0
ABCA9,0
ABCB1,0
ABCB10,1
ABCB11,0
ABCB4,0
ABCB5,0
ABCB6,0
ABCB7,0
ABCB8,1
ABCB9,1
ABCC1,1
ABCC10,0
ABCC11,0
ABCC12,0
ABCC13,0
ABCC2,0
ABCC3,1
ABCC4,1
ABCC5,1
ABCC6,0
ABCC6P1,0
ABCC6P2,0
ABCC8,0
ABCC9,0
ABCD1,1
ABCD2,0
ABCD3,0
ABCD4,1
ABCE1,0
ABCF1,0
ABCF2,0
ABCF3,0
ABCG1,0
ABCG2,0
ABCG4,1
ABCG5,0
ABCG8,0
ABHD1,0
ABHD10,0
ABHD11,1
ABHD11-AS1,0
ABHD12,1
ABHD12B,0
ABHD13,1
ABHD14A,1
ABHD14A-ACY1,1
ABHD14B,1
ABHD15,1
ABHD16A,0
ABHD16B,0
ABHD17A,1
ABHD17B,0
ABHD17C,0
ABHD2,1
ABHD3,1
ABHD4,0
ABHD5,1
ABHD6,1
ABHD8,0
ABI1,1
ABI2,1
ABI3,1
ABI3BP,0
ABL1,0
ABL2,1
ABLIM1,0
ABLIM2,1
ABLIM3,1
ABO,0
ABR,1
ABRA,0
ABRACL,1
ABT1,1
ABTB1,0
ABTB2,1
ACAA1,1
ACAA2,1
ACACA,1
ACACB,0
ACAD10,1
ACAD11,1
ACAD8,1
ACAD9,1
ACADL,0
ACADM,1
ACADS,0
ACADSB,1
ACADVL,1
ACAN,0
ACAP1,1
ACAP2,0
ACAP3,1
ACAT1,0
ACAT2,1
ACBD3,1
ACBD4,1
ACBD5,1
ACBD6,1
ACBD7,1
ACCS,1
ACCSL,0
ACD,1
ACE,0
ACE2,0
ACE3P,0
ACER1,0
ACER2,1
ACER3,1
ACHE,1
ACIN1,0
ACKR1,0
ACKR2,0
ACKR3,0
ACKR4,0
ACLY,0
ACMSD,0
ACN9,0
ACO1,1
ACO2,1
ACOT1,1
ACOT11,0
ACOT12,0
ACOT13,1
ACOT2,0
ACOT4,1
ACOT6,0
ACOT7,0
ACOT8,1
ACOT9,0
ACOX1,1
ACOX2,0
ACOX3,1
ACOXL,1
ACP1,1
ACP2,1
ACP5,1
ACP6,1
ACPP,0
ACPT,0
ACR,0
ACRBP,0
ACRC,0
ACRV1,0
ACSBG1,0
ACSBG2,0
ACSF2,0
ACSF3,1
ACSL1,0
ACSL3,1
ACSL4,0
ACSL5,1
ACSL6,1
ACSM1,0
ACSM2A,0
ACSM2B,0
ACSM3,0
ACSM4,0
ACSM5,0
ACSM6,0
ACSS1,1
ACSS2,0
ACSS3,0
ACTA1,0
ACTA2,1
ACTB,1
ACTBL2,0
ACTC1,0
ACTG1,1
ACTG2,0
ACTL10,1
ACTL6A,1
ACTL6B,0
ACTL7A,0
ACTL7B,0
ACTL8,0
ACTL9,0
ACTN1,0
ACTN2,0
ACTN3,0
ACTN4,1
ACTR10,1
ACTR1A,0
ACTR1B,1
ACTR2,1
ACTR3,1
ACTR3B,1
ACTR3BP2,0
ACTR3BP5,0
ACTR3C,1
ACTR5,1
ACTR6,1
ACTR8,1
ACTRT1,0
ACTRT2,0
ACTRT3,0
ACVR1,0
ACVR1B,0
ACVR1C,1
ACVR2A,0
ACVR2B,0
ACVRL1,0
ACY1,1
ACY3,1
ACYP1,1
ACYP2,1
ADA,0
ADAD1,0
ADAD2,0
ADAL,0
ADAM10,0
ADAM11,0
ADAM12,0
ADAM15,1
ADAM17,1
ADAM18,0
ADAM19,1
ADAM1A,0
ADAM1B,0
ADAM2,0
ADAM20,0
ADAM20P1,0
ADAM21,0
ADAM21P1,0
ADAM22,1
ADAM23,0
ADAM28,0
ADAM29,0
ADAM30,0
ADAM32,0
ADAM33,0
ADAM3A,0
ADAM5,0
ADAM6,1
ADAM7,0
ADAM8,1
ADAM9,1
ADAMDEC1,0
ADAMTS1,0
ADAMTS10,0
ADAMTS12,0
ADAMTS13,0
ADAMTS14,0
ADAMTS15,0
ADAMTS16,0
ADAMTS17,0
ADAMTS18,0
ADAMTS19,0
ADAMTS2,0
ADAMTS20,0
ADAMTS3,0
ADAMTS4,0
ADAMTS5,0
ADAMTS6,0
ADAMTS7,0
ADAMTS8,0
ADAMTS9,0
ADAMTS9-AS2,0
ADAMTSL1,0
ADAMTSL2,0
ADAMTSL3,0
ADAMTSL4,0
ADAMTSL5,0
ADAP1,1
ADAP2,1
ADAR,0
ADARB1,0
ADARB2,0
ADARB2-AS1,0
ADAT1,1
ADAT2,1
ADAT3,1
ADC,0
ADCK1,1
ADCK2,1
ADCK3,0
ADCK4,1
ADCK5,1
ADCY1,0
ADCY10,0
ADCY2,0
ADCY3,1
ADCY4,0
ADCY5,0
ADCY6,0
ADCY7,0
ADCY8,0
ADCY9,0
ADCYAP1,0
ADCYAP1R1,0
ADD1,1
ADD2,0
ADD3,0
ADGB,0
ADH1A,0
ADH1B,0
ADH1C,0
ADH4,0
ADH5,0
ADH6,0
ADH7,0
ADHFE1,1
ADI1,1
ADIG,0
ADIPOQ,0
ADIPOR1,1
ADIPOR2,1
ADIRF,0
ADK,1
ADM,0
ADM2,0
ADM5,0
ADNP,1
ADNP2,0
ADO,1
ADORA1,0
ADORA2A,1
ADORA2A-AS1,0
ADORA2B,0
ADORA3,0
ADPGK,1
ADPRH,1
ADPRHL1,0
ADPRHL2,1
ADPRM,1
ADRA1A,0
ADRA1B,0
ADRA1D,0
ADRA2A,0
ADRA2B,1
ADRA2C,0
ADRB1,0
ADRB2,0
ADRB3,0
ADRBK1,1
ADRBK2,1
ADRM1,1
ADSL,1
ADSS,1
ADSSL1,0
ADTRP,0
AEBP1,0
AEBP2,0
AEN,1
AES,1
AFAP1,0
AFAP1-AS1,0
AFAP1L1,0
AFAP1L2,0
AFF1,1
AFF2,0
AFF3,0
AFF4,1
AFG3L1P,1
AFG3L2,1
AFM,0
AFMID,1
AFP,0
AFTPH,1
AGA,0
AGAP1,0
AGAP11,1
AGAP2,1
AGAP3,1
AGAP4,0
AGAP5,0
AGAP6,0
AGAP7P,0
AGAP9,0
AGBL1,0
AGBL2,1
AGBL3,1
AGBL4,0
AGBL5,1
AGER,0
AGFG1,0
AGFG2,1
AGGF1,1
AGK,1
AGL,1
AGMAT,1
AGMO,0
AGO1,1
AGO2,1
AGO3,1
AGO4,0
AGPAT1,0
AGPAT2,0
AGPAT3,1
AGPAT4,0
AGPAT4-IT1,0
AGPAT5,1
AGPAT6,0
AGPAT9,0
AGPS,1
AGR2,0
AGR3,0
AGRN,0
AGRP,0
AGT,0
AGTPBP1,1
AGTR1,0
AGTR2,0
AGTRAP,1
AGXT,0
AGXT2,0
AHCTF1,1
AHCY,1
AHCYL1,1
AHCYL2,1
AHDC1,1
AHI1,0
AHNAK,0
AHNAK2,0
AHR,1
AHRR,0
AHSA1,0
AHSA2,1
AHSG,1
AHSP,0
AICDA,1
AIDA,1
AIF1,0
AIF1L,0
AIFM1,0
AIFM2,1
AIFM3,1
AIG1,1
AIM1,1
AIM1L,0
AIM2,0
AIMP1,0
AIMP2,1
AIP,1
AIPL1,0
AIRE,0
AIRN,0
AJAP1,0
AJUBA,0
AK1,0
AK2,1
AK3,1
AK4,1
AK5,0
AK7,1
AK8,1
AK9,1
AKAP1,1
AKAP10,1
AKAP11,1
AKAP12,0
AKAP13,1
AKAP14,0
AKAP17A,1
AKAP2,0
AKAP3,0
AKAP4,0
AKAP5,0
AKAP6,0
AKAP7,0
AKAP8,0
AKAP8L,1
AKAP9,1
AKIP1,0
AKIRIN1,1
AKIRIN2,1
AKNA,0
AKNAD1,0
AKR1A1,1
AKR1B1,1
AKR1B10,0
AKR1B15,1
AKR1C1,0
AKR1C2,0
AKR1C3,0
AKR1C4,0
AKR1C6P,0
AKR1CL1,0
AKR1D1,0
AKR1E2,0
AKR7A2,0
AKR7A2P1,0
AKR7A3,0
AKR7L,0
AKT1,0
AKT1S1,1
AKT2,0
AKT3,0
AKTIP,1
ALAD,1
ALAS1,1
ALAS2,0
ALB,0
ALCAM,1
ALDH16A1,0
ALDH18A1,1
ALDH1A1,1
ALDH1A2,0
ALDH1A3,0
ALDH1B1,0
ALDH1L1,0
ALDH1L2,0
ALDH2,0
ALDH3A1,0
ALDH3A2,1
ALDH3B1,1
ALDH3B2,0
ALDH4A1,0
ALDH5A1,1
ALDH6A1,0
ALDH7A1,0
ALDH8A1,0
ALDH9A1,0
ALDOA,1
ALDOB,0
ALDOC,0
ALG1,0
ALG10,1
ALG10B,1
ALG11,1
ALG12,1
ALG13,1
ALG14,1
ALG1L,0
ALG1L2,0
ALG2,0
ALG3,1
ALG5,1
ALG6,1
ALG8,0
ALG9,0
ALK,0
ALKBH1,1
ALKBH2,1
ALKBH3,1
ALKBH4,1
ALKBH5,0
ALKBH6,1
ALKBH7,1
ALKBH8,1
ALLC,0
ALMS1,1
ALMS1P,0
ALOX12,0
ALOX12B,0
ALOX12P2,1
ALOX15,0
ALOX15B,0
ALOX15P1,1
ALOX5,1
ALOX5AP,0
ALOXE3,1
ALPI,0
ALPK1,0
ALPK2,0
ALPK3,0
ALPL,0
ALPP,0
ALPPL2,0
ALS2,1
ALS2CL,0
ALS2CR11,0
ALS2CR12,0
ALX1,0
ALX3,0
ALX4,0
ALYREF,1
AMACR,0
AMBN,0
AMBP,0
AMBRA1,0
AMD1,0
AMDHD1,1
AMDHD2,1
AMDP1,0
AMELX,0
AMELY,0
AMER1,1
AMER2,0
AMER3,0
AMFR,1
AMH,0
AMHR2,0
AMICA1,0
AMIGO1,0
AMIGO2,0
AMIGO3,1
AMMECR1,0
AMMECR1L,0
AMN,0
AMN1,1
AMOT,0
AMOTL1,0
AMOTL2,0
AMPD1,0
AMPD2,0
AMPD3,1
AMPH,0
AMT,0
AMTN,0
AMY1A,0
AMY1B,0
AMY1C,0
AMY2A,0
AMY2B,0
AMZ1,0
AMZ2,0
AMZ2P1,1
ANAPC1,1
ANAPC10,0
ANAPC11,1
ANAPC13,1
ANAPC15,0
ANAPC16,1
ANAPC2,1
ANAPC4,1
ANAPC5,1
ANAPC7,1
ANG,1
ANGEL1,1
ANGEL2,0
ANGPT1,0
ANGPT2,0
ANGPT4,0
ANGPTL1,0
ANGPTL2,0
ANGPTL3,0
ANGPTL4,0
ANGPTL5,0
ANGPTL6,1
ANGPTL7,0
ANK1,0
ANK2,0
ANK3,1
ANKAR,1
ANKDD1A,1
ANKDD1B,0
ANKEF1,1
ANKFN1,0
ANKFY1,1
ANKH,1
ANKHD1,1
ANKHD1-EIF4EBP3,1
ANKIB1,1
ANKK1,0
ANKLE1,1
ANKLE2,1
ANKMY1,0
ANKMY2,1
ANKRA2,0
ANKRD1,0
ANKRD10,1
ANKRD11,1
ANKRD12,1
ANKRD13A,1
ANKRD13B,0
ANKRD13C,0
ANKRD13D,1
ANKRD16,1
ANKRD17,1
ANKRD18A,1
ANKRD18B,0
ANKRD18DP,1
ANKRD19P,1
ANKRD2,0
ANKRD20A1,0
ANKRD20A11P,0
ANKRD20A2,0
ANKRD20A3,0
ANKRD20A4,0
ANKRD20A5P,0
ANKRD20A8P,0
ANKRD20A9P,0
ANKRD22,0
ANKRD23,0
ANKRD24,1
ANKRD26,1
ANKRD26P1,0
ANKRD26P3,0
ANKRD27,1
ANKRD28,1
ANKRD29,1
ANKRD30A,0
ANKRD30B,0
ANKRD30BL,1
ANKRD30BP2,0
ANKRD31,1
ANKRD32,0
ANKRD33,0
ANKRD33B,1
ANKRD34A,0
ANKRD34B,1
ANKRD34C,0
ANKRD35,0
ANKRD36,1
ANKRD36B,0
ANKRD36BP1,0
ANKRD36BP2,0
ANKRD37,1
ANKRD39,1
ANKRD40,1
ANKRD42,0
ANKRD44,1
ANKRD45,0
ANKRD46,1
ANKRD49,1
ANKRD50,0
ANKRD52,1
ANKRD53,0
ANKRD54,0
ANKRD55,0
ANKRD6,1
ANKRD60,0
ANKRD61,0
ANKRD62P1-PARP4P3,0
ANKRD63,0
ANKRD65,0
ANKRD7,0
ANKRD9,0
ANKS1A,1
ANKS1B,0
ANKS3,1
ANKS4B,0
ANKS6,1
ANKUB1,0
ANKZF1,1
ANLN,0
ANO1,0
ANO10,0
ANO2,0
ANO3,0
ANO4,0
ANO5,0
ANO6,0
ANO7,0
ANO8,1
ANO9,1
ANP32A,1
ANP32A-IT1,0
ANP32AP1,0
ANP32B,1
ANP32C,0
ANP32D,0
ANP32E,1
ANPEP,0
ANTXR1,0
ANTXR2,0
ANTXRL,0
ANXA1,0
ANXA10,0
ANXA11,1
ANXA13,0
ANXA2,1
ANXA2P1,0
ANXA2P2,0
ANXA2P3,0
ANXA2R,1
ANXA3,0
ANXA4,1
ANXA5,1
ANXA6,0
ANXA7,1
ANXA8,0
ANXA8L1,0
ANXA9,0
AOAH,0
AOC2,0
AOC3,0
AOC4P,1
AOX1,0
AOX2P,0
AP1AR,0
AP1B1,1
AP1B1P1,0
AP1G1,1
AP1G2,1
AP1M1,1
AP1M2,1
AP1S1,0
AP1S2,1
AP1S3,1
AP2A1,0
AP2A2,1
AP2B1,1
AP2M1,0
AP2S1,1
AP3B1,1
AP3B2,1
AP3D1,1
AP3M1,1
AP3M2,1
AP3S1,0
AP3S2,1
AP4B1,1
AP4E1,1
AP4M1,0
AP4S1,1
AP5B1,0
AP5M1,1
AP5S1,1
AP5Z1,1
APAF1,1
APBA1,0
APBA2,0
APBA3,1
APBB1,0
APBB1IP,1
APBB2,1
APBB3,1
APC,1
APC2,0
APCDD1,0
APCDD1L,0
APCS,0
APEH,1
APEX1,1
APEX2,1
APH1A,0
APH1B,1
API5,0
APIP,1
APITD1,1
APITD1-CORT,1
APLF,0
APLN,1
APLNR,0
APLP1,0
APLP2,1
APMAP,1
APOA1,1
APOA1BP,1
APOA2,1
APOA4,0
APOA5,0
APOB,0
APOBEC1,0
APOBEC2,0
APOBEC3A,0
APOBEC3B,0
APOBEC3C,1
APOBEC3D,0
APOBEC3F,1
APOBEC3G,0
APOBEC3H,0
APOBEC4,0
APOBR,1
APOC1,0
APOC1P1,0
APOC2,0
APOC3,0
APOC4,0
APOC4-APOC2,0
APOD,0
APOE,0
APOF,0
APOH,0
APOL1,0
APOL2,0
APOL3,0
APOL4,0
APOL5,0
APOL6,0
APOLD1,1
APOM,1
APOO,1
APOOL,0
APOPT1,1
APP,1
APPBP2,1
APPL1,1
APPL2,0
APRT,1
APTX,1
AQP1,0
AQP10,0
AQP11,1
AQP12A,0
AQP12B,0
AQP2,0
AQP3,1
AQP4,0
AQP4-AS1,0
AQP5,0
AQP6,0
AQP7,0
AQP7P1,0
AQP7P3,0
AQP8,0
AQP9,0
AQPEP,0
AQR,1
AR,0
ARAF,1
ARAP1,1
ARAP2,1
ARAP3,0
ARC,0
ARCN1,1
AREG,0
AREL1,0
ARF1,0
ARF3,1
ARF4,1
ARF5,1
ARF6,1
ARFGAP1,1
ARFGAP2,0
ARFGAP3,0
ARFGEF1,0
ARFGEF2,1
ARFIP1,1
ARFIP2,1
ARFRP1,1
ARG1,0
ARG2,1
ARGFX,0
ARGFXP2,0
ARGLU1,0
ARHGAP1,1
ARHGAP10,1
ARHGAP11A,0
ARHGAP11B,0
ARHGAP12,1
ARHGAP15,1
ARHGAP17,0
ARHGAP18,0
ARHGAP19,0
ARHGAP19-SLIT1,0
ARHGAP20,0
ARHGAP21,1
ARHGAP22,1
ARHGAP23,0
ARHGAP24,0
ARHGAP25,0
ARHGAP26,1
ARHGAP27,0
ARHGAP28,0
ARHGAP29,1
ARHGAP30,1
ARHGAP31,0
ARHGAP32,0
ARHGAP33,0
ARHGAP35,0
ARHGAP36,0
ARHGAP39,0
ARHGAP4,0
ARHGAP40,0
ARHGAP42,0
ARHGAP44,1
ARHGAP5,0
ARHGAP5-AS1,0
ARHGAP6,0
ARHGAP8,0
ARHGAP9,0
ARHGDIA,0
ARHGDIB,0
ARHGDIG,0
ARHGEF1,1
ARHGEF10,1
ARHGEF10L,0
ARHGEF11,1
ARHGEF12,1
ARHGEF15,0
ARHGEF16,1
ARHGEF17,1
ARHGEF18,0
ARHGEF19,0
ARHGEF2,1
ARHGEF25,0
ARHGEF26,0
ARHGEF26-AS1,0
ARHGEF28,0
ARHGEF3,0
ARHGEF33,0
ARHGEF35,0
ARHGEF37,0
ARHGEF38,0
ARHGEF39,1
ARHGEF4,0
ARHGEF40,0
ARHGEF5,0
ARHGEF6,0
ARHGEF7,1
ARHGEF9,0
ARID1A,1
ARID1B,1
ARID2,1
ARID3A,1
ARID3B,1
ARID3C,0
ARID4A,1
ARID4B,1
ARID5A,0
ARID5B,0
ARIH1,1
ARIH2,0
ARIH2OS,0
ARL1,1
ARL10,0
ARL11,0
ARL13A,0
ARL13B,1
ARL14,0
ARL14EP,1
ARL14EPL,0
ARL15,1
ARL16,1
ARL17A,0
ARL2,1
ARL2-SNX15,1
ARL2BP,1
ARL3,1
ARL4A,1
ARL4C,1
ARL4D,0
ARL5A,1
ARL5B,1
ARL5C,0
ARL6,1
ARL6IP1,1
ARL6IP4,1
ARL6IP5,1
ARL6IP6,1
ARL8A,1
ARL8B,0
ARL9,0
ARMC1,1
ARMC10,1
ARMC12,1
ARMC2,0
ARMC3,0
ARMC4,0
ARMC5,1
ARMC6,1
ARMC7,0
ARMC8,0
ARMC9,1
ARMCX1,0
ARMCX2,0
ARMCX3,0
ARMCX4,0
ARMCX5,1
ARMCX5-GPRASP2,1
ARMCX6,0
ARMS2,0
ARNT,0
ARNT2,0
ARNTL,1
ARNTL2,1
ARPC1A,1
ARPC1B,1
ARPC2,0
ARPC3,1
ARPC4,1
ARPC4-TTLL3,1
ARPC5,1
ARPC5L,1
ARPIN,0
ARPP19,1
ARPP21,0
ARR3,0
ARRB1,0
ARRB2,1
ARRDC1,1
ARRDC1-AS1,0
ARRDC2,1
ARRDC3,0
ARRDC4,0
ARRDC5,0
ARSA,0
ARSB,1
ARSD,0
ARSE,0
ARSF,0
ARSG,0
ARSH,0
ARSI,0
ARSJ,0
ARSK,1
ART1,0
ART3,0
ART4,0
ART5,0
ARTN,1
ARV1,1
ARVCF,1
ARX,0
AS3MT,0
ASAH1,1
ASAH2,0
ASAH2B,0
ASAP1,0
ASAP1-IT1,0
ASAP2,1
ASAP3,0
ASB1,1
ASB10,0
ASB11,0
ASB12,0
ASB13,0
ASB14,0
ASB15,0
ASB16,0
ASB16-AS1,0
ASB17,0
ASB18,0
ASB2,1
ASB3,1
ASB4,0
ASB5,0
ASB6,0
ASB7,1
ASB8,0
ASB9,0
ASB9P1,0
ASCC1,1
ASCC2,1
ASCC3,1
ASCL1,0
ASCL2,0
ASCL3,0
ASCL4,0
ASCL5,0
ASF1A,1
ASF1B,1
ASGR1,0
ASGR2,1
ASH1L,1
ASH2L,1
ASIC1,1
ASIC2,0
ASIC3,0
ASIC4,0
ASIC5,0
ASIP,0
ASL,1
ASMT,0
ASMTL-AS1,0
ASNA1,0
ASNS,1
ASNSD1,0
ASPA,0
ASPDH,0
ASPG,0
ASPH,1
ASPHD1,0
ASPHD2,0
ASPM,0
ASPN,0
ASPRV1,0
ASPSCR1,1
ASRGL1,0
ASS1,0
ASTE1,0
ASTL,1
ASTN1,0
ASTN2,0
ASUN,1
ASXL1,1
ASXL2,1
