protein_id	gene_symbol	go_id	location	score
18S_rRNA	18S_rRNA	GO:0005576	Extracellular region	2.770
18S_rRNA	18S_rRNA	GO:0005615	Extracellular space	2.347
18S_rRNA	18S_rRNA	GO:1903561	Extracellular vesicle	1.903
18S_rRNA	18S_rRNA	GO:0070062	Extracellular exosome	1.676
28S_rRNA	28S_rRNA	GO:0005576	Extracellular region	1.985
28S_rRNA	28S_rRNA	GO:1903561	Extracellular vesicle	1.612
28S_rRNA	28S_rRNA	GO:0005615	Extracellular space	1.541
28S_rRNA	28S_rRNA	GO:0070062	Extracellular exosome	1.499
45S_rRNA	45S_rRNA	GO:0005576	Extracellular region	0.673
5S_rRNA	5S_rRNA	GO:0005576	Extracellular region	1.784
5S_rRNA	5S_rRNA	GO:1903561	Extracellular vesicle	1.337
5S_rRNA	5S_rRNA	GO:0070062	Extracellular exosome	1.268
5S_rRNA	5S_rRNA	GO:0005615	Extracellular space	1.179
7SK	7SK	GO:0005576	Extracellular region	1.386
7SK	7SK	GO:0070062	Extracellular exosome	1.227
7SK	7SK	GO:1903561	Extracellular vesicle	1.214
7SK	7SK	GO:0005615	Extracellular space	1.144
A1BG-AS1	A1BG-AS1	GO:1903561	Extracellular vesicle	0.675
A1BG-AS1	A1BG-AS1	GO:0005576	Extracellular region	0.594
A2M-AS1	A2M-AS1	GO:0070062	Extracellular exosome	1.380
A2M-AS1	A2M-AS1	GO:1903561	Extracellular vesicle	1.298
A2M-AS1	A2M-AS1	GO:0005615	Extracellular space	1.111
A2M-AS1	A2M-AS1	GO:0005576	Extracellular region	1.090
AATBC	AATBC	GO:0070062	Extracellular exosome	0.574
ABALON	ABALON	GO:0005576	Extracellular region	1.060
ABALON	ABALON	GO:0005615	Extracellular space	0.644
ABHD11-AS1	ABHD11-AS1	GO:0070062	Extracellular exosome	1.463
ABHD11-AS1	ABHD11-AS1	GO:1903561	Extracellular vesicle	1.445
ABHD11-AS1	ABHD11-AS1	GO:0005576	Extracellular region	1.216
ABHD11-AS1	ABHD11-AS1	GO:0005615	Extracellular space	1.148
