contrast,collection,database,set_id,set,set_short,set_size,set_size_DB,size_ratio,set_size_in_input,input_size,background_size,p_value,adj_p_value
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-iKiP,15276,PTMSIGDB_KINASE-iKiP_MAPK3.ERK1,PTMSIGDB_KINASE-iKiP_MAPK3.ERK1,120,304,0.395,67,3836,15818,1.0771E-13,5.22394E-11
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-iKiP,15273,PTMSIGDB_KINASE-iKiP_MAPK13,PTMSIGDB_KINASE-iKiP_MAPK13,158,413,0.383,78,3836,15818,5.85748E-12,1.42044E-09
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-iKiP,15279,PTMSIGDB_KINASE-iKiP_MAPK9.JNK2,PTMSIGDB_KINASE-iKiP_MAPK9.JNK2,98,258,0.38,54,3836,15818,5.16404E-11,8.34853E-09
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-iKiP,15269,PTMSIGDB_KINASE-iKiP_MAPK1.ERK2,PTMSIGDB_KINASE-iKiP_MAPK1.ERK2,174,448,0.388,79,3836,15818,7.56249E-10,9.16952E-08
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15580,PTMSIGDB_PERT-P100-DIA2_TRETINOIN,PTMSIGDB_PERT-P100-DIA2_TRETINOIN,108,225,0.48,55,3836,15818,1.76476E-09,1.71182E-07
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-PSP,14925,PTMSIGDB_KINASE-PSP_ERK1/MAPK3,PTMSIGDB_KINASE-PSP_ERK1/MAPK3,68,384,0.177,39,3836,15818,5.24688E-09,4.24123E-07
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-iKiP,15272,PTMSIGDB_KINASE-iKiP_MAPK12,PTMSIGDB_KINASE-iKiP_MAPK12,153,430,0.356,69,3836,15818,1.23766E-08,8.57519E-07
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-PSP,14946,PTMSIGDB_KINASE-PSP_GSK3B,PTMSIGDB_KINASE-PSP_GSK3B,55,363,0.152,33,3836,15818,1.68675E-08,1.02259E-06
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-PSP,14926,PTMSIGDB_KINASE-PSP_ERK2/MAPK1,PTMSIGDB_KINASE-PSP_ERK2/MAPK1,79,441,0.179,41,3836,15818,1.02058E-07,5.24631E-06
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-iKiP,15278,PTMSIGDB_KINASE-iKiP_MAPK8.JNK1,PTMSIGDB_KINASE-iKiP_MAPK8.JNK1,136,380,0.358,61,3836,15818,1.08171E-07,5.24631E-06
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-iKiP,15274,PTMSIGDB_KINASE-iKiP_MAPK14,PTMSIGDB_KINASE-iKiP_MAPK14,112,294,0.381,49,3836,15818,4.45485E-06,0.000196418
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15573,PTMSIGDB_PERT-P100-DIA2_STAUROSPORINE,PTMSIGDB_PERT-P100-DIA2_STAUROSPORINE,252,597,0.422,92,3836,15818,7.98228E-06,0.000322617
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-iKiP,15270,PTMSIGDB_KINASE-iKiP_MAPK10.JNK3,PTMSIGDB_KINASE-iKiP_MAPK10.JNK3,72,164,0.439,34,3836,15818,1.79785E-05,0.000670735
Muscle_only,PTMSIGDB,PTMSIGDB_PATH-BI,15425,PTMSIGDB_PATH-BI_ISCHEMIA,PTMSIGDB_PATH-BI_ISCHEMIA,87,163,0.534,39,3836,15818,2.06427E-05,0.000715121
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15548,PTMSIGDB_PERT-P100-DIA2_OLMESARTAN,PTMSIGDB_PERT-P100-DIA2_OLMESARTAN,83,192,0.432,37,3836,15818,3.86914E-05,0.001198487
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-PSP,14895,PTMSIGDB_KINASE-PSP_CDK5,PTMSIGDB_KINASE-PSP_CDK5,38,157,0.242,21,3836,15818,3.95377E-05,0.001198487
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-PSP,14892,PTMSIGDB_KINASE-PSP_CDK2,PTMSIGDB_KINASE-PSP_CDK2,60,420,0.143,29,3836,15818,4.26116E-05,0.001215685
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15542,PTMSIGDB_PERT-P100-DIA2_MOMELOTINIB,PTMSIGDB_PERT-P100-DIA2_MOMELOTINIB,85,181,0.47,37,3836,15818,7.22995E-05,0.00194807
Muscle_only,PTMSIGDB,PTMSIGDB_DISEASE-PSP,14792,PTMSIGDB_DISEASE-PSP_PSP,PTMSIGDB_DISEASE-PSP_PSP,9,14,0.643,8,3836,15818,8.40238E-05,0.002144817
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15520,PTMSIGDB_PERT-P100-DIA2_GEFITINIB,PTMSIGDB_PERT-P100-DIA2_GEFITINIB,95,205,0.463,40,3836,15818,9.2654E-05,0.002239908
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-PSP,15018,PTMSIGDB_KINASE-PSP_P38D/MAPK13,PTMSIGDB_KINASE-PSP_P38D/MAPK13,11,20,0.55,9,3836,15818,9.69857E-05,0.002239908
Muscle_only,PTMSIGDB,PTMSIGDB_DISEASE-PSP,14793,PTMSIGDB_DISEASE-PSP_Parkinsons_disease,PTMSIGDB_DISEASE-PSP_Parkinsons_disease,18,47,0.383,12,3836,15818,0.000167656,0.003570172
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-iKiP,15184,PTMSIGDB_KINASE-iKiP_DYRK2,PTMSIGDB_KINASE-iKiP_DYRK2,129,402,0.321,50,3836,15818,0.000169307,0.003570172
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-PSP,15016,PTMSIGDB_KINASE-PSP_P38A/MAPK14,PTMSIGDB_KINASE-PSP_P38A/MAPK14,28,220,0.127,16,3836,15818,0.000195964,0.003960102
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15534,PTMSIGDB_PERT-P100-DIA2_KN-93,PTMSIGDB_PERT-P100-DIA2_KN-93,65,141,0.461,29,3836,15818,0.000252853,0.004750431
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15507,PTMSIGDB_PERT-P100-DIA2_DMSO,PTMSIGDB_PERT-P100-DIA2_DMSO,242,588,0.412,83,3836,15818,0.000254662,0.004750431
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-PSP,14945,PTMSIGDB_KINASE-PSP_GSK3A,PTMSIGDB_KINASE-PSP_GSK3A,12,73,0.164,9,3836,15818,0.000303898,0.005458901
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15508,PTMSIGDB_PERT-P100-DIA2_DOXORUBICIN,PTMSIGDB_PERT-P100-DIA2_DOXORUBICIN,107,245,0.437,42,3836,15818,0.000396555,0.006868905
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15567,PTMSIGDB_PERT-P100-DIA2_SEMAGACESTAT,PTMSIGDB_PERT-P100-DIA2_SEMAGACESTAT,82,178,0.461,34,3836,15818,0.00042567,0.00703954
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-PSP,14888,PTMSIGDB_KINASE-PSP_CDK1,PTMSIGDB_KINASE-PSP_CDK1,101,660,0.153,40,3836,15818,0.000435435,0.00703954
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15488,PTMSIGDB_PERT-P100-DIA2_C646_(CHEMBL1797936),PTMSIGDB_PERT-P100-DIA2_C646_(CHEMBL1797936),67,146,0.459,29,3836,15818,0.000472226,0.007388059
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15574,PTMSIGDB_PERT-P100-DIA2_TACROLIMUS,PTMSIGDB_PERT-P100-DIA2_TACROLIMUS,89,198,0.449,36,3836,15818,0.000515781,0.007817301
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-PSP,15108,PTMSIGDB_KINASE-PSP_mTOR/MTOR,PTMSIGDB_KINASE-PSP_mTOR/MTOR,41,124,0.331,20,3836,15818,0.000554803,0.008153924
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-iKiP,15309,PTMSIGDB_KINASE-iKiP_NLK,PTMSIGDB_KINASE-iKiP_NLK,44,131,0.336,21,3836,15818,0.000588706,0.008397717
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-PSP,15109,PTMSIGDB_KINASE-PSP_p70S6K/RPS6KB1,PTMSIGDB_KINASE-PSP_p70S6K/RPS6KB1,15,52,0.288,10,3836,15818,0.000608529,0.008432472
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-PSP,14976,PTMSIGDB_KINASE-PSP_MAPKAPK2,PTMSIGDB_KINASE-PSP_MAPKAPK2,20,76,0.263,12,3836,15818,0.000690968,0.009308875
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15589,PTMSIGDB_PERT-P100-DIA2_VORINOSTAT,PTMSIGDB_PERT-P100-DIA2_VORINOSTAT,222,556,0.399,75,3836,15818,0.000805545,0.010496848
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-PSP,14978,PTMSIGDB_KINASE-PSP_MARK1,PTMSIGDB_KINASE-PSP_MARK1,5,13,0.385,5,3836,15818,0.0008371,0.010496848
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15576,PTMSIGDB_PERT-P100-DIA2_TBB,PTMSIGDB_PERT-P100-DIA2_TBB,69,146,0.473,29,3836,15818,0.000844076,0.010496848
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15533,PTMSIGDB_PERT-P100-DIA2_KN-62,PTMSIGDB_PERT-P100-DIA2_KN-62,60,200,0.3,26,3836,15818,0.000890927,0.010802488
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15497,PTMSIGDB_PERT-P100-DIA2_CPI-169,PTMSIGDB_PERT-P100-DIA2_CPI-169,92,170,0.541,36,3836,15818,0.001065037,0.012598608
Muscle_only,PTMSIGDB,PTMSIGDB_DISEASE-PSP,14780,PTMSIGDB_DISEASE-PSP_DLB,PTMSIGDB_DISEASE-PSP_DLB,9,15,0.6,7,3836,15818,0.001099619,0.012687641
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-PSP,15017,PTMSIGDB_KINASE-PSP_P38B/MAPK11,PTMSIGDB_KINASE-PSP_P38B/MAPK11,7,34,0.206,6,3836,15818,0.001124884,0.012687641
Muscle_only,PTMSIGDB,PTMSIGDB_DISEASE-PSP,14776,PTMSIGDB_DISEASE-PSP_Alzheimers_disease,PTMSIGDB_DISEASE-PSP_Alzheimers_disease,43,135,0.319,20,3836,15818,0.00118653,0.013078794
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15546,PTMSIGDB_PERT-P100-DIA2_OKADAIC_ACID,PTMSIGDB_PERT-P100-DIA2_OKADAIC_ACID,84,185,0.454,33,3836,15818,0.001559125,0.016803898
