"feature_id","gene_symbol","ensembl_gene","custom_annotation"
"chr1:100037508-100038196",NA,"ENSG00000288826","Promoter (<=1kb)"
"chr1:10032987-10033874","UBE4B","ENSG00000130939","Promoter (<=1kb)"
"chr1:103569070-103570751","ACTG1P4","ENSG00000236085","Promoter (<=1kb)"
"chr1:10399141-10399961","PGD","ENSG00000142657","Promoter (<=1kb)"
"chr1:108376575-108377037","NBPF5P","ENSG00000243967","Promoter (<=1kb)"
"chr1:109895462-109896645",NA,"ENSG00000261055","Promoter (<=1kb)"
"chr1:109983908-109984507","AHCYL1","ENSG00000168710","Promoter (<=1kb)"
"chr1:11011800-11012490","TARDBP","ENSG00000120948","Promoter (<=1kb)"
"chr1:110450121-110450696","PROK1","ENSG00000143125","Promoter (<=1kb)"
"chr1:110472537-110473081",NA,"ENSG00000282887","Promoter (<=1kb)"
"chr1:11060911-11061160","SRM","ENSG00000116649","Promoter (<=1kb)"
"chr1:110854045-110854861","OR11I1P","ENSG00000232791","Promoter (<=1kb)"
"chr1:11188888-11189410","ANGPTL7","ENSG00000171819","Promoter (<=1kb)"
"chr1:11272502-11274117","UBIAD1","ENSG00000120942","Promoter (<=1kb)"
"chr1:113978838-113979090","OLFML3","ENSG00000116774","Promoter (<=1kb)"
"chr1:114854780-114855402","SYCP1","ENSG00000198765","Promoter (<=1kb)"
"chr1:116164157-116164627","LINC01779","ENSG00000235933","Promoter (<=1kb)"
"chr1:1167418-1167846","MIR200A","ENSG00000207607","Promoter (<=1kb)"
"chr1:116754008-116754536","CD2","ENSG00000116824","Promoter (<=1kb)"
"chr1:1173422-1174442","TTLL10","ENSG00000162571","Promoter (<=1kb)"
"chr1:11735523-11736252","AGTRAP","ENSG00000177674","Promoter (<=1kb)"
"chr1:117549439-117550509","VPS25P1","ENSG00000226755","Promoter (<=1kb)"
"chr1:119139911-119140519","WARS2-AS1","ENSG00000231365","Promoter (<=1kb)"
"chr1:119367273-119367961","HAO2","ENSG00000116882","Promoter (<=1kb)"
"chr1:119462066-119462981","GAPDHP23","ENSG00000235595","Promoter (<=1kb)"
"chr1:121087208-121087929","FCGR1B","ENSG00000198019","Promoter (<=1kb)"
"chr1:12643964-12644682","AADACL4","ENSG00000204518","Promoter (<=1kb)"
"chr1:12745886-12746660","C1orf158","ENSG00000157330","Promoter (<=1kb)"
"chr1:143784273-143785155",NA,"ENSG00000270962","Promoter (<=1kb)"
"chr1:144411769-144412436","RNVU1-15","ENSG00000207205","Promoter (<=1kb)"
"chr1:145096059-145096259","FAM72D","ENSG00000215784","Promoter (<=1kb)"
"chr1:14777328-14777974",NA,"ENSG00000287756","Promoter (<=1kb)"
"chr1:148521642-148522448","RNVU1-27","ENSG00000274210","Promoter (<=1kb)"
"chr1:149783350-149783778","FCGR1A","ENSG00000150337","Promoter (<=1kb)"
"chr1:150066750-150068266","VPS45","ENSG00000136631","Promoter (<=1kb)"
"chr1:150148937-150152323","PLEKHO1","ENSG00000023902","Promoter (<=1kb)"
"chr1:150363896-150365053","RPRD2","ENSG00000163125","Promoter (<=1kb)"
"chr1:150548530-150550963","ADAMTSL4","ENSG00000143382","Promoter (<=1kb)"
"chr1:151254235-151255125","PSMD4","ENSG00000159352","Promoter (<=1kb)"
"chr1:152514022-152514594","CRCT1","ENSG00000169509","Promoter (<=1kb)"
"chr1:152643899-152644725","LCEP4","ENSG00000226947","Promoter (<=1kb)"
