feature_id,tissue,assay,Notes
PPARGC1A,muscle,transcript-rna-seq,
PER2,muscle,transcript-rna-seq,
MYC,blood,transcript-rna-seq,
MYC,muscle,transcript-rna-seq,
MYC,adipose,transcript-rna-seq,
SIPA1L3,blood,transcript-rna-seq,
SIPA1L3,muscle,transcript-rna-seq,
SIPA1L3,adipose,transcript-rna-seq,
NR4A1,blood,transcript-rna-seq,
NR4A1,muscle,transcript-rna-seq,
NR4A1,adipose,transcript-rna-seq,
P22736_S14s,muscle,prot-ph,NR4A1
NR4A2,blood,transcript-rna-seq,
NR4A2,muscle,transcript-rna-seq,
NR4A2,adipose,transcript-rna-seq,
NEDD9,blood,transcript-rna-seq,
NEDD9,muscle,transcript-rna-seq,
NEDD9,adipose,transcript-rna-seq,
NFKBIZ,blood,transcript-rna-seq,
NFKBIZ,muscle,transcript-rna-seq,
NFKBIZ,adipose,transcript-rna-seq,
O60716-3_S920s,adipose,prot-ph,CTNND1 pS920
O60716-3_S920s,muscle,prot-ph,CTNND1 pS920
Q53EU6_S68s,adipose,prot-ph,GPAT3 pS68
Q53EU6_S68s,muscle,prot-ph,GPAT3 pS68
Carnitine,blood,metab,
Carnitine,muscle,metab,
Carnitine,adipose,metab,
Glutamic acid,blood,metab,
Glutamic acid,muscle,metab,
Glutamic acid,adipose,metab,
PC 33:2,blood,metab,
PC 33:2,muscle,metab,
PC 33:2,adipose,metab,
ENSG00000245482,muscle,epigen-methylcap-seq,
ENSG00000245482,adipose,epigen-methylcap-seq,
APOLD1,adipose,transcript-rna-seq,
APOLD1,muscle,transcript-rna-seq,
ADAMTS1,adipose,transcript-rna-seq,
ADAMTS1,muscle,transcript-rna-seq,
CCN2,adipose,transcript-rna-seq,
CCN2,muscle,transcript-rna-seq,
EGR1,adipose,transcript-rna-seq,
EGR1,muscle,transcript-rna-seq,
JUN,adipose,transcript-rna-seq,
JUN,muscle,transcript-rna-seq,
CRK,blood,transcript-rna-seq,
CRK,muscle,transcript-rna-seq,
PI3KCA,blood,transcript-rna-seq,
PI3KCA,muscle,transcript-rna-seq,
GRB10,blood,transcript-rna-seq,
GRB10,muscle,transcript-rna-seq,
PTPN1,blood,transcript-rna-seq,
PTPN1,muscle,transcript-rna-seq,
SDCBP,blood,transcript-rna-seq,
SDCBP,muscle,transcript-rna-seq,
HLX,blood,transcript-rna-seq,
HLX,muscle,transcript-rna-seq,
INPP4B,blood,transcript-rna-seq,
INPP4B,muscle,transcript-rna-seq,
AMOT,muscle,transcript-rna-seq,
ASCC3,muscle,transcript-rna-seq,
HSPH1,muscle,transcript-rna-seq,
HSPH1,blood,transcript-rna-seq,
CBFA2T3,muscle,transcript-rna-seq,
LDHA,muscle,transcript-rna-seq,
PDK4,muscle,transcript-rna-seq,
PFKP,muscle,transcript-rna-seq,
BCKDHB,muscle,transcript-rna-seq,
MYOG,muscle,transcript-rna-seq,
FBXO32,muscle,transcript-rna-seq,
ZBTB4,muscle,transcript-rna-seq,
LIMA1 lncRNA,muscle,transcript-rna-seq,
LRRC14B,muscle,transcript-rna-seq,
HADHA,muscle,transcript-rna-seq,
MLYCD,muscle,transcript-rna-seq,
ACAA2,muscle,transcript-rna-seq,
HNRNPU,blood,transcript-rna-seq,
HNRNPU,muscle,transcript-rna-seq,
DYRK1A,blood,transcript-rna-seq,
DYRK1A,muscle,transcript-rna-seq,
PITX3,muscle,transcript-rna-seq,
STAT5B,muscle,transcript-rna-seq,
CHCHD3,muscle,transcript-rna-seq,
RXRA,muscle,transcript-rna-seq,
NFYA,muscle,transcript-rna-seq,
CEBPB,muscle,transcript-rna-seq,
HSP90AA1,blood,transcript-rna-seq,
TAMALIN,adipose,transcript-rna-seq,
TAMALIN,blood,transcript-rna-seq,
TAMALIN,muscle,transcript-rna-seq,
TFEB,muscle,transcript-rna-seq,
CX3CL1,muscle,transcript-rna-seq,
CX3CL1,adipose,transcript-rna-seq,
OID20762,blood,prot-ol,CX3CL1
CCN1,muscle,transcript-rna-seq,
CCN1,adipose,transcript-rna-seq,
O00622,muscle,prot-pr,CCN1
OID21368,blood,prot-ol,CCN1
OID20684,blood,prot-ol,TIMP3
OID20726,blood,prot-ol,ANGPT2
P49023,muscle,prot-pr,PXN
P49023,adipose,prot-pr,PXN
O60936_T114t,muscle,prot-ph,NOL3 pT114
Q9Y613_S1078s,muscle,prot-ph,FHOD1
Q9UBF9_T145t,muscle,prot-ph,Myotilin
P41182_S366s,adipose,prot-ph,BCL6 p366
P19484_S109s,muscle,prot-ph,TFEB pS109
P19484_S114s,muscle,prot-ph,TFEB pS114
P19484_S122s,muscle,prot-ph,TFEB pS122
P19484_S109sS114s,muscle,prot-ph,TFEB
P19484_S109sS114sS122s,muscle,prot-ph,TFEB
P19484_S114sS122s,muscle,prot-ph,TFEB
P19484_S334s,muscle,prot-ph,TFEB
P19484_S423s,muscle,prot-ph,TFEB
FOXO1,muscle,transcript-rna-seq,
FOXO3,muscle,transcript-rna-seq,
NFY,muscle,transcript-rna-seq,
USF2,muscle,transcript-rna-seq,
MITF,muscle,transcript-rna-seq,
BMAL1,muscle,transcript-rna-seq,
NFATC2,muscle,transcript-rna-seq,
ATF1,muscle,transcript-rna-seq,
ATF7,muscle,transcript-rna-seq,
CARG,muscle,transcript-rna-seq,
Q16254,adipose,prot-pr,E2F4
CAR 6:0,blood,metab,
CAR 10:1,blood,metab,
CAR 10:1,muscle,metab,
CAR 11:0,blood,metab,
CAR 11:0,muscle,metab,
CAR 18:1,blood,metab,
CAR 18:1,muscle,metab,
Leucine,blood,metab,
Isoleucine,blood,metab,
Spermidine,blood,metab,
N1-Acetylspermidine,blood,metab,
Lactic acid,blood,metab,
Lactic acid,muscle,metab,
Lactic acid,adipose,metab,
Pyruvic acid,blood,metab,
Pyruvic acid,muscle,metab,
Inosine,blood,metab,
Inosine,muscle,metab,
Hypoxanthine,blood,metab,
Hypoxanthine,muscle,metab,
Citric acid,blood,metab,
Citric acid,muscle,metab,
Isocitric acid,blood,metab,
Isocitric acid,muscle,metab,
Malic acid,blood,metab,
Malic acid,muscle,metab,
3-Hydroxybutyric acid,blood,metab,
3-Hydroxybutyric acid,muscle,metab,
